,utente,commento,hotel,dataIns,rating
13,Flavio M,"Siamo stati in questa struttura dal 2 al 4 giugno. Trovato tramite un motore di ricerca, l’Hotel Central Park di Marina di Pietrasanta si caratterizza per un alto indice di qualità che spazia dal personale molto cortese, gentile e preparato, alla qualità della camera deluxe ordinata, ottima posizione a non più di 10 minuti a piedi dagli stabilimenti.Alla reception ci spiegano in maniera dettagliata i comfort della struttura (Wi-Fi gratuito per chi lo desidera), orari per la colazione ed il pranzo per chi ha scelto le varie formule di soggiorno.Entrando in camera si sente un gradevole profumo di pulito, ampia metratura e box doccia di notevoli dimensioni. Un accappatoio di spugna di qualità per rendere più gradevole il tutto.Un ampio balcone con dei lettini per rilassarsi danno quel tocco in più alla camera.Chicca non indifferente: una jacuzzi sul tetto per rilassarsi abbondantemente godendo di un ottimo panorama. Sicuramente inserito nella mia lista di riferimento!!",Hotel Central Park,2019-07-05,5 stelle
14,Domenico C,"Nulla da eccepire in niente...tutto perfetto, rapporto qualità prezzo più che ottimo...Cordiali Discreti Professionali..Pulizia tutto al top. Posteggio servizi.. piscina sdraio il tutto a disposizione dei clienti... veramente eccellente...",Hotel Central Park,2019-07-05,5 stelle
15,Matteo_1979_Como,"Hotel nuovissimo, le camere sono davvero moderne e ben attrezzate, poco lontano dalla spiaggia, servizio attento e molto cordiale, colazione davvero super. L'hotel è dotato di piscina e di un ampio parcheggio interno. Ottimo rapporto qualità prezzo.",Hotel Central Park,2019-07-05,5 stelle
16,lia B,Location perfetta in zona tranquilla con comodo parcheggio e nello stesso tempo vicino a negozi e ristoranti e al mare facilmente raggiungibile anche con una breve passeggiata.Struttura nuova molto moderna con piscina e solarium.Ogni dettaglio è curato  Pulizia perfetta .Colazione super !Ed infine la disponibilità e la gentilezza dei proprietari e dello staff sempre attenti a soddisfare e coccolare gli ospiti .Un posto perfetto ! Grazie ancora,Hotel Central Park,2019-07-05,5 stelle
17,Andrea M,"Conduzione familiare davvero ottima,tanta simpatia  gentilezza e disponibilità.Ambiente molto carino,rinnovato da poco e molto pulito.Colazione fantastica molto ricca e curata.Disponibilità di buon parcheggio e noleggio bici.DAVVERO COMPLIMENTI, TORNEREMO PRESTO.",Hotel Central Park,2019-07-05,4 stelle
18,Massimo G,"Nuovissimo e modernissimo,con tutti i confort,piscina,spazi all'aperto accoglienti,domotica in camere nuovissime,accoglienza ,simpatia e una sala colazione che lascia a bocca aperta per qualità e quantità.Da tornarci al 100%",Hotel Central Park,2019-07-05,5 stelle
19,lu4395,"Posto pulito, personale gentile, molto curato, colazione da urlo con, oltre a un ricco buffet, anche una parte cucinata al momento con uova in varie maniere e crepes sia dolci che salate. Davvero consigliato perchè il soggiorno è stato piacevolissimo. PURTROPPO solo una notte, saremmo rimasti di più volentieri.",Hotel Central Park,2019-07-05,5 stelle
20,andrea c,"Vogliamo complimentarci nuovamente con tutto lo staff dell'albergo per la gentilezza, la disponibilità e la cortesia dimostrata. Ottima la pulizia delle camere e la varietà dei pasti proposti a pranzo e a cena. Per noi è stato un piacevole ritorno, che ha confermato tutte le buone impressioni che avevamo avuto la prima volta.…",Hotel Venezia,2019-07-05,4 stelle
21,Barbara P,"Ottima accoglienza, personale gentile e prepatato. Abbiamo potuto apprezzare la qualità della cucina con prodotti selezionati. Punto di forza è l'ambiente tranquillo e familiare dove poter trascorrere le proprie vacanze. Torneremo sicuramente! :)",Hotel Venezia,2019-07-05,5 stelle
22,Monica M,"Consiglio assolutamente questo albergo!  è la terza volta che veniamo qui e ci troviamo benissimo.  Posizione tranquilla, nel verde, ottima qualità della ristorazione e dei camerieri, camere ampie e funzionali (la nostra aveva anche una terrazza gigante), piscina, disponibilità di tutto i personale!…",Hotel Venezia,2019-07-05,5 stelle
23,Giovanni G,"Consiglio vivamente un soggiorno all'hotel Venezia di Marina di Pietra santa a tutti coloro che intendono trascorrere un periodo di relax con famiglia in quanto la struttura è molto accogliente e gestita con competenza ed in modo professionale. L'hotel è vicino al mare ed in posizione molto tranquilla. L'ambiente è ottimo, dispone di spazi ben curati anche all'esterno (giardino, piscina), la direzione ed il personale sono attenti alle esigenze dei clienti. Ottima e sollecita pulizia nelle camere ed altrettanto valido il servizio ristorazione con ottima qualità dei piatti, menù ampio e tempi di servizio corretti.  Giovanni Gallarati…",Hotel Venezia,2019-07-05,4 stelle
24,LillyGenova,"Lo consiglio! Punti di forza - vicinanza al mare, 3 minuti a piedi; - parcheggio gratuito, - colazione ricca nel dolce e salto e buona, - piscina tranquilla; - pulito Il tutto ad un prezzo accessibilissimo.",Hotel Venezia,2019-07-05,5 stelle
25,gianluca c,hotel a 5 minuti dal mare ottimo rapporto qualita prezzo e colazione da 4 stelle personale gentile e professionale.da provare se siete in zonapiscina pulita e tranquilla parcheggio ampio e zona molto silenziosaprenotate con anticipo,Hotel Venezia,2019-07-05,5 stelle
26,marco s,"A caldo scrivo questa recensione, siamo rientrati oggi a casa.Confermo quanto detto dalle altre recensioni, pulizia perfetta in tutti gli ambienti camere e parti comuni, ho notato una cosa in una settimana non ho visto una foglia in piscina.Camera con balconcino e soprattutto bagno spazioso.Personale sempre disponibile e sorridente. C'è una ragazza nuova in sala ristorante un po' impacciata ma sempre gentile migliorerà sicuramente.Per il ristorante ho notato una particolare attenzione per i bambini piccoli.Ottima la soluzione all inclusive con spiaggia e bevande incluse.Il bagno convenzionato è  ""magico mare"" (consiglio l'uso delle spiaggine).la spiaggia dista circa 300m dall'hotel.Nota finale la tranquillità il silenzio che c'è attorno al hotel, e la comodità dei letti, ho fatto delle dormite favolose!Consiglio durante il soggiorno una visita a Pietrasanta, 5km di distanza, ha un centro storico piccolo ma molto carino.Il noleggio biciclette è un po' caro 4€ all'ora ma è in linea con quelli in zona.Si potrebbe includere l'uso nella soluzione all inclusive.Non trovo punti negativi provate per credere!",Hotel Venezia,2019-07-05,4 stelle
27,francesco c,"Hotel a pochi passi dal centro di Pietrasanta, bello e accogliente. Camere spaziose e pulite, cucina di qualità e colazione abbondantante a buffet. Personale cortese e disponibile. Unico neo la piscina non troppo grande, ma comunque piacevole.",Hotel Venezia,2019-07-05,5 stelle
28,Marcello C,"Vacanza magnifica in hotel pulito, con camera e bagno spaziosi, personale disponibile e professionale sia nella hall che nel ristorante. Pulizie accurate nella stanza. Posizione nel verde e a poca distanza dal mare. Piscina e giardino ben curati",Hotel Venezia,2019-07-05,5 stelle
29,froman1943,"Posizione strategica, a 10 minuti a piedi dal mare ed a 5 minuti a piedi  dalla zona negozi del centro di Marina di Pietrasanta.(quartiere ""il Tonfano"".)Parcheggio invidiabile.  dimensioni delle stanze d'altri tempi, bello l'inserimento nella pineta. Abbiamo lasciato la macchina in parcheggio, salvo se volevsamo andare a Viareggio o Lido di Camaiore, raggiungibili in pochi minuti di auto. Struttura dove il rapporto prezzo/qualità è decisamente positivo. Ricca colazione. Alcuni piatti del menù molto buoni.  Atmosfera ottima, discrezione e buona disposizione verso il cliente.",Hotel Venezia,2019-07-05,4 stelle
30,valentina,Abbiamo soggiornato in questo albergo x 10 giorni con il nostro bimbo di 11 mesi. L’albero è un po’ datato come già scritto da altri clienti ma viene ripagato dalla cucina impeccabile e dai camerieri super simpatici. Abbiamo incominciato proprio qui a far mangiare di tutto al piccolino grazie al buon cibo e si pappava tutto quanto il piatto!! Le camere sono spaziose e la spiaggia è vicina. Unico nota dolente è l’orario dei pasti. Troppo tardi per i bambini. Sarebbe comodo poter accedere mezz’ora prima per poter farli mangiare con calma. Un caloroso saluto al cameriere Marco che ci ha sempre coccolati.,Hotel Venezia,2019-07-05,4 stelle
31,Luciano S,"La struttura è perfetta per la vicinanza al mare e per la tranquillità che offre nella sua posizione, da non trascurare il parcheggio interno che evita l'ansia di dove lasciare l'auto. Personale cordiale e disponibile, cucina buona.",Hotel Venezia,2019-07-05,5 stelle
32,Luk,Ottima struttura Ottima cordialitàOttima posizioneParcheggio ben delineato Disponibilità assoluta del personaleBuon menu di pesce e carneTorneremo di sicuro a provare in piena stagioneConsiglio a tutti,Hotel Venezia,2019-07-05,5 stelle
33,Anto,"soggiornato in questo hotel una sola notte,dove ho trovato massima disponibilità alla reception non ostante  il mio arrivo in tarda nottele camere pulite e molto ampiearredamento minimal un po i bagni da sistemare con una manutenzione piu accurataottima la posizione parcheggio internola colazione andrebbe leggermente miglioratabuono il rapporto qualità prezzo",Hotel Venezia,2019-07-05,3 stelle
34,mikidoriente,"Hotel di 4 piani un po' datato esternamente, hall tenuta molto beneStanze arredate semplicemente, pulite ma di ampie dimensioniTutte le stanze con terrazzaMaterasso migliorabileFrigobarBagno ampioPalestra con 4 attrezzi al quinto pianoPiscina esternaCordialiPark di proprieta'",Hotel Venezia,2019-07-05,3 stelle
35,gp10964,"Hotel dalla struttura non nuova , ma tutto ben curato e pulito ottimo giardino e bella ma piccola piscina molto curata . In hotel ci sono spazi ampi dove poter stazionare , le camere sono sempre ben curate e pulite . Servizio di ristorazione con personale Professionale , ottima la colazione la mattina con servizio di Dolci e Salati ineccepibile La cucina offre materiale di ottima qualità , sui primi un poco deludenti ( i risotti sono un disastro ) sui secondi di carne e pesce bene molto bene ma a volte non si riesce a capire perché arrivano in tavola praticamente a temperatura ambiente ( mangiare un ottimo filetto quasi freddo non va bene ) Il responsabile di sala questo lo deve sapere . Ottima lista dei vini , rapporto qualità prezzo ben giustificato",Hotel Venezia,2019-07-05,4 stelle
36,Vagioxp,"STRUTTURA: ampi spazi, dotata di sala cocktail bar con una persona fissa al mattino e una alla sera, tavolo da Ping pong in giardino, perfetto per passare un po’ il tempo e divertirsi tra un tuffo e l’altro in piscina con idro; qualche gioco per i bimbi. La nostra camera, al quarto piano, era molto spaziosa, letto comodo e con un piccolo balconcino dove poter stendere costumi e asciugamani. Ampio parcheggio e comunque facilità assoluta nel posteggiare l’auto fuori dalla struttura e nei paraggi.PULIZIA CAMERE E AMBIENTI: Perfetta.RISTORANTE, CIBO E SERVIZIO: ampia sala accogliente, cibo nel complesso molto buono e vario, uniche due pecche sono la mancanza di buffet di antipasti e contorni/dolci troppo ripetitivi. Colazione ben fornita, sia di dolce che salato. Servizio impeccabile, un grazie sentito a tutto lo Staff sopratutto alle ragazze che ci hanno seguito ogni giorno. SPIAGGIA: l’hotel a prenotazione ci aveva parlato di una convenzione con la spiaggia “Edy” esponendoci un prezzo di 15€ giornalieri. Una volta arrivati ci hanno avvisato dell’aumento di 5€ al giorno e quindi 20€ totali al giorno. Per curiosità ci siamo recati nel bagno accanto per chiedere il Tariffario, il quale si trova proprio di fronte all’attraversamento pedonale, e ci hanno fatto un prezzo molto più conveniente. Bagni “LUCIANO”. Sono tre fratelli simpatici, disponibilissimi e con una struttura a nostro parere migliore rispetto alle altre, dotata di ottimo bar dove non manca nulla, giochi per grandi e piccini tra cui Ping pong e campo da beach volley. Anche altre persone del nostro hotel hanno scelto e preferito questa struttura, più popolata rispetto alle altre e tutti siamo rimasti più che soddisfatti. DISTANZA: 400m dall’hotel.Consigli: abbassate i prezzi del noleggio bici, purtroppo esagerato.5 pallini tripadvisor più che meritati: siamo stati in hotel 4* (anche non recensiti) che meritavano a dir tanto le tre stelle di classificazione, una delusione, mentre questa struttura, invece, nel complesso ne meriterebbe 4 e non 3. Grazie di tutto, consigliamo questo soggiorno e sicuramente torneremo. BonannoSilvestri",Hotel Venezia,2019-07-05,5 stelle
37,DaveTurin78,"L’hotel è in ottima posizione, a 200 metri dal mare, nella pineta di Marina di Pietrasanta. È una struttura anni 80 che dispone di un bel giardino sul cui retro è presente un parcheggio per circa 20 auto ed una piccola piscina.Le camere sono mediamente ampie ma purtroppo mobilio e design datati e di media qualità non rendono molto confortevole il soggiorno, soprattutto perché non sono insonorizzate ed il riposo è difficile dal momento che ogni rumore esterno all’ hotel o anche solo dalle camere vicine è udibile.Colazione solo discreta molto orientata sul salato.Ristorante discreto ed economico, per una cena senza pretese.Una segnalazione positiva per il personale, presente e cordiale.Rapporto qualità prezzo a mio avviso non ottimale, la struttura non vale quanto pagato per una camera economy ma forse dipende dal soggiorno a metà settembre.",Hotel Venezia,2019-07-05,3 stelle
38,Alessio C,"Ho soggiornato con la mia ragazza in questo hotel dal 3 al 6 settembre...camere pulitissime, servizio impeccabile...dotato di piscina ad uso comune e parcheggio privato gratis (non è da tutti, alcuni si fanno pagare fino a 15/20 euro al giorno) cosa non da poco. Personale gentile e disponibile, cucina ottima e colazione a buffet con varietà di ottimi cibi...ottima qualità prezzo...convenzione con spiaggia privata a 100m dall' hotel...complimenti !!",Hotel Venezia,2019-07-05,5 stelle
39,robisa453,"Sono stata per la seconda volta in questo hotel, si mangia benissimo e la gentilezza e simpatia del cameriere Cesare non ha eguali. Il personale in reception è disponibile ad ogni nostra esigenza, il posto dista 5 minuti dal centro e dalla spiaggia; si trova in una zona tranquilla e silenziosa.",Hotel Venezia,2019-07-05,4 stelle
40,Luca M,Utilizzato come sosta durante un lungo viaggio. Personale molto cordiale. Stanze molto semplici ma funzionali. Vicino a molti locali per cenare e molto vicino a Pietrasanta che consiglio per una passeggiata e la cena. Visto il prezzo direi assolutamente ottimo,L'Alba Hotel,2019-07-05,4 stelle
41,Marika G,"Stanza moderna, funzionale e pulita. Ottimo rapporto qualità prezzo. Personale gentile e disponibile. Posizione buona. Biciclette a disposizione degli ospiti su richiesta. Ci tornerei. Da valutare però in alta stagione...",L'Alba Hotel,2019-07-05,4 stelle
42,Gabriele G,"Una notte a inizio ottobre 2018, hotel panoramico a circa 150m dal mare in zona tranquilla, eravamo al sesto piano con ascensore, balcone vista mare, colazione ottima, servizio bici gratuito e wifi. Potendo sarei rimasto qualche giorno in più ...... Consigliato. ",L'Alba Hotel,2019-07-05,5 stelle
43,costola84,"Buonasera a tutti. Siamo stati per la seconda volta a distanza di un paio d'anni e abbiamo avuto la riconferma. Struttura e personale qualificati.  Stanze pulite. Cena o pranzo con scelta tra carne o pesce. Un grazie ad Alfredo, Michele e Valentina per la simpatia e la professionalità. Se dovessimo tornare in zona sicuramente sarà un ns. punto di riferimento. Bravi…",L'Alba Hotel,2019-07-05,4 stelle
44,vitto ferrara v,"Abbiamo soggiornato la settimana di ferragosto 2018, camera superior vista mare. Camera esattamente come da immagini su internet, camera perfettamente nuova con arredamento moderno, compreso il bagno con sanitari nuovi e doccia ampia. Tutto molto pulito. Molto gradito la macchinetta del caffe' con capsule nespresso e il bollitore con varie bustine e tisane. Il  balcone con vista mare ( eravamo al 4° piano ) attrezzato con tavolino e sedie e anche di un comodo stendino. Personale molto gentile, disponibile e mai invadente. A disposizione dei clienti biciclette molto comode. Torneremo sicuramente.…",L'Alba Hotel,2019-07-05,4 stelle
45,luhamilano2013,Un Hotel bellissimo! Camere ampie è spaziose!Colazione abbondante!Personale educato!Ben accetti i cani!Con un solo appunto negativo purtroppo il supplemento dei cani anche piccoli è pari a € 9; ma su Booking.com o altri siti c’è scritto: potrebbe essere richiesto che è ben diverso dal richiedere!!Quindi sarebbe meglio che la struttura modificasse la dicitura in è richiesto! Con la specifica del prezzo!!,L'Alba Hotel,2019-07-05,3 stelle
46,luluFirenze,"Accoglienza ottima.Siamo stati un week end di luglio. Ci hanno dato una tripla...claustrofobica, letti scomodi. Frigorifero staccato con nulla dentro. Armadio mezzo rotto. Arredamento squallido e vecchio. In bagno c’è un vecchio phon con proboscide dell’ante Guerra.Tutto molto pulito.La colazione è semplice e un po’ scarsa se arrivi verso le 9. Bevande e caffè dal distributore. L’hotel sarebbe perfetto per chi non ha troppe pretese ma le pretese ce le hanno loro per il conto: 280€ a notte per 2 adulti ed una bambina di 11 anni.Questa è follia. L’ho fatto presente.Potrete replicare come volete ma fatto sta che NON CI SIAMO. Qualunque cosa diciate a meno che non abbiate una bacchetta magica viene confermata appena si entra in contatto con la vostra struttura.Sconsiglio vivamente questo posto.",L'Alba Hotel,2019-07-05,2 stelle
47,SarettaGg,"Abbiamo soggiornato una notte presso questo Hotel e ci siamo trovati bene. La nostra camera, al sesto piano, aveva una vista meravigliosa verso il lungomare ed era silenziosissima. L’albergo è situato in una posizione tranquilla, lontana dal traffico e dai rumori della vita notturna ma a due passi dalla spiaggia. I gestori sono veramente due persone squisite e sono stati gentilissimi e disponibili a sostituirci la tessera della camera che non funzionava correttamente. Piccolo parcheggio interno alla struttura, ma possibilità di lasciare la macchina all’esterno in posti gratuiti. La colazione sul terrazzino è stata piacevole.",L'Alba Hotel,2019-07-05,5 stelle
48,Rosanna Mercadanti,Ho alloggiato  in questo hotel .Sono contenta.il personale è  gentile e indisponibile. Le camere sono pulite.la colazione accettabile lo consiglio.la cosa negativa che ho trovato è  il parcheggio. Non che i gestori non siano disponibile a risolvere un problema.purtroppo esistono dei cafoni che chiudono l'uscita .,L'Alba Hotel,2019-07-05,5 stelle
49,Roberto V,"Hotel nella parte tranquilla di Marina di Pietrasanta, a due passi dal mare ed a 5 minuti dal centro (passeggiata piacevole). Volendo ci sono anche le bici gratuite. Nessun problema di parcheggio (la struttura ne ha uno suo non molto grande ma in strada si trova facilmente). Consiglio le stanza superior con vista mare. Cortesia super (abbiamo avuto un problema con la prenotazione risolto bene dal direttore). Ottimo il servizio ristorante.",L'Alba Hotel,2019-07-05,4 stelle
50,Donatella00,"Siamo andati per una notte in questo hotel.  Eravamo in 3, oltre a cane e gatto.  Abbiamo soggiornato nella garden suite che è ""a parte"" rispetto al corpo di fabbrica dell'hotel.  Molto gradevole. E' stato un soggiorno breve ma veramente carino.  Il personale è gentilissimo.  Ci hanno concesso un late check out, con disponibilità e un sorriso.  Abbiamo fatto la colazione tardissimo (era finito quasi tutto, ma non ci hanno detto di no).  Torneremo. Non vi preoccupate se quando arrivate, vedendo l'edificio, potreste pensare: dove sono arrivato.",L'Alba Hotel,2019-07-05,4 stelle
51,Claudia A,"Abbiamo alloggiato 4 giorni in questo hotel posto veramente carino a due passi dalla spiaggia, personale gentilissimo, colazione abbondante a servita in una terrazza fantastica, unico neo il materasso parecchio scomodo, per il resto consigliatissimo!",L'Alba Hotel,2019-07-05,4 stelle
52,enzonik87,1 prenotato su Booking.com per trascorrere 2 giorni al mare di Pietrasanta. L’albergo è vicino al mare in una zona residenziale molto silenziosa con tanto verde. La camera matrimoniale con balcone vista mare. Personale molto disponibile e gentile. Unica nota la colazione che poteva essere più ricca e variegata e di qualità.,L'Alba Hotel,2019-07-05,4 stelle
53,Sara R,"Ho soggiornato in questo hotel una notte insieme al mio ragazzo in occasione del Lucca Comics.Colazione buona e abbondante, fornita sia di dolce che di salato; peccato che il cameriere almeno un sorriso ed una risposta al mio ""Buon giorno"" poteva anche darla.Camera molto carina e calda, con piccolo terrazzo; letto comodo; bagno nuovissimo e moderno con doccia molto ampia.L'unica nota negativa è stata quella di non avere il porta carta igenica e di avere una sola bustina di doccia schiuma nonostante fosse una camera matrimoniale. Per il resto tutto bene!",L'Alba Hotel,2019-07-05,3 stelle
54,ladysamp,Camera con terrazzo e vista mare/Monti Comodo perché a 2Passi dai bagni convenzionati è davvero super economici  Camera con mobilio e bagno datati ma puliti Silenzio sia di giorno che di notte grazie alla lieve lontananza dalla strada principale A me è piaciuta molto l’area dove veniva servita la colazione molto ben arredata e terrazzata!,L'Alba Hotel,2019-07-05,4 stelle
55,ULBI t,"Personale gentile e disponibile, pulizia ottima , zona silenziosa e comoda(vicina alla spiaggia) colazione,pranzo, cena molto buone anche buffet serale sempre ottimo e vasto. Camere buone e bagni nuovi e funzionali. CONSIGLIATISSIMO!",L'Alba Hotel,2019-07-05,5 stelle
56,G-M_1954,"Hotel di 6 piani in una tranquilla zona residenziale fra Tonfano e Fiumetto. Centro di Tonfano 10-15 minuti a piedi; spiaggia convenzionata a meno di 5 minuti. Tutte le camere sono verso il mare e dal 3° piano in su non hanno costruzioni davanti. Camere non enormi, ma comode; ampio balconcino con sedie e tavolinetto; bagno (con box doccia chiuso) recentemente ristrutturato; TV a schermo piatto; condizionatore autonomo; mini-frigo in camera. Ottima la pulizia e la cortesia del personale. Colazione a buffet con buona scelta, sia di dolce che di salato. Bici disponibili gratuitamente (anche se -ovviamente- ad esaurimento). Wi-fi gratis. Ping-pong. Parcheggio interno molto piccolo, ma si trova sempre da parcheggiare gratuitamente nella strada antistante l'hotel. Abbiamo scelto il B&B e quindi non possiamo giudicare il servizio ristorante. Unico neo: l'arredamento della stanza, decisamente vecchiotto. Hotel raccomandabilissimo per un soggiorno di relax.",L'Alba Hotel,2019-07-05,4 stelle
57,cip i,siamo stati presso questo hotel un week end di giugno. letti scomodi.. e hotel un po datato.. ma per 2 notti massimo va bene. per chi si accontenta.. accettano cagnolini. nelle vicinanze spiaggia e lungomare. mi aspettavo qualcosa in più come zona. non mi ha soddisfatto la versilia.,L'Alba Hotel,2019-07-05,2 stelle
