,utente,commento,hotel,dataIns
10,Alessandro M,"Ottima struttura, personale disponibilissimo. Pulizie dei servizi molto buona. Dopo parecchi anni che andiamo, per noi è sempre un po' come tornare a casa. Buonissimo ristorante. Posto ideale per rilassarsi.",Camping Olympia,2019-07-05
11,Elena F,"Abbiamo alloggiato negli alpine lodge, e tutto era perfetto e perfettamente in stile montano. Il camping è situato in una posizione strategica, vicinissimo al lago di Braies e alle tre cime di Lavaredo. Personale gentile e disponibile per qualsiasi informazione o chiarimento.Ci tornerei mille volte!",Camping Olympia,2019-07-05
12,Elena V,"Da tempo ormai è la nostra base per le gite in sud tirolo. Il campeggio offre una miriade di comodità (bagni riscaldati, stanza con fasciatoio e vaschetta, bagno e doccia per i piccoli, vasca per i cani, piscina, servizio navetta, card per i trasporti pubblici inclusa, mini zoo, noleggio bici...) e il personale è sempre cortese e premuroso. Il bus ferma proprio davanti all’ingresso. Ciliegina sulla torta: l’ottimo ristorante annesso! Davvero consigliato!",Camping Olympia,2019-07-05
13,Roberta C,Ottima accoglienza e ospitalità in questo bel campeggio in Val Pusteria. Ci sono tutti i servizi necessari e spazio per i ragazzi. Bello anche il mini-zoo. Penso che in estate sia ancora meglio! Ci torneremo sicuramente.,Camping Olympia,2019-07-05
14,Simona B,"Ho scelto questo campeggio per caso. Ottimo posto, tranquillo e molto pulito. Noi eravamo in camper e siamoo stati benissimo. se dovessi ritornare in val pusteria ritornerei in questo campeggio. Lo consiglio vivamente.",Camping Olympia,2019-07-05
15,carlofranz,"Volevamo trascorrere alcuni giorni nella tranquillità e nella cortesia pusterese e al Camping Olympia non puoi sbagliare. Accoglienza impeccabile, servizi perfetti come sempre qui abbiamo trovato! Bravi!!!  Carlo & Silvana",Camping Olympia,2019-07-05
16,Fabio S,"Che dire... Ci siamo sentiti come a casa,immersi nella natura circondati dalle dolomiti innevate!Ma la cosa che vi differenzia,è la gentilezza e la cura che avete dei vostri ospiti! Il campeggio pulitissimo e curato in ogni dettaglio,nonostante fossimo in stagione di mezzo dove ancora le attività non sono riprese.Ci torneremo sicuramente perché abbiamo ""dimenticato"" li...un pezzetto di cuore!! A prestoBianco desy , Fabio e Serena",Camping Olympia,2019-07-05
17,sunriseb38,"Camping delizioso per una bella vacanza in Val Pusteria. Posizione ottimale sia per la ciclabile, che passa appena fuori il campeggio, sia per i bus con fermata dedicata (e il camping offre compresa nel prezzo la card Alta Pusteria per girare con treno e bus in tutta la valle gratuitamente).Pulitissimi i servizi e le varie aree di sosta, e tanta cortesia e professionalità Torneremo sicuramente",Camping Olympia,2019-07-05
18,Andrea E,"Tutto comincia due settimane prima del ns soggiorno in questa struttura. Telefono prima per prenotazione della piazzola 510 e successivamente mi viene confermata on line prenotazione e la piazzola prescelta. Prima del ns arrivo mi accerto nuovamente della prenotazione che mi viene confermata... Però la piazzola non è più disponibile è già stata occupata sebbene da loro conferma... Alla reception al mio arrivo si scusano ma niente si può fare... Prima delusione e nessun tentativo con chi occupa ormai la 510. Ci sistemiamo comunque.La sera dopo aver prenotato al ristorante del camping ordiniamo due pizze, la cameriera ci dice che ci sarà da aspettare 15 min. Mia figlia 12 anni ha fame e dopo 45 min di attesa ci alziamo Avvisiamo e lasciamo questa specie di ristorante dove nessuno si scusa del disservizio anzi... Così si libera il tavolo!! Il camping non offre un gran ché ed è pure triste... Credo che non ci metteremo più piede e non lo consiglierò mai a nessuno... Un vero schifo.",Camping Olympia,2019-07-05
19,aleroby93,"È solo la seconda volta che veniamo al camping Olympia ma torneremo tutte le volte che sarà possibile: è tutto perfetto, pulito, organizzato e accogliente. E la zona merita sicuramente tanti chilometri.",Camping Olympia,2019-07-05
20,atti S,"Siamo andati con la famiglia per visitare firenze. Che è a 5 min di auto ma forse meglio andare in bici perché è davvero a pochi km e parcheggiare a firenze.... Preso il bungalow con due stanze due bagni. Non è enorme ma alla fine due bagni letti comodi, aria condizionata, cucina con quello che serve (che non abbiamo usato) e veranda esterna. I bungalow sono molto vicini tra loro e forse è un po’ un difetto ma se lo spazio è poco... Bella la piscina, i ragazzi si sono divertiti parecchio.  Il ristorante è valido ma molto caro. Si mangia bene, forse sono un po’ lenti, ma i prezzi sono un po’ eccessivi per il tipo di struttura. Alla fine servirebbe una cosa un po’ più alla mano per gente che va in campeggio e non all’hotel. Non capisco poi la mancanza di un bar vista Arno, sarebbe comodo perché dal lato dei bungalow e anche carino visto che ci si potrebbe rilassare lontano dal casino Ad ogni modo lo consiglio noi ci siamo trovato davvero bene…",Camping Village Firenze,2019-07-05
21,Alessandro R,"Sono stato tre giorni  e sono rimasto molto soddisfatto della permanenza in questo camping piscina non molto bella ma con 40 gradi diventa bella, stanze molto belle anche se un po' piccoline ma ne vale la pena farsi una vacanza qui",Camping Village Firenze,2019-07-05
22,faret06,"Molto bello e pulito piazzole spaziose e piscina accessibile a tutti. vicino ai mezzi pubblici e con la possibilità di arrivare a 20 min dal centro (a piedi) con la navetta. Inoltre per chi volesse ci sono  l'area barbecue, il market e un ristorante   ",Camping Village Firenze,2019-07-05
23,Matteo T,"Piscina perfetta per bambini piccoli, con giochi d'acqua, cascate, e ingresso simil spiaggia.spesa 28€ due adulti ed un bambino sotto i 3anni, ombrellone e sdraio gratis fino ad esaurimento.La piscina per i grandi è abbastanza piccola.Presente anche un area relax con prato ed alberi, bar e ristorante. Per la mia esperienza una delle piscine più comode/carine a firenze.…",Camping Village Firenze,2019-07-05
24,marty28cumpa,"Si sa che quando si va nei campeggi ci si deve adattare a quello che si trova, ma il camping village Firenze è stata proprio una piacevole sorpresa. Bello, pulito e la piscina fantastica. Lo consiglio vivamente, anche perché è a due 10 minuti dal centro di Firenze e dal ma dal Mandela forum, quindi ottimo punto strategico anche dopo un concerto per chi viene da fuori.…",Camping Village Firenze,2019-07-05
25,RobertoElenaFederico,"Sono stato con alcuni colleghi in questo camping poco fuori Firenze, zona Lungarno: chalet per 4 posti letto, 2 bagni, cucinino attrezzato, climatizzato, veranda esterna e posto auto. Segnalo solo l'assenza della tv. Mi ha sorpreso la pulizia e la cura dell'intero complesso. Doppia piscina, campetto in sabbia (forse la cosa meno curata, cemento che affiora e pietre), mini market, lavatrici self service, bar e ristorante - birreria. Peccato per la presenza di zanzare dal tardo pomeriggio, ma rapporto qualità-prezzo impareggiabile.",Camping Village Firenze,2019-07-05
26,Bigheart,"Abbiamo provato questo campeggio nel week end della settimana più frequentata dell’anno a Firenze. Malgrado il caldo, il mio non facile impatto con migliaia di persone e la coda di mezz’ora al check-in, devo fare i complimenti ai ragazzi per come sono riusciti a gestire bene l’emergenza. Buona la ristorazione con servizio veloce e gentile, discrete le piazzole camper (difetti terreno un po’ in pendenza e scarsa ombra) e i servizi igienici. Molto bene il personale, gentile ed efficiente. Troppo affollata la zona piscina (frequentata purtroppo anche da gente che non pernotta in campeggio). Erano disponibili anche shuttle per il Rocks Festival (30€ a/r). Concerto dei Cure spettacolare.",Camping Village Firenze,2019-07-05
27,Mario Iodice,"Sono stato questo weekend presso questo villaggio camping con alcuni amici ognuno sistemato in un bungalow. Buona e bellaLa struttura così come le casette, molto accoglienti e pulite. Non condivido l’assenza della pulizia giornaliera, con sostituzione scegli asciugamani. DaMigliorare gli orari del bar ( alle ore 7 del mattino ancora chiuso ) ed il servizio piscina.",Camping Village Firenze,2019-07-05
28,RomaDado,"Soggiorno di soli due giorni presso questa struttura che abbiamo prenotato non conoscendola. E' stata una buona rivelazione perché risulta essere vicina al luogo di interesse che nella fattispecie è Firenze.  E' ben organizzata in tutto, a partire dalla reception,  alle casette che sono complete di tutto e soprattutto ben pulite. Anche le stoviglie sono assolutamente utilizzabili. Noi siamo in tre ed avevamo due camere e due bagni con docce comodissime nello stesso chalet. L'unica pecca è l'assenza del bidet che a noi italiani piace tanto. Buono il market, il ristorante birreria e il servizio navetta che porta a Firenze (forse da estendere l'ultimo orario di ritorno serale che è alle ore 19.15)",Camping Village Firenze,2019-07-05
29,Rheino-14,"Non è il classico campeggio che conosciamo, ma è un complesso extra alberghiero composto da piazzole per i camper e di numerosi bungalow ottimamente disposti e puliti ben attrezzati. A disposizione un ampio ristorante-pizzeria con  terrazza. La cucina offre diverse soluzioni dai primi piatti come gnocchetti di patate o ravioli alla zucca oppure varie insalatone e costate di manzo alla fiorentina. Nel mattino si può consumare la piccola colazione semplice oppure più sostanziosa a buffet. Il personale è molto gentile e disponibile soprattutto nei confronti dei bambini. L'attrazione maggiore sono le due piscine, una adatta alle esigenze dei bambini e l'altra più profonda per gli adulti. La location è unica, a soli 5 km dall'uscita autostrada FI sud e ti trovi in una realtà totalmente balneare. Indicata per le famiglie.",Camping Village Firenze,2019-07-05
30,Camillabuccia,"Io insieme alla mia famiglia abbiamo dormito in questo Villaggio in un piccolo boungalow. Aria condizionata funzionante, acqua calda immediata nella doccia. Piscine pulite e carine. Personale cordiale, prezzi per la colazione modici. Ci riandrei!",Camping Village Firenze,2019-07-05
31,delfo78,"Buona soluzione come punto di partenza per visitare Firenze, ideale per tutti coloro che prediligono la libertà dei campeggi rimanendo comunque vicino ai punti di maggior interesse. Il camping offre tutto l'occorrente per trascorrere delle piacevoli ferie come, ristorante, bar, piscina, market, lavanderia, parco giochi e servizio navetta.  Consigliato soprattutto alle famiglie con bambini.",Camping Village Firenze,2019-07-05
32,stellaasche,"In una posizione molto comoda per poi entrare a Firenze. Campeggio nuovo, attrezzatissimo, pulito lungo l'Arno.. bungalow comodi e dotati di tutto il necessario. Molto organizzati per ogni esigenza anche per chi va in Camper.. o per gli irriducibili delle tende (veramente pochissimi). Navette per andare in centro.",Camping Village Firenze,2019-07-05
33,Fabrizio D,"Un fine settimana passato visitando Firenze mentre i nostri ragazzi aspettavo di assistere al concerto degli Imagine Dragons. Un camping che nonostante avessi letto solo recensioni positive è andato oltre le aspettative. Situato a 5 minuti dal casello autostradale e a 5/7 minuti dal centro di Firenze, dotato di servizio navetta che parte ogni 20min. dal campeggio andata e ritorno. Receptionist cordialissimi come del resto tutti i collaboratori della struttura... chalet molto confortevole ma soprattutto molto molto pulito, un ristorante (“il pedavena”) con una birra artigianale deliziosa e con tagli di carne eccellenti. Che dire di più, lo consiglio vivamente a tutti coloro che vogliono passare qualche giorno in relax sul lungarno o fare una gita a Firenze. Appena ne avrò occasione farò ancora visita a questa struttura.",Camping Village Firenze,2019-07-05
34,Francesca G,Ho soggiornato con la mia famiglia al Camping in Town per 3 giorni. Sono stata incuriosita da quel ragazzo con il cappello autista del calessino. Ci ha spiegato tutte le tipologie di itinerari che era possibile fare e abbiamo scelto il giro in città e campagna. Esperienza da non perdere!! Cultura e divertimento insieme.... Grazie davvero Sauro e tutto lo staff del campeggio.,Camping Village Firenze,2019-07-05
35,1964Marcello,"Bungalow accogliente e pulitissimo, con ogni accessorio per il confort. Logistica curata, ristorante di ottimo livello e con grande scelta. Accoglienza e servizi degni di nota compreso l'utilizzo della piscina ""fuori stagione"" molto apprezzato dai ragazzi. Prezzo complessivo assai buono. Unica pecca la colazione continentale senza brioche e di prezzo troppo elevato.",Camping Village Firenze,2019-07-05
36,Andrea T,"Dormito una notte in camper presso la struttura.Piazzole molto larghe dotate tutte di allaccio acqua e corrente, tutte in piano o al limite con pochissimo dislivello. Bagni puliti soprattutto tenendo conto che l'affluenza era davvero elevata. Tutta la struttura è gestita molto bene, e molto curata in tutti i dettagli. Comodissima la pista ciclabile lungo l'Arno. collegata con il camping e che ti permette di arrivare fino in centro! Possibilità di noleggiare le bici al campeggio, c'è anche una navetta che con soli 3 euro ti porta in centro. Piscina molto bella e ristorante bar molto carini.",Camping Village Firenze,2019-07-05
37,Giovanni P,"Bel campeggio alle porte di Firenze. Logisticamente perfetto in quanto si arriva in centro percorrendo direttamente un vialone fino in centro, utilizzando la loro navetta ( 3 euro andata e ritorno ) o la linea 14 con fermata a 300 ma dalla struttura. Abbiamo soggiornato in un bungalow per tre persone molto pulito e comdodo in quanto si può parcheggiare davanti all’ingresso della canotta.Due pecche secondo me importanti in camera, fornitura prodotti di necessità scarsissima ( 1 rotolo di carta igienica  e un sapone  in tre per tre giorni ) e la mancanza del bidet in camera.Possibilità di mangiare presso la fabbrica di PedAvena all’interno della struttura.Nel complesso tutto molto pulito e tenuto bene.Prezzo da parte mia molto buono .Sicuramente da tenere in considerazione.",Camping Village Firenze,2019-07-05
38,Luca O,"Struttura praticamente nuova, dotata di quasi ogni comfort. Molto comodo per raggiungere in bicicletta il centro lungo l' Arno(in ciclabile) in soli 5km. Unica nota negativa l'assenza della raccolta differenziata",Camping Village Firenze,2019-07-05
39,Mario C,"Bel campeggio alle porte di Firenze,vicino alla fermata dell' autobus. Per il centro (n14) ferma in centro a 50 m dal duomo . Ottimo anche il servizio navetta anche se un po caro ,market fornito bellissima la piscina",Camping Village Firenze,2019-07-05
40,Altoatesino,"Ho soggiornato con la mia famiglia per due settimane al camping Torre Castiglione nel mese di Giugno. Nel complesso siamo stati bene e il soggiorno è stato davvero piacevole. Sicuramente ci sono alcuni aspetti da migliorare.  Abbiamo alloggiato nella mobilhome deluxe. Si tratta di strutture nuove, dotate di climatizzatore, una bella veranda con ampio spazio dove poter mangiare, un bagno piccolo ma dotato del necessario (doccia calda, bidet, lavandino, wc). Vi sono poi  due camere da letto, una matrimoniale ed una con due letti singoli. Se è vero che i materassi non sono grandi, è altrettanto vero che sono piuttosto comodi (aspetto fondamentale per il sottoscritto). Completa la struttura una piccola cucina con un tavolino. Sicuramente migliorabile la dotazione della cucina che risulta essere minimale (qualche posata e qualche piatto in più non guasterebbe). Ottima la pulizia dell’alloggio al nostro arrivo. L’accesso alla spiaggia è immediato, con 3 minuti a piedi si raggiunge la meravigliosa spiaggia privata del camping (ai lati c’è spiaggia libera). Abbiamo potuto godere dei colori meravigliosi che questo angolo di Salento offre. Nel mese di Giugno, personalmente ritengo sia ai livelli della Sardegna (anche superiore in alcuni casi). Completa la magica atmosfera la possibilità di prenotare l’ombrellone con la comodità di poter lasciare i vari giochi dei bambini per tutta la vacanza. I bravissimi bagnini (Matteo e Joele) sono sempre presenti e vigili su tutto e tutti.  La prima settimana di vacanza è stata allietata dalla meravigliosa animazione proposta dal capo animatore Enrico, affiancato da dj Pasquale e da Martina e Maridora (che hanno instaurato un bellissimo rapporto con i più piccoli). I ragazzi hanno saputo coinvolgere gli ospiti (sia i più piccoli che i più grandi) con un’animazione simpatica, varia e mai invadente. Durante la seconda settimana, nonostante qualche problema organizzativo, l’animazione è comunque stata presente anche grazie al supporto di Alessio. All’interno della struttura è presente un bar, un mini market (ben fornito) è un ristorante dove si può mangiare del buon pesce (o anche la pizza). I gestori ed il personale sono persone davvero gentili e disponibili sempre pronte a soddisfare i bisogni degli ospiti. Passando agli aspetti da migliorare: - una struttura 4 stelle a mio avviso dovrebbe prevedere Wi-Fi gratuito per gli ospiti, almeno nelle  zone comuni  - dotazioni della cucina troppo minimali  - lavatrici a disposizione degli ospiti sono un po’ datate e una delle 3 è stata fuori servizio per 14 giorni  - docce calde a pagamento per chi alloggia in camper  - campo da calcetto a pagamento  - chiosco in spiaggia ancora chiuso a Giugno (ritengo che all’apertura dovrebbe essere già tutto funzionante ed operativo).…",Camping Torre Castiglione,2019-07-05
41,Dapa322,"Per farla breve la signora proprietaria è di una  maleducazione e presunzione che non si addicono assolutamente a chi vuole fare un lavoro che la porti ad interagire con le persone e con dei clienti. Al mondo non esistono solo i soldi come è stato per loro, esistono la parola, il rispetto e le buone maniere. Gestioni di questo tipo meriterebbero di provare cosa significa non avere clienti e doverseli guadagnare. Mi dispiace solo per il personale che ci lavora perché sono tutti molto carini e disponibili e si vede che cercano di sopperire alla scarsità dei proprietari. Il camping in generale non può essere considerato un 4 stelle. Le deluxe sono molto belle ma per il resto assolutamente pessime. Abbiamo soggiornato una settimana in deluxe e due notti in Burstner e non c’è paragone considerando che la differenza di prezzo è di soli 10 euro a notte. Consiglierei di pulire in maniera più accurata anche quelle più vecchie e di fornirle di un equipaggiamento stoviglie un po’ più adeguato.…",Camping Torre Castiglione,2019-07-05
42,Serena G,"Abbiamo soggiornato nella struttura nel mese di giugno 2019 in Maxicaravan MOBILHOME BURSTNER. Buona la cucina del ristorante pizzeria, mini market ben fornito ed entrambi gestiti da persone simpatiche e molto disponibili. Ottima la pulizia in tutte le strutture. Il personale controlla giornalmente tutte le aree del campeggio con discrezione ma dando comunque una sensazione di tranquillità. Bellissimo il mare e spiaggia ben curata con presenza costante del personale di salvataggio. Adiacente alla spiaggia è presente un'ampia area attrezzata con panchine e tavolini all'ombra naturale della pineta. (stavano predisponendo anche l'installazione di un chiosco bar). Molto buona l'animazione coinvolgente ma non invadente che organizza numerosi giochi e attività nell'arco della giornata per adulti e bambini. Gli animatori si sono dimostrati preparati e di compagnia anche al di fuori delle singole attività. …",Camping Torre Castiglione,2019-07-05
43,Davide Bergamo,"Bellissimo posto, diciamolo incantevole  Bravissimi lo staff sempre molto disponibili a risolvere ogni problematica.   In più SUPER l'animazione  bravissimi i ragazzi e le ragazze CHE CI LAVORANO  sanno coinvolgere tutti  Dai bimbi a noi adulti  ",Camping Torre Castiglione,2019-07-05
44,PierluigiBalbi,"Location ottima ( spiaggia e pineta al top ), pulito, ordinato, accogliente la direzione ma un po’ troppo chiassoso per i nostri gusti ( ammetto di essere un orso e gradire il massimo relax e silenzio. Quindi giudizio soggettivo ). Mare fantastico, vale un giro. ",Camping Torre Castiglione,2019-07-05
45,faggi72,"Posto bello anche se molto lontano da qualsiasi centro abitato.1-wifi a pagamento. Doccia a pagamento. Giochi a pagamento. Azz: che senso ha avere un campetto da calcio e uno da minigolf se nessuno li usa? 2-appena arrivi ti tolgono 100 euro in contanti x cauzione. ""Ma resto senza.."" ""Bancomat a 15km"". Così come mandare un genitore (per fortuna non io) a piedi a Porto Cesareo per prendere una medicina alla figlia. Dai, questa è umanità.3-non prendono assegni per pagare dato che ""non ci va di andare fino a Lecce per incassarlo"". E devo andarci io?4-personale poco garbato che a qualsiasi domanda rimandano ad un fantomatico ""responsabile"" che va cercato dalle 17 alle 17.10. ""Non abbiamo tempo per cose poco serie per gonfiare un materassino"".5-pulizie fatte spentolando e urlando alle 7 di mattina (!)6-il matrimoniale è a una piazza e mezzo. Il singolo è un divanetto di 150x80cm. Se non siete pigmei è un problema.7-Mangiato una pizza all'arrivo, la peggiore mai presa in 47 anni di vita. Mangiata di nuovo all'ultima sera, ancora peggio. Allora non era un caso.Bella la vicinanza alla spiaggia, ma per il resto ci sono almeno due stelle di troppo.",Camping Torre Castiglione,2019-07-05
46,Annie0811,"Ho trascorso un paio di notti presso questa struttura. Il luogo in cui è ubicato questo campeggio è favoloso, il mare e il paesaggio mi hanno soddisfatto appieno. Ho gradito anche il fatto che ci fosse la spiaggia solo di pertinenza del campeggio. I bagni, e i vari luoghi sono puliti, il personale cortese. Il campeggio offre anche animazione. Abbiamo anche cenato al ristorante  e siamo stati soddisfatti. Unico neo... la mia pelosetta, una barboncina, è stata accettata, ma in alta stagione i cani non sono ammessi.",Camping Torre Castiglione,2019-07-05
47,Ros,"Siamo al 18 giugno del 2019 e con tutta la propaganda di non abbandonare i cani, oggi mi è stato vietato con il camper l'accesso ed il soggiorno in questa struttura perché ho un cane giuro dalle loro misure, in quanto accettano cani solo dopo valutazione della proprietà.Mi era già stata impostata la scheda per accedere, quando è arrivata una ""signora"" che presumo fosse la proprietaria e non mi ha dato il consenso all'accesso alla struttura adducendo futili motivi.Da tenere presente che siamo al 18 giugno e vi era scarsa presenza di ospiti quindi a mio avviso avrei dato poco fastidio.Secondo me nel Salento se la stanno tirando un po' troppo, perché l'Italia è piena di zone altrettanto belle se non addirittura favolose ed a prezzi anche più accessibili con servizi di qualità.Questo è solo la mia esperienza odierna ed una stella è  anche  troppo",Camping Torre Castiglione,2019-07-05
48,Silvia P,"Arrivati il sabato per il primo fine settimana in campeggio. Ci fanno notare che hanno fatto un eccezione ad accoglierci in quanto chiedono permanenza per almeno due notti.. l'osservazione con tono scortese è stata 'siamo un villaggio non uno stabilimento balneare..""...eppure l.insegna all""esterno indica un camping... La domenica, con il campeggio quasi vuoto, ci dicono di smontare e lasciare il campeggio entro le 10! Chiediamo di lasciare la macchina nel parcheggio e restare in spiaggia per qualche ora ed inizialmente ci fanno una ""concessione eccezionale"", poi ci dicono che non è possibile.. Volevamo pranzare al ristorante, ma non ci è stato possibile... Animazione...questa sconosciuta...Pulizia della nostra piazzola dagli aghi di pino effettuata durante le operazioni di smontaggio della tenda ( con tutto il campeggio libero..)Docce calde a pagamento. Unici punti a favore: - accesso diretto alla bellissima spiaggia non privata (piccola ma vivibile a giugno).- personale del bar e del market gentile.  Conclusioni: mi dispiace per il posto ma non ci torneremo; la gentilezza è per noi requisito fondamentale di qualsiasi struttura ricettiva. con alle spalle quarant'anni di campeggio, risposte di questo tipo, soprattutto nei primi giorni di giugno, a camping deserto, non ne abbiamo mai ricevute...",Camping Torre Castiglione,2019-07-05
49,Paola F,"Se ami il campeggio, sia in tenda sia in caravan sia in casa mobile, e hai voglia di rilassarti in un luogo ancora incontaminato, fermati in Puglia a Porto Cesareo al campeggio Torre Castiglione, un post per godersi una vacanza tutto relax.",Camping Torre Castiglione,2019-07-05
50,MarianoCavuoto,"abbiamo sostato in questo camping iniziando la nostra vita da camperisti e onestamente come prima esperienza non mi poteva capitare camping migliore, cordialità e ottima organizzazione gia dall'arrivo, siamo stati accompagnati alla nostra piazzola e ci hanno lasciato sceglierre la soluzione migliore per noi, ottimi tutti i servizi e facile gli spostamenti per bagni e mare. animazione non male,  minimarket un po caro ma ben fornito. consiglio una visita nel camping torre castiglione",Camping Torre Castiglione,2019-07-05
51,milena r,"La pineta in cui è collocata la spiaggia è sicuramente incantevole, ma certo non è sufficiente per il costo di una struttura, il caravan, che anche se nuovo, è scomodo è attrezzato in modo indecente( parlo di stoviglie di plastica e accessori per la cucina) Per il resto posso sottolineare come la spiaggerà è carina ma piccola, nel mese di agosto la gente è tanta ed anche il ristorante non è assolutamente capace di soddisfare le richieste.",Camping Torre Castiglione,2019-07-05
