49,Crowne Plaza Milan Linate,"Via Konrad Adenauer 3, 20097 San Donato Milanese Italia",,2019-07-05
50,Crowne Plaza Milan Linate,"Via Konrad Adenauer 3, 20097 San Donato Milanese Italia",,2019-07-05
51,Crowne Plaza Milan Linate,"Via Konrad Adenauer 3, 20097 San Donato Milanese Italia",,2019-07-05
52,UNAHOTELS San Vitale Bologna,"Via Larga 4 Nei pressi della stazione ferroviaria “via Larga” e della tangenziale di Bologna uscita 11, 40138 Bologna Italia",,2019-07-05
53,UNAHOTELS San Vitale Bologna,"Via Larga 4 Nei pressi della stazione ferroviaria “via Larga” e della tangenziale di Bologna uscita 11, 40138 Bologna Italia",,2019-07-05
54,UNAHOTELS San Vitale Bologna,"Via Larga 4 Nei pressi della stazione ferroviaria “via Larga” e della tangenziale di Bologna uscita 11, 40138 Bologna Italia",,2019-07-05
55,UNAHOTELS San Vitale Bologna,"Via Larga 4 Nei pressi della stazione ferroviaria “via Larga” e della tangenziale di Bologna uscita 11, 40138 Bologna Italia",,2019-07-05
56,Starhotels Business Palace,"Via Pietro Gaggia 3, 20139 Milano Italia",,2019-07-05
57,Starhotels Business Palace,"Via Pietro Gaggia 3, 20139 Milano Italia",,2019-07-05
58,Starhotels Business Palace,"Via Pietro Gaggia 3, 20139 Milano Italia",,2019-07-05
59,Starhotels Business Palace,"Via Pietro Gaggia 3, 20139 Milano Italia",,2019-07-05
60,Cosmopolitan Business Hotel,"Via Alcide De Gasperi, 2, 62012, Civitanova Marche Italia",,2019-07-05
61,Cosmopolitan Business Hotel,"Via Alcide De Gasperi, 2, 62012, Civitanova Marche Italia",,2019-07-05
62,Cosmopolitan Business Hotel,"Via Alcide De Gasperi, 2, 62012, Civitanova Marche Italia",,2019-07-05
63,Cosmopolitan Business Hotel,"Via Alcide De Gasperi, 2, 62012, Civitanova Marche Italia",,2019-07-05
64,8piuhotel,"Viale Del Risorgimento, 73100, Lecce Italia",,2019-07-05
65,8piuhotel,"Viale Del Risorgimento, 73100, Lecce Italia",,2019-07-05
66,8piuhotel,"Viale Del Risorgimento, 73100, Lecce Italia",,2019-07-05
67,8piuhotel,"Viale Del Risorgimento, 73100, Lecce Italia",,2019-07-05
68,UNAHOTELS Bologna Fiera,"Piazza della Costituzione 1, 40128 Bologna Italia",,2019-07-05
69,UNAHOTELS Bologna Fiera,"Piazza della Costituzione 1, 40128 Bologna Italia",,2019-07-05
70,UNAHOTELS Bologna Fiera,"Piazza della Costituzione 1, 40128 Bologna Italia",,2019-07-05
71,UNAHOTELS Bologna Fiera,"Piazza della Costituzione 1, 40128 Bologna Italia",,2019-07-05
72,Parioli Bed & Business,"Via Antonio Pollaiolo 2, 00197 Roma Italia",,2019-07-05
73,Parioli Bed & Business,"Via Antonio Pollaiolo 2, 00197 Roma Italia",,2019-07-05
74,Parioli Bed & Business,"Via Antonio Pollaiolo 2, 00197 Roma Italia",,2019-07-05
75,Parioli Bed & Business,"Via Antonio Pollaiolo 2, 00197 Roma Italia",,2019-07-05
76,AC Hotel Bologna by Marriott,"Via Sebastiano Serlio, 28, 40128 Bologna Italia",,2019-07-05
77,AC Hotel Bologna by Marriott,"Via Sebastiano Serlio, 28, 40128 Bologna Italia",,2019-07-05
78,AC Hotel Bologna by Marriott,"Via Sebastiano Serlio, 28, 40128 Bologna Italia",,2019-07-05
79,AC Hotel Bologna by Marriott,"Via Sebastiano Serlio, 28, 40128 Bologna Italia",,2019-07-05
80,Savhotel,"Via Ferruccio Parri 9, 40128 Bologna Italia",,2019-07-05
,hotel,indirizzo,rating,dataIns
0,B&B Villa Valentina Taormina,"Via Cannizzoli 74 Trappitello, 98039, Taormina, Sicilia Italia",,2019-07-05
1,B&B Villa Valentina Taormina,"Via Cannizzoli 74 Trappitello, 98039, Taormina, Sicilia Italia",,2019-07-05
2,B&B Villa Valentina Taormina,"Via Cannizzoli 74 Trappitello, 98039, Taormina, Sicilia Italia",,2019-07-05
3,B&B Villa Valentina Taormina,"Via Cannizzoli 74 Trappitello, 98039, Taormina, Sicilia Italia",,2019-07-05
4,Hotel Continental,"Via Dionisio I nr. 2/A, 98039, Taormina, Sicilia Italia",,2019-07-05
5,Hotel Continental,"Via Dionisio I nr. 2/A, 98039, Taormina, Sicilia Italia",,2019-07-05
6,Hotel Continental,"Via Dionisio I nr. 2/A, 98039, Taormina, Sicilia Italia",,2019-07-05
7,Hotel Continental,"Via Dionisio I nr. 2/A, 98039, Taormina, Sicilia Italia",,2019-07-05
8,Hotel Villa Ducale,"via Leonardo da Vinci 60, 98039, Taormina, Sicilia Italia",,2019-07-05
9,Hotel Villa Ducale,"via Leonardo da Vinci 60, 98039, Taormina, Sicilia Italia",,2019-07-05
10,Hotel Villa Ducale,"via Leonardo da Vinci 60, 98039, Taormina, Sicilia Italia",,2019-07-05
11,Hotel Villa Ducale,"via Leonardo da Vinci 60, 98039, Taormina, Sicilia Italia",,2019-07-05
12,Albergo del Senato,"Piazza della Rotonda 73, 00186 Roma Italia",,2019-07-05
13,Albergo del Senato,"Piazza della Rotonda 73, 00186 Roma Italia",,2019-07-05
14,Albergo del Senato,"Piazza della Rotonda 73, 00186 Roma Italia",,2019-07-05
15,Albergo del Senato,"Piazza della Rotonda 73, 00186 Roma Italia",,2019-07-05
16,Lifestyle Suites Rome,"Piazza Navona 93, 00186 Roma Italia",,2019-07-05
17,Lifestyle Suites Rome,"Piazza Navona 93, 00186 Roma Italia",,2019-07-05
18,Lifestyle Suites Rome,"Piazza Navona 93, 00186 Roma Italia",,2019-07-05
19,Lifestyle Suites Rome,"Piazza Navona 93, 00186 Roma Italia",,2019-07-05
20,Hotel Abruzzi,"Piazza della Rotonda 69, 00186 Roma Italia",,2019-07-05
21,Hotel Abruzzi,"Piazza della Rotonda 69, 00186 Roma Italia",,2019-07-05
22,Hotel Abruzzi,"Piazza della Rotonda 69, 00186 Roma Italia",,2019-07-05
23,Hotel Abruzzi,"Piazza della Rotonda 69, 00186 Roma Italia",,2019-07-05
24,Albergo Diffuso Mannois,"Via La Marmora 4, 08028, Orosei, Sardegna Italia",,2019-07-05
25,Albergo Diffuso Mannois,"Via La Marmora 4, 08028, Orosei, Sardegna Italia",,2019-07-05
26,Albergo Diffuso Mannois,"Via La Marmora 4, 08028, Orosei, Sardegna Italia",,2019-07-05
27,Albergo Diffuso Mannois,"Via La Marmora 4, 08028, Orosei, Sardegna Italia",,2019-07-05
28,Hotel Luna Lughente,"Via Sa Serra, 2, 07026, Olbia, Sardegna Italia",,2019-07-05
29,Hotel Luna Lughente,"Via Sa Serra, 2, 07026, Olbia, Sardegna Italia",,2019-07-05
30,Hotel Luna Lughente,"Via Sa Serra, 2, 07026, Olbia, Sardegna Italia",,2019-07-05
31,Hotel Luna Lughente,"Via Sa Serra, 2, 07026, Olbia, Sardegna Italia",,2019-07-05
32,Locanda del Sole,"Via del Santuario 114, 19017 Riomaggiore Italia",,2019-07-05
33,Locanda del Sole,"Via del Santuario 114, 19017 Riomaggiore Italia",,2019-07-05
34,Locanda del Sole,"Via del Santuario 114, 19017 Riomaggiore Italia",,2019-07-05
35,Locanda del Sole,"Via del Santuario 114, 19017 Riomaggiore Italia",,2019-07-05
36,B&B and Apartments Da Baranin,"Via a. Rollandi 29, 19017 Manarola Italia",,2019-07-05
37,B&B and Apartments Da Baranin,"Via a. Rollandi 29, 19017 Manarola Italia",,2019-07-05
38,B&B and Apartments Da Baranin,"Via a. Rollandi 29, 19017 Manarola Italia",,2019-07-05
39,B&B and Apartments Da Baranin,"Via a. Rollandi 29, 19017 Manarola Italia",,2019-07-05
40,Firenze Suite,"Via Nuova de' Caccini n 25 (ang Via della Pergola), 50121, Firenze Italia",,2019-07-05
41,Firenze Suite,"Via Nuova de' Caccini n 25 (ang Via della Pergola), 50121, Firenze Italia",,2019-07-05
42,Firenze Suite,"Via Nuova de' Caccini n 25 (ang Via della Pergola), 50121, Firenze Italia",,2019-07-05
43,Firenze Suite,"Via Nuova de' Caccini n 25 (ang Via della Pergola), 50121, Firenze Italia",,2019-07-05
44,NH Firenze,"Piazza Vittorio Veneto 4/A, 50123, Firenze Italia",,2019-07-05
45,NH Firenze,"Piazza Vittorio Veneto 4/A, 50123, Firenze Italia",,2019-07-05
46,NH Firenze,"Piazza Vittorio Veneto 4/A, 50123, Firenze Italia",,2019-07-05
47,NH Firenze,"Piazza Vittorio Veneto 4/A, 50123, Firenze Italia",,2019-07-05
48,Family Apartments,"Via dei Cimatori 16/R, 50122, Firenze Italia",,2019-07-05
49,Family Apartments,"Via dei Cimatori 16/R, 50122, Firenze Italia",,2019-07-05
50,Family Apartments,"Via dei Cimatori 16/R, 50122, Firenze Italia",,2019-07-05
51,Family Apartments,"Via dei Cimatori 16/R, 50122, Firenze Italia",,2019-07-05
52,Hotel Belvedere,"Alessandro Volta, 37, 73026 Torre dell'Orso, Melendugno Italia",,2019-07-05
53,Hotel Belvedere,"Alessandro Volta, 37, 73026 Torre dell'Orso, Melendugno Italia",,2019-07-05
54,Hotel Belvedere,"Alessandro Volta, 37, 73026 Torre dell'Orso, Melendugno Italia",,2019-07-05
55,Hotel Belvedere,"Alessandro Volta, 37, 73026 Torre dell'Orso, Melendugno Italia",,2019-07-05
56,Trulli Holiday - Albergo Diffuso,"Piazza XXVII Maggio 38, 70011, Alberobello Italia",,2019-07-05
57,Trulli Holiday - Albergo Diffuso,"Piazza XXVII Maggio 38, 70011, Alberobello Italia",,2019-07-05
58,Trulli Holiday - Albergo Diffuso,"Piazza XXVII Maggio 38, 70011, Alberobello Italia",,2019-07-05
59,Trulli Holiday - Albergo Diffuso,"Piazza XXVII Maggio 38, 70011, Alberobello Italia",,2019-07-05
60,Masseria Montalbano,"S.S. 16 - Km 871,8, 72017, Ostuni Italia",,2019-07-05
61,Masseria Montalbano,"S.S. 16 - Km 871,8, 72017, Ostuni Italia",,2019-07-05
62,Masseria Montalbano,"S.S. 16 - Km 871,8, 72017, Ostuni Italia",,2019-07-05
63,Masseria Montalbano,"S.S. 16 - Km 871,8, 72017, Ostuni Italia",,2019-07-05
64,Melo Accommodations B&B,"Via Melo da Bari 195, 70121, Bari Italia",,2019-07-05
65,Melo Accommodations B&B,"Via Melo da Bari 195, 70121, Bari Italia",,2019-07-05
66,Melo Accommodations B&B,"Via Melo da Bari 195, 70121, Bari Italia",,2019-07-05
67,Melo Accommodations B&B,"Via Melo da Bari 195, 70121, Bari Italia",,2019-07-05
68,Hotel al Lupo,"Via Oswald von Wolkenstein 5, 39040, Castelrotto Italia",,2019-07-05
69,Hotel al Lupo,"Via Oswald von Wolkenstein 5, 39040, Castelrotto Italia",,2019-07-05
70,Hotel al Lupo,"Via Oswald von Wolkenstein 5, 39040, Castelrotto Italia",,2019-07-05
71,Hotel al Lupo,"Via Oswald von Wolkenstein 5, 39040, Castelrotto Italia",,2019-07-05
72,Du Lac et Du Parc Grand Resort,"Viale Rovereto 44, 38066, Riva Del Garda Italia",,2019-07-05
73,Du Lac et Du Parc Grand Resort,"Viale Rovereto 44, 38066, Riva Del Garda Italia",,2019-07-05
74,Du Lac et Du Parc Grand Resort,"Viale Rovereto 44, 38066, Riva Del Garda Italia",,2019-07-05
75,Du Lac et Du Parc Grand Resort,"Viale Rovereto 44, 38066, Riva Del Garda Italia",,2019-07-05
76,Palace Ravelli,"Mezzana-Marilleva, Val di Sole, 38020, Mezzana Italia",,2019-07-05
77,Palace Ravelli,"Mezzana-Marilleva, Val di Sole, 38020, Mezzana Italia",,2019-07-05
78,Palace Ravelli,"Mezzana-Marilleva, Val di Sole, 38020, Mezzana Italia",,2019-07-05
79,Palace Ravelli,"Mezzana-Marilleva, Val di Sole, 38020, Mezzana Italia",,2019-07-05
80,Albergo Garnì Antico Mas del Medico,"Passeggiata Sottocastello 7, 38033 Masi di Cavalese, Cavalese Italia",,2019-07-05
81,Albergo Garnì Antico Mas del Medico,"Passeggiata Sottocastello 7, 38033 Masi di Cavalese, Cavalese Italia",,2019-07-05
82,Albergo Garnì Antico Mas del Medico,"Passeggiata Sottocastello 7, 38033 Masi di Cavalese, Cavalese Italia",,2019-07-05
83,Albergo Garnì Antico Mas del Medico,"Passeggiata Sottocastello 7, 38033 Masi di Cavalese, Cavalese Italia",,2019-07-05
84,Spinale Hotel,"Via Monte Spinale 39, 38086 Madonna di Campiglio, Pinzolo Italia",,2019-07-05
85,Spinale Hotel,"Via Monte Spinale 39, 38086 Madonna di Campiglio, Pinzolo Italia",,2019-07-05
86,Spinale Hotel,"Via Monte Spinale 39, 38086 Madonna di Campiglio, Pinzolo Italia",,2019-07-05
87,Spinale Hotel,"Via Monte Spinale 39, 38086 Madonna di Campiglio, Pinzolo Italia",,2019-07-05
88,Genusshotel Goldene Rose,"Via Principale 73, 39028 Silandro Italia",,2019-07-05
89,Genusshotel Goldene Rose,"Via Principale 73, 39028 Silandro Italia",,2019-07-05
90,Genusshotel Goldene Rose,"Via Principale 73, 39028 Silandro Italia",,2019-07-05
91,Genusshotel Goldene Rose,"Via Principale 73, 39028 Silandro Italia",,2019-07-05
92,Hotel Benaco,"Via Benaco 35, 38069 Torbole, Nago-Torbole Italia",,2019-07-05
93,Hotel Benaco,"Via Benaco 35, 38069 Torbole, Nago-Torbole Italia",,2019-07-05
94,Hotel Benaco,"Via Benaco 35, 38069 Torbole, Nago-Torbole Italia",,2019-07-05
95,Hotel Benaco,"Via Benaco 35, 38069 Torbole, Nago-Torbole Italia",,2019-07-05
96,Hotel Mercurio Venezia,"Calle del Fruttariol San Marco 1848, 30124 Venezia Italia",,2019-07-05
97,Hotel Mercurio Venezia,"Calle del Fruttariol San Marco 1848, 30124 Venezia Italia",,2019-07-05
98,Hotel Mercurio Venezia,"Calle del Fruttariol San Marco 1848, 30124 Venezia Italia",,2019-07-05
99,Hotel Mercurio Venezia,"Calle del Fruttariol San Marco 1848, 30124 Venezia Italia",,2019-07-05
100,Hotel Al Ponte Mocenigo,"S. Croce 2063, 30135 Venezia Italia",,2019-07-05
101,Hotel Al Ponte Mocenigo,"S. Croce 2063, 30135 Venezia Italia",,2019-07-05
102,Hotel Al Ponte Mocenigo,"S. Croce 2063, 30135 Venezia Italia",,2019-07-05
103,Hotel Al Ponte Mocenigo,"S. Croce 2063, 30135 Venezia Italia",,2019-07-05
104,Hotel Filù,"Fondamenta Cannaregio 1250 Ponte delle Guglie, 30121 Venezia Italia",,2019-07-05
105,Hotel Filù,"Fondamenta Cannaregio 1250 Ponte delle Guglie, 30121 Venezia Italia",,2019-07-05
106,Hotel Filù,"Fondamenta Cannaregio 1250 Ponte delle Guglie, 30121 Venezia Italia",,2019-07-05
107,Hotel Filù,"Fondamenta Cannaregio 1250 Ponte delle Guglie, 30121 Venezia Italia",,2019-07-05
108,Alla Vite Dorata,"Cannaregio 4690/B, 30121 Venezia Italia",,2019-07-05
109,Alla Vite Dorata,"Cannaregio 4690/B, 30121 Venezia Italia",,2019-07-05
110,Alla Vite Dorata,"Cannaregio 4690/B, 30121 Venezia Italia",,2019-07-05
111,Alla Vite Dorata,"Cannaregio 4690/B, 30121 Venezia Italia",,2019-07-05
112,NapoliCentro Mare,"Corso Vittorio Emanuele, 114 Largo Saverio Mercadante, 80121, Napoli Italia",,2019-07-05
113,NapoliCentro Mare,"Corso Vittorio Emanuele, 114 Largo Saverio Mercadante, 80121, Napoli Italia",,2019-07-05
114,NapoliCentro Mare,"Corso Vittorio Emanuele, 114 Largo Saverio Mercadante, 80121, Napoli Italia",,2019-07-05
115,NapoliCentro Mare,"Corso Vittorio Emanuele, 114 Largo Saverio Mercadante, 80121, Napoli Italia",,2019-07-05
116,La Smorfia,"Via Santa Maria di Costantinopoli 30, 80138, Napoli Italia",,2019-07-05
117,La Smorfia,"Via Santa Maria di Costantinopoli 30, 80138, Napoli Italia",,2019-07-05
118,La Smorfia,"Via Santa Maria di Costantinopoli 30, 80138, Napoli Italia",,2019-07-05
119,La Smorfia,"Via Santa Maria di Costantinopoli 30, 80138, Napoli Italia",,2019-07-05
120,Bed and Breakfast Il Conservatorio,"Via San Pietro a Majella 7 Di fronte al Real Conservatorio di Napoli, 80138, Napoli Italia",,2019-07-05
121,Bed and Breakfast Il Conservatorio,"Via San Pietro a Majella 7 Di fronte al Real Conservatorio di Napoli, 80138, Napoli Italia",,2019-07-05
122,Bed and Breakfast Il Conservatorio,"Via San Pietro a Majella 7 Di fronte al Real Conservatorio di Napoli, 80138, Napoli Italia",,2019-07-05
123,Bed and Breakfast Il Conservatorio,"Via San Pietro a Majella 7 Di fronte al Real Conservatorio di Napoli, 80138, Napoli Italia",,2019-07-05
124,Rooms Rent Vesuvio Bed & Breakfast,"Via Mario Pomilio 9, 80147, Napoli Italia",,2019-07-05
125,Rooms Rent Vesuvio Bed & Breakfast,"Via Mario Pomilio 9, 80147, Napoli Italia",,2019-07-05
126,Rooms Rent Vesuvio Bed & Breakfast,"Via Mario Pomilio 9, 80147, Napoli Italia",,2019-07-05
127,Rooms Rent Vesuvio Bed & Breakfast,"Via Mario Pomilio 9, 80147, Napoli Italia",,2019-07-05
128,Camping Village Torre Pendente,"Viale delle Cascine 86, 56122, Pisa Italia",,2019-07-05
129,Camping Village Torre Pendente,"Viale delle Cascine 86, 56122, Pisa Italia",,2019-07-05
130,Camping Village Torre Pendente,"Viale delle Cascine 86, 56122, Pisa Italia",,2019-07-05
131,Camping Village Torre Pendente,"Viale delle Cascine 86, 56122, Pisa Italia",,2019-07-05
132,Hotel Alessandro della Spina,"Via Alessandro della Spina, 5-7-9, 56125, Pisa Italia",,2019-07-05
133,Hotel Alessandro della Spina,"Via Alessandro della Spina, 5-7-9, 56125, Pisa Italia",,2019-07-05
134,Hotel Alessandro della Spina,"Via Alessandro della Spina, 5-7-9, 56125, Pisa Italia",,2019-07-05
135,Hotel Alessandro della Spina,"Via Alessandro della Spina, 5-7-9, 56125, Pisa Italia",,2019-07-05
136,La Locanda di Giada,"Via San Biagio, 31 Cisanello, 56124, Pisa Italia",,2019-07-05
137,La Locanda di Giada,"Via San Biagio, 31 Cisanello, 56124, Pisa Italia",,2019-07-05
138,La Locanda di Giada,"Via San Biagio, 31 Cisanello, 56124, Pisa Italia",,2019-07-05
139,La Locanda di Giada,"Via San Biagio, 31 Cisanello, 56124, Pisa Italia",,2019-07-05
140,Hotel Riviera Blu,"Viale del Tirreno, 15, 56128 Tirrenia, Pisa Italia",,2019-07-05
141,Hotel Riviera Blu,"Viale del Tirreno, 15, 56128 Tirrenia, Pisa Italia",,2019-07-05
142,Hotel Riviera Blu,"Viale del Tirreno, 15, 56128 Tirrenia, Pisa Italia",,2019-07-05
143,Hotel Riviera Blu,"Viale del Tirreno, 15, 56128 Tirrenia, Pisa Italia",,2019-07-05
144,Gimmi Hotel,"Viale Kassala 2, 47922 Torre Pedrera, Rimini Italia",,2019-07-05
145,Gimmi Hotel,"Viale Kassala 2, 47922 Torre Pedrera, Rimini Italia",,2019-07-05
146,Gimmi Hotel,"Viale Kassala 2, 47922 Torre Pedrera, Rimini Italia",,2019-07-05
147,Gimmi Hotel,"Viale Kassala 2, 47922 Torre Pedrera, Rimini Italia",,2019-07-05
148,Park Hotel Serena,"Via Canuti, 1, 47811 Viserbella, Rimini Italia",,2019-07-05
149,Park Hotel Serena,"Via Canuti, 1, 47811 Viserbella, Rimini Italia",,2019-07-05
150,Park Hotel Serena,"Via Canuti, 1, 47811 Viserbella, Rimini Italia",,2019-07-05
151,Park Hotel Serena,"Via Canuti, 1, 47811 Viserbella, Rimini Italia",,2019-07-05
152,You & Me Beach Hotel,"Viale Porto Palos 65, 47922 Viserbella, Rimini Italia",,2019-07-05
153,You & Me Beach Hotel,"Viale Porto Palos 65, 47922 Viserbella, Rimini Italia",,2019-07-05
154,You & Me Beach Hotel,"Viale Porto Palos 65, 47922 Viserbella, Rimini Italia",,2019-07-05
155,You & Me Beach Hotel,"Viale Porto Palos 65, 47922 Viserbella, Rimini Italia",,2019-07-05
156,Hotel Cannes,"Viale Pescara 14 Miramare, 47924, Rimini Italia",,2019-07-05
157,Hotel Cannes,"Viale Pescara 14 Miramare, 47924, Rimini Italia",,2019-07-05
158,Hotel Cannes,"Viale Pescara 14 Miramare, 47924, Rimini Italia",,2019-07-05
159,Hotel Cannes,"Viale Pescara 14 Miramare, 47924, Rimini Italia",,2019-07-05
160,Residenza Donna Giovanna,"Via Umberto I, 89861 Tropea Italia",,2019-07-05
161,Residenza Donna Giovanna,"Via Umberto I, 89861 Tropea Italia",,2019-07-05
162,Residenza Donna Giovanna,"Via Umberto I, 89861 Tropea Italia",,2019-07-05
163,Residenza Donna Giovanna,"Via Umberto I, 89861 Tropea Italia",,2019-07-05
164,Infinity Resort Tropea,"Strada Statale 522 SNC Localita Pizzuta, 89861 Parghelia Italia",,2019-07-05
165,Infinity Resort Tropea,"Strada Statale 522 SNC Localita Pizzuta, 89861 Parghelia Italia",,2019-07-05
166,Infinity Resort Tropea,"Strada Statale 522 SNC Localita Pizzuta, 89861 Parghelia Italia",,2019-07-05
167,Infinity Resort Tropea,"Strada Statale 522 SNC Localita Pizzuta, 89861 Parghelia Italia",,2019-07-05
168,Villa Garden,"Cesare Battisti - Gasponi, 89862 Tropea Italia",,2019-07-05
169,Villa Garden,"Cesare Battisti - Gasponi, 89862 Tropea Italia",,2019-07-05
170,Villa Garden,"Cesare Battisti - Gasponi, 89862 Tropea Italia",,2019-07-05
171,Villa Garden,"Cesare Battisti - Gasponi, 89862 Tropea Italia",,2019-07-05
172,B&B Magna Grecia,"Via Terina, 4, 88900, Crotone Italia",,2019-07-05
173,B&B Magna Grecia,"Via Terina, 4, 88900, Crotone Italia",,2019-07-05
174,B&B Magna Grecia,"Via Terina, 4, 88900, Crotone Italia",,2019-07-05
175,B&B Magna Grecia,"Via Terina, 4, 88900, Crotone Italia",,2019-07-05
176,Popilia Country Resort,"Località Cutà, 89843 Maierato Italia",,2019-07-05
177,Popilia Country Resort,"Località Cutà, 89843 Maierato Italia",,2019-07-05
178,Popilia Country Resort,"Località Cutà, 89843 Maierato Italia",,2019-07-05
179,Popilia Country Resort,"Località Cutà, 89843 Maierato Italia",,2019-07-05
