,utente,commento,hotel,dataIns,rating
10,Santo L,"Sono stato al ristorante dell'hotel Sporting perché come alloggio utilizzavo l'ambasciatore hotel. Il pranzo era buono e molto variegato distribuito a buffet per cui si trovava sua carne che pesce, verdure, frutta e dolci. Organizzazione molto scarsa in quanto ci è capitato di dovere aspettare per mancanza di tavoli pur avendo prenotato con largo anticipo i posti di cui si aveva bisogno. Infine il buffet era situato in una posizione non felice per cui vi erano sempre interminabili file. Che dire come consiglio, la prossima volta fate tesoro di questi rilievi. Auguri",Hotel Sporting Rimini,2019-07-05,3 stelle
11,Raffaele T,"4 stelle di buon livello, ristrutturato quasi completamente (quando ho soggiornato stavano completando le terrazze). Camera confortevole con TV a schermo piatto, WIFI, bagno rifatto, pulito. Forse  un hotel anonimo per vacanze, ma ottimo per soggiorni di lavoro. Personale gentile e professionale.",Hotel Sporting Rimini,2019-07-05,4 stelle
12,Alberto S,Ho soggiornato solo una notte con formula B&B. Stanza molto pulita e confortevole. Leggermente rumorosa l'aria condizionata (come nella gran parte degli hotel). Colazione continentale molto varia e personale gentile.,Hotel Sporting Rimini,2019-07-05,4 stelle
13,Pietro D,Sono stato per un evento ed ho potuto apprezzare la cortesia del personale e la disponibilità di sale x eventi. Buono e molto ricco il buffet. Situato a pochi metri dalla spiaggia da consigliare anche per un periodo di vacanza essendo nel cuore della Rimini balneare.,Hotel Sporting Rimini,2019-07-05,4 stelle
14,sandman3957,"Camera molto spaziosa, completamente rifatta, con un bagno bellissimo. Buona cucina, con vasto buffet, servizi generali di livello. Sono in corso dei lavori di ristrutturazione, ma i disagi sono minimi.",Hotel Sporting Rimini,2019-07-05,4 stelle
15,Liliiith,"Si respira aria di professionisti, ogni membro dello staff ha il compito di ""coccolare"" il cliente (difficile da trovare di questi tempi). All'interno di questa struttura gli ambienti completamente nuovi, dal design ricercato ed elegante, personale professionale e gentile.Stanza meravigliosa con balcone privato vista lungomare.Prima colazione eccellente.",Hotel Sporting Rimini,2019-07-05,4 stelle
16,Christian_Fu,"Perché registrate la vostra struttura tra quelle disponibili per un soggiorno con Smartbox se poi non accettate prenotazioni tramite lo stesso, indipendentemente dalla disponibilità o meno? Perché? Evitate queste pessime figure.",Hotel Sporting Rimini,2019-07-05,1 stelle
17,Rosalba,"Ho chiamato per prenotare nel mese di giugno una notte, visto che mi è stata regalata una smartbox per una notte  più colazione ma mi è stato detto che non prendono prenotazioni con le smartbox perché in genere hanno sempre le solite famiglie che ogni anno vengono a farsi le vacanze a Rimini, non si è neanche preoccupata di guardare la disponibilità, vergognoso, perché convenzionarsi con le smartbox quando poi decidono loro chi ospitare e quando.",Hotel Sporting Rimini,2019-07-05,1 stelle
18,Cinzia P,"Pulizia impeccabile, personale molto cordiale, sala ristorante molto spaziosa colazione ottima ,camera molto accogliente, bagno con doccia idro, unica nota dolente la mancanza di accappatoi; ci torneremo al più presto.",Hotel Sporting Rimini,2019-07-05,5 stelle
19,adnanamichele,Stanze grandi e pulite... Personale gentile e cordiale ; pronti ad aiutare e rispondere ad ogni vostra richiesta... Posizione ottima... La colazione è variegata e le torte sono deliziose ... Ci tornerò volentieri...,Hotel Sporting Rimini,2019-07-05,5 stelle
20,stefano d,"Ciao a tutti. Come sempre per lavoro sono in giro ed ora, da novembre 2018 a marzo 2019 mi trovo e troverò nel residence di cui scrivo per condividere le mie esperienze. Premetto che venni qui nel lontano 2006 (boh!!) Con la compagna di allora è prendemmo una stanza per due. Subito mi rendetti conto della qualità del posto che, contrariamente a tanti altri residence a Milano, aveva la finestra su ogni stanza.....miracolo!!!!! Anche in bagno!!!!! Cmq posto elegante...sincero...ospitale anche se immerso in una Sesto San Giovanni che offre ben poco ad un single in cerca di emozioni. Cmq se siete esperti di residence provate questo e, nella fascia economica che li compete, sono sicuro che lo apprezzerete per tanti piccoli ma importanti particolari. Bagno piccolo ma ben attrezzato....cucina ben arredata e in salotto ma...i residence sono così.....personale gentile ed educato...in particolare la padrona molto professionale...insomma...guardate le foto del sito perché veritiere. Alla prossima gente.…",CP Residence,2019-07-05,5 stelle
21,Debora R,Ho trascorso una settimana presso CP residence e mi sono trovata benissimo. Il mio monolocale era confortevole pulito e curato. La proprietaria Luana è stata sempre gentile e disponibile. Se dovessi risoggiornare a Sesto sceglierei nuovamente questa struttura.,CP Residence,2019-07-05,5 stelle
22,DottorCali,"Ho soggiornato per lavoro due volte nel giro di un mese, una volta al piano terra, una volta in una presunta suite. Camera piano terra carina, ma piuttosto rumorosa fino a un certo orario a causa della reception affianco, per il resto carina, aveva i fuochi per cucinare, bei bicchieri e ho apprezzato nel bagno la schiuma da barba col rasoio. La suite a prima vista è bellissima, con una doccia enorme multifunzione... Peccato che il pannellino non funzionava e la reception era sempre chiusa quando ero presente in hotel... Mediaset premium non ha mai funzionato. Io pavimento in marmo rende l'ambiente freddo, chissà come si sta in inverno... Nella suite inoltre mancava il rasoio e la schiuma, inoltre il telecomando del tv della camera aveva le batterie scariche... Insomma, migliorando queste piccole cose migliorerebbe il tutto!…",CP Residence,2019-07-05,3 stelle
23,Giovanna S,"Sito in una zona molto tranquilla e silenziosa, il residence è elegante e confortevole. Stanza bella e pulita, con tutti i comfort. Ideale per chi vuole trascorrere un weekend in relax. Accoglienza 10 e lode. Grazie Luana!!!",CP Residence,2019-07-05,5 stelle
24,Honeyluv12,"Abbiamo alloggiato in questo residence per un week-end, la pulizia eccellente e la cordialità dello staff hanno contraddistinto questo luogo! Zona tranquilla, numerosi bar, ristoranti e supermercati nelle vicinanze! Collegata bene con Milano grazie al servizio autobus e Metro a pochi passi! Complimenti in particolare alla signora Silvia che ci ha aiutati in tutti i modi possibili avendo avuto problemi con il treno causati dal guasto alla stazione centrale di Roma.. che dire, lo consiglio assolutamente sia per la cura dedicata alla pulizia, sia per i confort degli appartamenti che per la disponibilità!! Grazie ancora spero di tornare preso!!!!…",CP Residence,2019-07-05,5 stelle
25,Antonella T,"Consiglio il soggiorno in questo hotel/resident...Le foto pubblicate nel sito corridpondono alla realta'.Pulito, titolari gentili e disponibili,ottima posizione e vicinissimo alla metro ed autostrada,parcheggio.",CP Residence,2019-07-05,5 stelle
26,aurora0954,"Abbiamo alloggiato al CP Residence per 2 mesi in attesa della ristrutturazione del nostro appartamento.La struttura è molto carina, l'accoglienza e la disponibilità dello staff sono ottime.Il servizio di pulizia è molto buono.Siamo stati veramente bene.",CP Residence,2019-07-05,5 stelle
27,Avvoc,"Ho alloggiato per motivi di lavoro.È' collocato non molto lontano dalla stazione di Sesto 1 Maggio immerso in un oasi di verde. La gentilezza, l'accoglienza, la pulizia delle camere i confort di cui sono dotate le camere mi hanno fatto sentire a casa. Lo consiglio è un' ottima struttura.Grazie a tutto lo Staff",CP Residence,2019-07-05,5 stelle
28,StefaniaUgliano,"Accoglienza eccezionale, e' gestito in modo esemplare, estrema disponibilità'.Stanze con tanti confort, lussuose e  prezzi ottimi.Si respira armonia.Ambiente ottimo, ospiti discreti, ben frequentato.Curato nei particolari all'interno; circondato da verde all'esterno. Davvero un residence confortevole.Prezzi decisamente inferiore rispetto ai servizi offerti.",CP Residence,2019-07-05,5 stelle
29,Anna C,"Ho soggiornato in questo residence due volte e per motivi di lavoro.  Mi fu consigliato da amici che sono spesso a Milano. Il residence nel rapporto qualità - prezzo è imbattibile.  La struttura offre servizi di alto profilo che rendono  piacevole e confortevole il soggiorno. Il residence è posizionato ottimamente, a pochi passi da bar, supermercati, negozi di vario genere e a pochi minuti dalla fermata del treno di Sesto San Giovanni, se si proviene da Milano centro o per raggiungere punti principali della città. Interna alla struttura ci sono distributori di bibite calde e fredde, e di snack.  La ritengo la migliore struttura per la pulizia delle camere,  il confort che le stesse offrono,  consistenti in camere spaziose e dotate di angolo cottura con tutti gli utensili necessari. L'accoglienza è calorosa, sembra di stare a casa  !! Il simpatico personale è gentile, fa del proprio meglio per soddisfare i desideri e le necessità dei propri clienti.  La proprietaria,  Luana,  è una persona piacevole, la quale non di rado è pronta ad accompagnarvi in piacevoli chiacchiere.  Lo consiglio vivamente. Anna",CP Residence,2019-07-05,5 stelle
30,Enrico G,"Mi sono fermato diverse volte a dormire in questo residence tutto nuovo e molto ben curato. La sig.ra Luana è disponibilissima e gentilissima, il residence offre camere tutte nuove adattissime per fermarsi qualche giorno (o anche una sola notte). Considerata la qualità i prezzi sono super. Ottimo per chi partecipa alle fiere e deve sostare qualche giorno.",CP Residence,2019-07-05,4 stelle
31,Alessandro,"Ottima struttura, ho soggiornato qui piu di una volta ed è sempre pulita e ben messa, angolo cottura con l indispensabile e la struttura è strategicamente ubicata vicino ad austrate....propretari sempre disponibili",CP Residence,2019-07-05,5 stelle
32,Rexino7542,Sono stato al residence cp la scorsa settimana con la mia famiglia. Ho trovato la sistemazione pulita e confortevole oltre alla meravigliosa ospitalità dei titolari e dipendenti. Consiglio vivamente e se torno a Milano sarà sicuramente la mia sistemazione alloggiativa....,CP Residence,2019-07-05,5 stelle
33,Paola S,Visita di quattro giorni in questo residence per visita expo...tutto molto bello.. Interni curati e puliti...bagno spazioso con tutti i confort...personale davvero gentile e disponibile ..ci ritornerò di sicuro,CP Residence,2019-07-05,4 stelle
34,Niccolò C,"In viaggio per affari mi sono imbattuto in questa bellissima struttura che offre oltre all'estrema cordialità dello staff, una sistemazione molto al di sopra delle 3 stelle. Le camere sono bellissime e pulite, moderne e accessoriate.La cucina, la vasca da bagno e la TV via cavo le danno sicuramente una marcia in più.Purtroppo non si fa colazione, ma se prenoti un residence né si consapevole gin dall'inizio.Ottima struttura. Consigliatissimo!!!!",CP Residence,2019-07-05,5 stelle
35,pamelareiban,"Sono stata lì ad agosto!! Per visitare l'Expo!! È una struttura bellissima, dotata di tutti i confort possibili!! Le camere pulitissime,,Con un odore paradisiaco,, sono rimasta contentissima e con voglia di tornare già domani!! Arrivederci",CP Residence,2019-07-05,5 stelle
36,brunopicone,"Arrivo da Napoli per una visita Expo ottima struttura dotata di ogni confort sopratutto per periodi prolungati  perché e dotato di angolo cottura completo di tutto il necessario stoviglie ecc .personale eccellente,  molto pulito, comodo per la metropolitana.",CP Residence,2019-07-05,5 stelle
37,Gianluca F,"Struttura utilizzata da un gruppo di 10 amici, utilizzando 3 camere. Le camere sono pulite, moderne e con tutto il necessario anche per una visita lunga, dato che è presente anche un angolo cottura.Il personale, in primis la Sig.ra Luana è cortese e disponibile alle richieste dei clienti.La zona ove è ubicata la struttura è tranquilla e non molto rumorosa.Buono anche il servizio di parcheggio interno.Se devo trovare un piccolo neo, è la colazione che viene fornita in camera con prodotti confezionati. Suggerisco al proprietario di pensare ad un collegamento con qualche bar/caffetteria nelle vicinanze.La fermata della metro M1 Rossa si trova a 10 minuti di cammino.",CP Residence,2019-07-05,4 stelle
38,Christian Cp,Una struttura accogliente con camere pulitissime moderne dotate di optional con del personale gentilissimo e sempre disponibile! Il rapporto qualità prezzo é ECCELLENTE! Ottima la posizione vicinissimo alla tangenziale! Dopo molte strutture visitate durante l'anno posso dire che non si trova miglior compromesso!! Di QUALITÀ!  consiglio vivamente,CP Residence,2019-07-05,5 stelle
39,Giovanni I,"residence consigliatissimo, al centro della città immerso nel verde e nella tranquillità a pochi passi dalla metro che vi condurrà al centro di Milano in circa 20 min oppure all'Expo in circa 35.le camere sono organizzate in modo da riuscire ad avere un minimo di privacy pur restando in hotel, molto comode e fornite di tutti i confort incluso un angolo cottura nuovissimo e moderno.Il TV 42'' lcd vi farà compagnia nei momenti di relax in camera.A coronare il tutto ci sarà Silvia la titolare che vi accoglierà e vi consiglierà con una simpatia e professionalità insuperabile.VE LO CONSIGLIO.",CP Residence,2019-07-05,5 stelle
40,Manuela C,"Questo Hotel è situato in una posizione perfetta, per andare in spiaggia non si attraversa neanche la strada. Molto pulito, staff gentilissimo : Mattia ed Andrea persone squisite. La colazione veramente ottima! ",Hotel Nord Est,2019-07-05,5 stelle
41,Dadoreno,"Questo bell’albergo, almeno dall’esterno mi ha attirato, così ho prenotato una notte in matrimoniale. Ci hanno dato una camera angolare, la stanza si può definire decorosa. Pulita. Bagno forse troppo piccolo ed arredamento un po’ datato per questo albergo fermo agli anni ‘90. Personale gentile, colazione migliorabile. Complessivamente tutto bene, anche se un giro ci sono alberghi rinnovati e con un rapporto qualità prezzo tutto sommato forse è più conveniente. Parcheggio un po’ angusto 12€/giorno, anche se prima lo lasci più contenti sono...…",Hotel Nord Est,2019-07-05,3 stelle
42,Marco M,Prima volta a Rimini con un’altra coppia che ha prenotato per noi in questo hotel per loro ormai assodato in qualità. Abbiamo fatto 2 notti molto tranquille nonostante la discoteca accanto. Reception attiva h24 molto efficiente e colazione molto abbondante. Ben rifinito e silenzioso. Anche dal secondo piano ottima vista della costa.…,Hotel Nord Est,2019-07-05,4 stelle
43,ManuelaB521,"Cortesia già al telefono, confermata a pieni voti di persona, quando ad accoglierci troviamo Mattia (o Matteo, non ricordo esattamente il nome), un ragazzo cordiale e gentilissimo che ci mostra attenzione verso la bambina. Benché non fosse alta stagione e non ci fosse il pienone, da segnalare l'ottima ed abbondante colazione. Sottolineo l'ottimo rapporto qualità prezzo! Spero sia così anche in altissima stagione, se i presupposti sono questi è da straconsigliare…",Hotel Nord Est,2019-07-05,5 stelle
44,giove2201,"Accoglienza garbata ma poco edificante per un dettaglio che si sarebbe potuto gestire diversamente. Il posteggio dell'Hotel è a pagamento di un extra considerevole rispetto al prezzo della camera. Le auto con diversamente abili non vengono gestite differentemente dalle altre senza alcuna auspicabile cura, anche considerando che gli accessi facilitati sono nel seminterrato e di pertinenza del cancello carrabile. Detto ciò, più come raccomandazione che come lamentela sottolineo che le camere nostra e dei nostri amici erano molto pulite, carine con arredi moderni e lucidi, vista mare e provviste di asciugamani morbidissimi e profumati. Buon doccia shower e sapone. Peccato per l'asppiratore un po' troppo rumoroso e per il letto ( branda) aggiunto alla tripla con un materasso inadatto al confort minimo di un letto che si rispetti ( sempre un consiglio oltre che una piccola critica che per non aver dormito bene spero ci passerete). Recuperata la situazione con una generosa e qualitativamente soddisfacente colazione a buffet che conferma la categoria superior. Una chicca straordinaria il ""favo di miele"" insieme ai semi, noci, nocciole e altri dressing da yogourteria di alto livello. Davvero, davvero al top credeteci. Personale squisito, puntuale nello sbarazzo e nel rimpiazzo sempre sorridenti . Una nota negativa i tavoli tondi che se ci si appoggia a gomiti si piegano pericolosamente, attenzione. Reception cordiale, preparata, moooolto ma moooooolto cordiale davvero eccellente. Per la recensione sul locale in convenzione per i pasti vedere il Fronte Mare.…",Hotel Nord Est,2019-07-05,3 stelle
45,francesco f,"Abbiamo prenotato in questo hotel per una notte , siamo stati accolti da personale veramente cordiale , hotel pulitissimo e silenzioso , camere comode e munite di tutti i confort, bagni pulitissimi e funzionali , terrazze vista mare 🌊 “si sentono piacevolmente le onde in lontananza “. Colazione abbondante self-service dove trovi di tutto dal dolce al salato in una veranda vista mare .Per me vale la 4A stella e più.Grande ospitalità.",Hotel Nord Est,2019-07-05,4 stelle
46,giorgio s,"Abbiamo soggiornato in settembre con giornate piovose. Le camere sono datate e strette, avevo scelto un 4 stelle nella speranza di trovare camere grandi. La cucina è  anni '80,  il personale è veramente molto gentile, la colazione è degna di nota.È un buon hotel,  da rimodernare un po'.",Hotel Nord Est,2019-07-05,3 stelle
47,Maurizio G,"Frequento questo Hotel da molti anni . Ricordo i proprietari che lo gestivano in maniera meravigliosa . Attualmente il personale femminile della reception  non eccelle per simpatia e disponibilità. Le camere cominciano a sentire il peso degli anni , soprattutto i bagni con muffa e ruggine. Infissi poco isolati e il rumore  della strada ma soprattutto della discoteca affianco non ti fa dormire. Con l'hotel praticamente vuoto nonostante fossero a conoscenza del problema ci hanno dato le stanza proprio da quel lato. Anche a ottobre  per parcheggiare ti fanno pagare 12 euro a notte . Prenotando direttamente solo 8. Non sono disponibili biciclette . Solo la posizione fronte mare e la colazione sono  buone.",Hotel Nord Est,2019-07-05,2 stelle
48,danielsar27,"Ho alloggiato una sola notte in questo hotel a settembre, ho pernottato presso questa struttura poiché l’hotel in cui alloggiavo originariamente chiudeva un giorno prima del mio rientro previsto. Sono stato quindi obbligato a cercare un’altra sistemazione per l’ultima notte. Trovo così uno dei pochi hotel rimasti aperti ancora a fine settembre. Prezzo interessante (34 euro B&B/camera), anche se già 12 euro/gg di parcheggio al giorno mi sembrano esagerati.Giungo in hotel, faccio il check-in e vengo informato che, vista la mia richiesta di frigo in camera (ulteriori 5 euro/gg di cui non ero stato messo al corrente – esagerati pure qui), mi è stata assegnata una camera leggermente più grande, considerata junior suite in quanto ha un bagno e due camere comunicanti. Entro in stanza, pulizia 7/10, e quello che trovo è una normale camera d’hotel con arredamento sempliciotto. Chiedo alla donna delle pulizie due cuscini in più e rimango sbalordito. Anziché andare in un deposito a prenderli, mi porta due cuscini di una camera in uso, dove palesemente si vedeva che su quelle federe ci aveva dormito già qualcuno, in quanto non si vedevano le classiche righe da post-stiratura. Allucinante, mai visto prima.Entro in bagno, apro l’acqua del lavandino e sento gocce cadere sui piedi. Guardo, tutto il pavimento allagato per una perdita. Segnalo il difetto alle 9, mi reco in spiaggia e alle 12:30 quando rientro, arriva il tecnico. Ora che ordina un nuovo miscelatore passa un’altra ora e siamo costretti ad attendere in camera fino alle 13:20, quando finalmente convinco a farci dare una camera alternativa per lavarci in quanto avevamo un appuntamento. Fin qui ok.Torno dall’appuntamento, metto il portafogli in cassaforte, tento di chiuderla e noto che manco questa funziona. La chiave entra ma non gira. Decido che è meglio lasciar perdere di segnalarlo. Già mi era bastato prima. Passa la notte, dove si dorme non molto bene a causa delle finestre non molto isolanti e delle tapparelle che sbattono per il forte vento.Altro bel tema, la piscina! Le foto dimostrano com’è tenuta e quanto è pulita! La piccola piscina che ho trovato a fine giornata sulle navi da crociera con 5000 persone, era più pulita di questa dell’hotel con 40 camere. La colazione, servita in una sala abbastanza dall’aspetto freddo, è l’unica cosa che si salva. Ben fornita e offriva di tutto, dal dolce, alla pizza, agli affettati.Mentre torno a casa, mi accorgo di aver dimenticato un sacchettino con dei cavi nel comodino in stanza. Chiamo subito l’hotel e la risposta della receptionist mi lascia sbigottito “che problema c’è? Tornate e guardate se ci sono!”. Ma stiamo scherzando??? Dopo un po' d’insistenza la convinco a far controllare e in seguito comunico di spedirmeli via corriere/poste. L’importo logicamente a mie spese, che sia mai...La receptionist mora è meglio che vada a fare un altro lavoro visto la simpatia e disponibilità!Passa una settimana e ancora nulla del pacco. L'hotel mi ha avvisato che la spedizione è partita con BRT ma nessun codice di tracking mi viene comunicato. Chiamo per avere novità dall'hotel e qui nessuno sa dirmi niente se non il nome del corriere. Dopo mille ricerche, capisco che il pacco è arrivato a BZ ed è bloccato perché colei che ha letto la mail con l'indirizzo giusto a cui spedire il pacco, non è stata neanche capace di segnare il nome giusto, quindi nessuno l'avrebbe mai ricevuto se non fossi andato io ad investigare. Veramente questa è stata la ciliegina sulla torta!Concludendo, esperienza in questo hotel da dimenticare. L’unica cosa che si salva, la colazione e la posizione fronte mare.A me di certo non mi vedranno più.",Hotel Nord Est,2019-07-05,2 stelle
49,46paolo,"Strategica la posizione, praticamente sulla spiaggia, comunque le camere non sono il massimo. Un po’ datate e sinceramente non il massimo, il bagno con il soffitto ormai attaccato dalla muffa.Se la vs priorità non sono le camere ma tutto il resto va bene altrimenti...Spero che la mia recensione vi sia stata utile!!",Hotel Nord Est,2019-07-05,3 stelle
50,turs9602014,"Personale gentilissimo, pulizia, ottime colazioni per un bed and breakfast da consigliare a pochi metri dal mare e con una piscina riscaldata. Provato due volte in quindici giorni, stesse riconferme, sono stato molto contento.",Hotel Nord Est,2019-07-05,4 stelle
51,Pizzoccherodovesei,"Hotel tipico della riviera romagnola. Anche se per una breve vacanza, abbiamo trovato il servizio impeccabile della riviera, ampi spazi e camere ordinate e pulite. Colazione completa in luminosa sala affacciata sul mare. Piscina e WiFi gratuiti.",Hotel Nord Est,2019-07-05,4 stelle
52,Fabio Comovi,"Sono stato con la mia famiglia (con una bambina di 4 anni) per una mini vacanza di 4 giorni dal 2 al 5 settembre.Ottimo rapporto qualità/prezzo!Hotel pulito con camere vista mare (chi si lamenta della vista mare deve capire che ci si trova a Rimini e non alle Maldive in palafitta!). Wi-Fi gratuita ben funzionante anche nelle camere. Un consiglio per l’hotel: un paio di prese elettriche in più per un “mondo” ahimè troppo tecnologico. Personale cordiale e non invadente. Colazione top con vasta scelta. Torte davvero buonissime. Anche la sezione “salato” degna di un mini pranzo. Ho adorato molto la focaccia!Molto apprezzata anche la piscina con acqua calda che, in giornate semi piovose come è capitato a noi, ti aiuta comunque ad apprezzare il fatto di essere in vacanza.Ho letto anche di recensioni di persone che lamentavano musica e rumori la sera. Beh io dico una cosa che ho già detto prima... L’hotel non è alle Maldive! Siamo a Rimini, centro romagnolo di divertimento e attività varie. Nonostante tutto, devo dire che non abbiamo avuto problemi di insonnia per rumori molesti!!! (Forse qualche vicino di camera un po’ poco educato e rumoroso, ma di certo non per colpa dell’hotel.)La spiaggia ben attrezzata è raggiungibile in 5 minuti (a dir tanto) senza dover attraversare strade. Cordiali e gentili anche i ragazzi dei bagni.Nei dintorni tanti bei posti per mangiare tra cui lo “Zodiaco” con ottimo rapporto qualità/prezzo.Sicuramente torneremo. Grazie.",Hotel Nord Est,2019-07-05,5 stelle
53,michelagullo1974,"Ho soggiornato presso questa struttura Con soluzione All Inclusive, 2 adulti e 1 bambina. La struttura si presenta con arredi eleganti e ampi; una ampia sala colazioni ove è possibile gustare ció che maggiormente si preferisce per iniziare in maniera ottima la giornata!!Le camere sono spaziose, confortevoli e pulite. Il personale è una sicurezza oltre che di garanzia, altamente qualificato, sempre pronto ad ascoltare ogni esigenza del cliente.Esperienza da ripetere. Un saluto a tutto lo staff 😊",Hotel Nord Est,2019-07-05,5 stelle
54,Roberto F,"Al Nord-Est non sei in un semplice albergo,sei a casa! Gentilezza,cordialità,simpatia fanno da cornice alle vacanze. Ottime e ben curate le stanze,deliziosa la colazione!Fantastici i proprietari Daniela e Gianni con il loro caloroso sorriso sempre pronti ad accogliere ogni esigenza. Sicuramente una vacanza da rifare.",Hotel Nord Est,2019-07-05,5 stelle
55,alice g,"Sono ormai diversi anni che scelgo questo hotel per le vacanze estive. Ottima posizione vista mare, ottima la colazione offerta. La formula b&b ti permette di godere appieno della spiaggia e di scoprire anche l'entroterra delle colline riminesi per una cena da riminese e non da turista. La pulizia è impeccabile ( grazie Silvia ) e l'accoglienza di Andrea sempre ineguagliabile. Un grazie particolare a daniela che riesce, con un mix perfetto di professionalità e calore , a farti sentire tra amici. In zona è davvero il top! Consigliatissimo per coppie e famiglie.",Hotel Nord Est,2019-07-05,5 stelle
