,utente,commento,hotel,dataIns,url
10,,Ottimo luogo per un soggiorno tranquillo a pochi minuti da Taormina ed altre località turistiche. Camere ampie e pulite. Colazione ottima. Bella tutta la sistemazione degli esterni compreso un agrumeto che circonda il luogo. Molto gradevole  la vasca esterna  con vista Etna per piacevole idromassaggio pomeridiano al rientro.,,,
11,,"Siamo stati tre notti in questo incantevole posto!Tutto curato nei minimi particolari! Si vede proprio che i due dolcissimi e gentilissimi proprietari mettono amore e passione per rendere la permanenza dei loro ospiti meravigliosa!Laura premurosa e dolcissima ( vedendo che le mie figlie non avevano toccato cibo a colazione ci ha addirittura preparato dei paninetti al prosciutto da portare via) Alessandro sempre pronto a consigliare locali dove cenare, posti da vedere e strade  da percorrere!!!Consiglio vivamente questo posto a due passi da Taormina ma immerso nella tranquillità assoluta!!!!Stanze grandi e nuovissime!",,,
12,,"Io e il mio ragazzo abbiamo soggiornato in questo b&b tre notti. L’abbiamo scelto grazie alle recensioni positive degli utenti di Tripadvisor e non possiamo che confermare: posto meraviglioso vicino a Taormina e Giardini Naxos, ma nella quiete di un aranceto stupendo con vista sull’Etna; camera e bagno molto spaziosi e dotati di ogni confort (materasso molto comodo, cassaforte, frigo, bollitore, ecc.); pulizia molto accurata sia in camera che negli spazi comuni; posto auto; proprietari deliziosi, amanti del proprio lavoro e pronti a fornire consigli su luoghi da visitare e ristoranti nella zona; colazione dolce e salata sempre fresca e varia, consumabile all’interno o in giardino; vasca idromassaggio a disposizione dei clienti. Insomma, lo consiglio davvero a tutti! Grazie ancora ai proprietari!",,,
13,,"B&B ottimo per chi vuole visitare la zona di Taormina e dell'Etna soggiornando in un luogo tranquillo. In pochi chilometri si raggiungono le spiagge di Giardini Naxos e le località turistiche della zona. Molto gentili i proprietari, che ci hanno ben consigliato anche sui ristoranti. Molto buone le camere, ottima la colazione, gradevolissimo l'ambiente (prato, giardino, vasca idromassaggio). Tornerei senz'altro.",,,
14,,"B&B davvero bellissimo,immerso negli agrumeti con vista Etna. Camera pulitissima e arredata nuova. Colazioni con di tutto e di più. Proprietari gentilissimi e simpatici e sempre pronti a dare consigli x visitare luoghi o su spiagge.",,,
15,,"In questo posto meraviglioso e accogliente ci ha dato una gioia immensa di ritornare e trovare una accoglienza sempre stupenda e cordiale. La camera bella moderna, spaziosa e soleggiata che ci fatti sentire subito a nostro agio, i prodotti della colazione ogni giorno freschi fatti da Laura e Alessandro. La gentilezza estrema dei propietari ci ha fatti sentire come a casa. Lo consigliamo di cuore ai viaggiatori che si recano in Sicillia. A presto, grazieeeeee!!!!! Giuseppe e Natali",,,
16,,Semplicemente Meraviglioso!!!Nel tour della nostra vacanza sfortunatamente abbiamo pernottato in questo B&B solamente una notte.Da subito abbiamo riconosciuto una professionalità indescrivibile.Dalla buonissima colazione alla comodità della camera...TUTTO PERFETTO!!!Ringraziamenti infiniti ai propretari del B&B che ci hanno permesso di vivere una bellissima esperienza!!!A presto!!!ci ritorneremo!!!Grazieeee!!!Pietro e Valentina.,,,
17,,"Ho alloggiato in questo b&b per 5 giorni a luglio con la mia famiglia e ci siamo trovati molto bene. La camera era molto spaziosa  e soprattutto molto pulita , l'arredamento nuovo e la doccia bella grande . In camera c'è l'aria condizionata , la cassaforte e il mini frigo , l'unica cosa che manca a mio avviso è la zanzariera alla porta finestra che da sul balcone  perché la notte fa molto caldo e quindi si è costretti ad accedere l'aria condizionata ma io nn la amo particolarmente avrei preferito tenere la finestra aperta , c'è una finestra in bagno che ha la zanzariera ma è piccolina nn entrava molta aria. Il giardino è molto curato ed è presente una vasca idromassaggio a disposizione degli ospiti. La colazione buona . I proprietari gentili e disponibili . Il b&b si trova a pochi kilometri da Taormina .",,,
18,,"Ho soggiornato una sola notte insieme al mio ragazzo in questo B&B .. che dire.. fantastico.. struttura moderna immersa nel verde, curata in ogni minimo dettaglio, pulizia eccellente, personale disponibile e gentile! Lo consiglio !",,,
19,,"Soggiornato in 3 per 1 notte. Tutto perfetto: struttura, aranceto e giardino, vista Etna, posizione prossima a Giardini Naxos, Taorimina e dintorni, accoglienza,camera,prima colazione e soprattutto il supporto dei gentilissimi gestori.Da consigliare e ritornarci !",,,
20,,"Cortesia, servizi, tranquillità, e siamo al centro. L'auto la vengono a prendere dal parcheggio con garage da pagare 20 € a parte. L'hotel è al centro e non è poco. ma come si fà ad avere un wc, attaccato alla doccia, e dove se si è alti nella media non si può utilizzare in santa pace e comodi. Se ristrutturate le camere, si può arrivare a voti superiori, le potenzialità ci sono tutte, Basta applicarsi, come dimostrate con una colazione veramente che merita, e non dimenticate che siete nellla zona più bella del sud…",,,
21,,"Hotel datato,ma accettabile. Buona pulizia,posizione ottima 100 metri da corso Umberto. Tv in camera molto piccolo,io ho preso una Superior ristrutturata da poco,ho visto le altre camere standard e non sono state di mio gradimento. Personale eccezionale,garbato e gentile.",,,
22,,"Siamo stati in questa splendida struttura in occasione di un evento enogastronomico. Molto comodo, pulito e ben fatto. Oltre a tutti i pregi elencati si trova al centro di Taormina e non è poco! Ritorneremo ... CONSIGLIATISSIMO",,,
23,,"Hotel molto grazioso, centralissimo, situato a pochi passo dal meraviglioso centro di Taormina, personale gentilissimo e disponibile. Camere pulite e spaziose, dotate di ogni confort necessario. Colazione ottima da gustare in terrazza con una vista mozzafiato che se ci penso ancora adesso è da brivido!  Ci torneremo sicuramente perchè ci siamo trovati davvero benissimo, complimenti per tutto, continuate così!…",,,
24,,"Abbiamo trascorso un week end molto speciale in questo grazioso e confortevole albergo stile anni 60, sito in una posizione stupenda a pochi passi da piazza Duomo. La nostra stanza, piccola ma comoda, aveva un terrazzino con affaccio sul Duomo...veramente delizioso. Infatti, abbiamo approfittato per goderci il panorama e soprattutto l’atmosfera quasi incantata che si è creata...Personale impeccabile e disponibile...La sala della prima colazione gode di un affaccio incantevole sulla baia di Giardini. Ci torneremo...per “ricaricare” le batterie dopo lo stress del quotidiano.…",,,
25,,"Abbiamo trascorso un weekend a Taormina per lavoro e non potevamo trovare un hotel migliore! Centralissimo, camera ampia e confortevole con annesso un bagno enorme, il tutto ovviamente pulitissimo, la mattina abbiamo gustato un ottimo colazione dove non mancava praticamente nulla. Bellissimo il terrazzo con una vista spettacolare (vedi foto). Un plauso al personale che definire gentilissimo è poco.",,,
26,,"A due e dico due passi dal magnifico lungomare di Reggio l’hotel offre camere spaziose, dall’arredamento spartano ma molto più che funzionale, dotate di frigo bar e bagni ampi e pulitissimi ( ho sfruttato varie volte la struttura e sono sempre stato soddisfatto). Alcune stanze sono con splendida vista mare ... altre danno sulla strada. Quelle vista mare sono non solo con vista migliore ma anche più silenziose ovviamente.  Meglio chiedere vista mare all’atto prenotazione anche se io sono stato bene in tutte. La colazione ( dalle 7 alle 10) e’ di soddisfazione. Non propone cibi caldi ma i dolci sembrano fatti in casa ... davvero ottimi ( meno le brioche). L’accoglienza e’ sempre ottima e la gentilezza non è mai mancata. Ogni volta che vado a Reggio alloggio qui.. e continuerò a farlo.",,,
27,,"A due passi da piazza Duomo a Taormina, hotel non nuovissimo ma ben tenuto, camera superior ristrutturata da poco, accogliente e pulita, colazione buona servita su una splendida terrazza panoramica. Antonio alla reception un esempio di cordialità ed ospitalità.",,,
28,,"Sono tornato per la 2 volta in 2 anni a Taormina e per la 2 volta ho scelto il Continental.La gentilezza e simpatia di tutto il personale, la posizione centralissima, la funzionalità dei suoi ambienti e la su citata terrazza panoramica. E non ce 2 senza 3 .... quando ritornerò a Taormina tornerò al Continental",,,
29,,"Il mio soggiorno a Taormina non sarebbe stato così piacevole se non avessi avuto la fortuna di pernottare in questa struttura. Gentilezza e disponibilità del personale, della reception ma anche della sala ristorante, pulizia delle stanze ed eccellenza della colazione rendono questo albergo uno dei più belli nei quali abbia mai pernottato. Non mi ritrovo affatto nelle recensioni negative che parlano di colazioni scarse e di camere vecchie: la prima era squisita e le seconde nuovissime. Un angolo di paradiso situato al centro di Taormina e che offre tutte le comodità idonee a rendere una villeggiatura memorabile. Complimenti!",,,
30,,"Hotel in posizione centrale dalle cui finestre nei giorni di sereno si puo' ammirare l'etna e la spaggia di Giardini Naxos, camere pulite e confortevoli, personale gentilissimo e sempre pronto ad esaudire ogni richiesta. Consigliato vivamente.",,,
31,,"Hotel situato in posizione centralissima e quindi molto strategica. Camere pulite e confortevoli. Vista incantevole dal terrazzone. Personale alla reception davvero gentilissimo e disponibile. Purtroppo trovandosi in ""centrissimo"" non esiste parcheggio in loco ma c'è la possibilità di usufruire di un parcheggio privato con servizio di ""car valet"" ad un prezzo ragionevole.",,,
32,,"Personale professionale e cortese, bella terrazza panoramica, posizione centrale ottima, per il resto da cancellare. Struttura anni 50 /60,camera fatiscente con arredi vetusti e logori, bagno scandaloso!!!! Doccia con tenda, specchio tutto scrostrato, l'arredo penso mai sostituito, una vera tristezza... Colazione mediocre, struttura con grandi potenzialità ma da ristrutturare completamente, non capisco come faccia ad avere tre stelle.... Prezzo non assolutamente rapportato alla qualità della struttura.",,,
33,,"Quando in un hotel incontri professionalità e pulizia, penso sia davvero il connubio perfetto, vista panoramica affascinante, personale attento all’esigenze del cliente, e camera pulita. Un grande grazie a tutti. Spero di ritornare presto.",,,
34,,"Siamo rimasti molto contenti del nostro soggiorno, a partire dal check in dettagliato e accogliente, la camera molto pulita in ogni dettaglio, abbiamo anche preso qualcosa da bere al bar gentilmente accompagnato da un tagliere di deliziosi formaggi e per non parlare della colazione la mattina con un ottimo caffè con vista mare e monti (Etna), non ci sono parole per descrivere la gentilezza e l'attenzione di tutto il personale. Vivamente consigliato",,,
35,,"Taormina è una location di lusso e piena di alberghi meravigliosi ma in questo albergo ci si sente a casa fin dall’ arrivo. La cortesia del personale, la meraviglia della terrazza tra le più belle di Taormina e i prezzi contenuti ne fanno il luogo ideale per un qualsiasi tipo di soggiorno. La colazione è buonissima e degna di un albergo di categoria superiore. La vista meravigliosa non fa rimpiangere la presenza di una piscina che con un mare come quello di Taormina non ha senso di esistere. Grazie dello splendido soggiorno.",,,
36,,Siamo stati a Taormina e abbiamo soggiornato al Continental.Ottimo hotel si trova a due passi dalla piazza centrale un bel terrazzo panoramico dove si può ammirare sua maestà Etna e uno splendido mare.Personale molto cortese e simpatico e molto disponibile a darti tutte le informazioni possibili.Ci torneremo.,,,
37,,"Abbiamo soggiornato a Marzo per un week end a Taormina. Sicuramente data la bassa stagione abbiamo goduto di un prezzo decisamente scontato, ma non per questo la qualità dei servizi è stata da meno. La camera, dotata di un balcone, era pulita,spaziosa e luminosa, non eccezionale nel gusto estetico, però dotata di tutti i comfort necessari, con bagno e doccia davvero molto comodi. La location dell'hotel davvero strategica, con un'uscita sul retro del giardinetto in pieno centro. Colazione anche abbondante e abbastanza varia, servita in una sala con una incantevole vista sull'Etna. Cosa chiedere di più? Assolutamente consigliato",,,
38,,"POSiZIONE incantevole con vista mare e sul vulcano Etna, a due passi dal centro.Rapporto qualità prezzo sostenibile con personale disponibile e attento alle esigenze della clientela. Colazione super!",,,
39,,"Ottimo hotel,dove il cliente è seguito nei minimi dettagli,e si sente davvero valorizzato.Abbiamo fatto colazione nella terrazza,con vista mare,e devo dire che vorrei potermi svegliare tutte le mattine lì.Taormina poi è stupenda come città.",,,
40,,"Soggiorno molto piacevole e rilassante, con vista unica che racchiude il vulcano Etna ed il golfo di Naxos! Personale molto attento e meticoloso! La camera stupenda e molto pulita. La struttura dispone di una piscina con vista! Sono inoltre disponibili dei servizi navetta per il centro storico di Taormina ed anche per il mare! La colazione sia salata che dolce danno la possibilità, tra i vari prodotti disponibili, di gustare delle prelibatezze legate al territorio! Consigliatissimo!…",,,
41,,"Abbiamo deciso di trascorrere la ns luna di miele in questo raffinato boutique hotel. Tutto, dalla camera al ristorante al servizio del personale cortese e attento a ogni richiesta , ci è sembrato perfetto. L’hotel, situato in posizione elevata (Taormina alta, sotto Castelmola) gode di una vista spettacolare, unica e ineguagliabile che domina sul mare e parte della città. Le stanze e ogni ambiente dell’hotel è arredato con gusto e cura del dettaglio. Nulla è lasciato al caso e per ogni richiesta si ha la sensazione che il personale è attento e pronto a soddisfare il cliente. Tutto lo staff , dagli autisti alla reception ai camerieri, cuochi e signore pulizie lavorano in maniera incredibile per assicurare il massimo. Il cliente si sente coccolato in ogni momento. La qualità del cibo è ottima. Le stanze offrono ogni comfort (la ns junior suite era impeccabile: spaziosa con un bagno ampio e bellissimo e una terrazza con vista mare). Sicuramente sceglieremo ancora questa struttura , elegante come i suoi proprietari (o l’altra gemellata, Villa Carlotta, in Taormina bassa).…",,,
42,,"Hotel Villa Ducale è un posto unico nel panorama Taorminese. Gode di una posizione privilegiata che gli da una visuale dall'alto su tutta la città e il golfo regalandoti attimi di magia e serenità. La mia stanza era molto grande finemente arredata. Ogni particolare è tenuto di conto e l'ospite non è mai lasciato a sé stesso costantemente coccolato dai dipendenti e non è raro incontrare la proprietaria, persona squisita, che si prodiga affinché tutto sia in linea con le aspettative della propria permanenza in Hotel. Spero di avere in futuro occasione di tornare a Taormina e di poter nuovamente soggiornare in questa splendida struttura.…",,,
43,,"A seguito di una cena romantica e deliziosa presso il ristorante di Villa Ducale, che si presenta  riservato, curatissimo e con vista mozzafiato sull’Etna e sul golfo di Giardini Naxos, io e il mio compagno abbiamo avuto modo di pernottare ln una delle suite dell’albergo.  E che dire, tutto magnifico! La location più bella che io abbia mai visto, un vero e proprio angolo di paradiso !  La suite, pulitissima, elegante e spaziosa, gode di tutti i comfort. Anche in questo, cosi come per tutta la struttura in generale, si vede riflesso il buon gusto dei proprietari, gentilissimi ed ospitali !  La consiglio a chiunque volesse trascorrere dei giorni di paesia e relax a Taormina !…",,,
44,,"Posizione magnifica e panoramica! Hotel dotato di ogni comfort, facile da raggiungere, camere comode e moderne, personale gentilissimo e disponibile, colazione eccezionale. Paragonabile a pochi altri hotel in cui siamo stati, assolutamente consigliato,",,,
45,,"La posizione della struttura, la cura dei dettagli, la gentilezza dello staff, la cortesia dei padroni di ""casa"" rendono questo boutique hotel un vero e proprio gioiello di Taormina. La mia famiglia si è sentita ""coccolata"" sin dal momento della prenotazione. Se potessi dare un giudizio da uno a dieci direi 10 e lode!",,,
46,,"La nostra  vacanza a Villa Ducale e stato un piacevolissimo ed inaspettato intermezzo . Questa incantevole Villa domina la città ed il suo mare offrendoti viste mozzafiato dalla terrazza del ristorante e dalle singole stanze. La sapiente regia dei proprietari e dello staff nella cura degli arredi e dei dettagli sembra portare i profumi e i colori nelle stanze e nelle sale direttamente dalMare e dalla natura circostanti rendendo il soggiorno a Villa ducale un’esperienza davvero unica. Sontuosa  la colazione in terrazza! Grazie a tutti lo staff per averci accudito, a Daria, Manila e Margherita per la squisita gentilezza e disponibilità. Un ringraziamento speciale al direttore Paolo per aver assicurato il famoso microclima di Taormina ... e alla straordinaria Signora Rosaria, un incontro davvvero indimenticabile .",,,
47,,"L’hotel è assolutamente incantevole curato in ogni dettaglio da dove si può godere di una vista spettacolare, ma ciò che lo rende unico e’ il personale che ti accoglie. Ad iniziare dalla ‘padrona di casa’ la signora Rosaria che con la sua squisita ospitalità rende indimenticabile il tuo soggiorno, Daria, Manila, Margherita e tutto lo staff per la loro simpatia, efficienza e disponibilità. Ringrazio infine Paolo che con la sua professionalità ci ha dato l’opportunità di conoscere questa splendida realtà. Non vediamo l’ora di tornarci",,,
48,,"Una vista che toglie il fiato, i pensieri e qualsiasi forma di stanchezza. Il posto ideale per trascorrere una vacanza rilassante. Un'accoglienza che fa subito sentire a Casa, senza essere a casa, coccolati sotto ogni aspetto. La nuova piscina dà quel qualcosa in più a un hotel che reputo fra i migliori del mondo, per posizione, per staff, per qualità, per pulizia, per servizi e per il suo design. Nulla è lasciato al caso, ogni cosa è curata nei minimi dettagli, con estremo amore e palpabile passione.La colazione è talmente ricca da lasciare di stucco e da riempire piacevolmente occhi e... pancia!Il ristorante è gestito da un bravissino chef che crea piatti meritevoli di essere assaggiati. E poi, come si fa a non pranzare o cenare in un posto così romantico, vista mare e vista Etna? Sembra il Paradiso!Tutto fa venire voglia di abbandonarsi al relax estremo e di tornare ancora, ancora e ancora.Un luogo magico, che resta nel cuore.",,,
49,,"Villa Ducale è un hotel che merita a pieno titolo di essere annoverato tra i migliori al mondo (e le classifiche lo confermano ampiamente).La qualità dell'accoglienza è altissima a 360°, l'ospite è coccolato dall'inizio alla fine della permanenza. Lo staff è altamente qualificato, gentile, pronto, accorto e al top. Le camere sono un connubio perfetto tra architettura contemporanea e massimo comfort. La colazione viene servita in una terrazza che lascia letteralmente senza fiato. Stesso ambiente per il ristorante dove pranzo e cena risultano un'esperienza gastronomica notevole dovuta anche alla presenza di un executive Chef di altissimo livello.Ogni singolo aspetto della permanenza è curato e gestito con la massima attenzione e l'esperienza risulta veramente di altissimo livello.Un assoluto punto di riferimento su Taormina. Per veri viaggiatori, per clienti esigenti che amano e conoscono profondamente il mondo dell'hotellerie.",,,
50,,"Viaggio spesso per lavoro per cui non amo molto gli Hotel e soprattutto i Grandi Hotel.Preferisco scegliere i Boutique Hotel per le atmosfere intime e di casa, eleganti ma non ingessate!Mi è capitato di alloggiare qui 3 notti in vista di un evento a Taormina.Dire alloggiare è dire poco: una esperienza fantastica!All’arrivo: il giovane team mi accoglie con un sorriso e mentre mi offrono da bere dell’ottimo vino dell’Etna sulla terrazza (l’Etna che sta di fronte) le valigie sono già in camera.Decido di pranzare, affamati dal viaggio: cucina con prodotti freschi, ricette del territorio ma con un pizzico di eleganza!Le camere sono delle opere d’arte, sembrano uscite fuori da una rivista di Design, con fraquanze per ambienti rilassanti, che ancora mi ricordo!Ottimi i consigli su cosa visitare a Taormina e dintorni, promuovendo il territorio.Sono stati giorni memorabili, indimenticabili e sono sicuro che tornerò di nuovo qui a Villa Ducale per il mio prossimo lavoro a Taormina… e anche per vacanza!",,,
51,,"Siamo arrivati e tutti era gentili, ci hanno offerto da bere. La camera era fantastica e pure il bagno. Linea cortesia Etro. Ristorante e colazione fantastica . Bravi continuate cosi .Lusso, lusso lusso",,,
52,,"Un albergo metaviglioso , lussuoso tutto perfetto. Personale fantastico ti fanno sentire a casa. Tutto perfetto, camere spaziose, bagni in marmo metavigliosi, linea cortesia Etro, copriletto e lenzuola Etro. Colazione fantastica ad alto livello. Servizio impeccabile assolutamente da consigliare",,,
53,,"Grandissima professionalità e puntualità del personale; locali comodi, luminosi e molto spaziosi. Il tutto condito da una splendida cornice siciliana dovuta alla posizione panoramica del posto. Da provare assolutamente.",,,
54,,"Staff accogliente ed educato. Struttura pulita e silenziosa. Posizione invidiabile. Colazione a buffet abbondante, sia dolce che salata. Consigliato sia a chi viaggia in coppia che in famiglia! Esperienza da ripetere",,,
55,,"Panoramico e suggestivo, organizzato e con un personale puntuale e cortese. Stanza molto bella, illuminata e spaziosa nonostante fosse una singola. Colazione squisita. Massimo dei voti pienamente meritato!",,,
56,,"Un luogo incantevole, un paesaggio mozzafiato. Da un'altezza di 800 metri si gode una visione  incomparabile: il mare di Naxos e, sullo sfondo, l'Etna ammantata dalla prima neve. Una camera dotata di ogni confort, personale professionale e disponibile.Tutti i sapori della vera cucina mediterranea. Una vacanza indimenticabile, all'insegna della signorilità , del buon gusto e dell'accoglienza siciliana. Nunzia e Pippo",,,
57,,Albergo panoramicissimo  e in un oasi di tranquillità.Adatto alle coppie in viaggio di nozze un servizio assolutamente altissimo livello  5 stelle .dall colazione al ristorante. Una cura al dettaglio una perfezione incredibile in tutto . Veramente complimenti . Le divise di lino mi hanno dato una sensazione di fresheza ed eleganza . Il personale veramente qualificato,,,
58,,Location magnifica arricchita da uno staff professionale ed accogliente. Le camera sono dotate di ogni confort. Vista incredibile. Certamente consigliato e presto ritorneremo a soggiornare in questa struttura!,,,
59,,"Sono stato ospite dell' hotel, servizio ottimo e personale qualificato e disponibile.La nostra camera bellissima e funzionale. Grazie all' hotel villa ducale che ha contribuito a rendere il mio soggiorno eccezionale",,,
60,,"La posizione: con affaccio sul Pantheon. La qualità dell’albergo: di gusto tradizionale, dotato di tutti i confort della categoria. Le camere: accoglienti, molte con vista sul Pantheon. Il personale: cordiale, preciso e premuroso. La colazione: sufficientemente ricca e assortita. Il rapporto qualità prezzo: buono, in relazione a quanto sino a qui elencato. Se volete trattarvi bene, qui lo potete fare. …",,,
61,,"L'albergo si trova affianco  al pantheon, a due passi da piazza Navona, Fontana di Trevi, piazza Venezia....tutti i monumenti più  importanti sono raggiungibili in pochi minuti a piedi. La ns era una camera standard non molto grande ma con vista pantheon  e dotata di ogni confort, anche ciabatte e accappatoio. Il personale é  stato professionale e molto cortese, si é  fatto in quattro per soddisfare ogni desiderio. Migliorabile la colazione, dove sarebbe auspicabile un'offerta più  variegata. All'ultimo piano c'è  una terrazza  con vista stupenda sulla città.  Albergo perfetto per trascorrere piacevolmente una vacanza a Roma, lo consiglio vivamente!…",,,
62,,"Eravamo inizialmente dubbiosi più per la categoria del hotel che per altro invece siamo rimasti stupiti SERVIZIO, CAMERE,COLAZIONE da 4 stelle e conto da 3 stelle cosa volere di più (per favore NON CAMBIATE) aggiungiamo una posizione strategica ineguagliabile a mio parere perché ci si trova nel cuore del centro storico di Roma.…",,,
63,,"Questo hotel è in una posizione ideale per esplorare Roma. Situato in Piazza della Rotonda, la finestra della nostra camera era a soli 45 metri dal Pantheon. Lo staff era gentile e molto accomodante. La nostra camera era molto pulita e confortevole, con una buona colazione continentale ogni mattina. La parte migliore è il bar sul tetto che abbiamo potuto sfruttare al meglio durante il tramonto. Quando tornerò a Roma questo è il posto in cui vorrò stare.…",,,
64,,"Vale da ogni punto di vista più delle 3 stelle formali. Per posizione, estrema cortesia del personale, ampiezza e pulizia delle stanze e dei bagni, mini bar, ecc. nel mio caso una matrimoniale: è davvero l'ideale per una coppia che voglia passare un we a Roma con un costo medio e concorrenziale rispetto ad un appartamento in B&B . La piazza del Pantheon è sempre piena di gente che va e viene ma l'albergo è silenzioso. Molto ricca la colazione . Esperienza molto positiva - unico piccolissimo neo non funzionava il bollitore dell'acqua in camera (ma a dire il vero non ne ho segnalato il malfunzionamento ne richiesto la sostituzione)…",,,
65,,"Grazie! Senza saperlo, avete contribuito a rendere indimenticabile anche questa prima tappa del nostro viaggio di nozze. Avevo letto delle ottime recensioni e la posizione era di tutto riguardo. Avevo prenotato una camera Deluxe con vista, ma non mi aspettavo sicuramente l’unica camera dell’hotel con balcone sul Pantheon e anche la bottiglia di Prosecco al nostro arrivo è stata una cosa molto più che gradita.Grazie, per la gentilezza e disponibilità alla reception, grazie per le attenzioni nella pulizia e riassetto della camera, grazie per tutto.E’ “solo” un 3 stelle, ma ne vale molte di più.Bravi!",,,
66,,Sempre una garanzia vado al Senato da almeno 30 anni e mi sono sempre trovato benissimo . Posto fantastico servizio eccellente veramente un bel posto .naturalmente bellissime le stanze sul pantheon .Buona la colazione.,,,
67,,"Eravamo già stati qualche anno fa. Anche questa volta ci siamo trovati benissimo..Tutto perfetto, dalla posizione, all'accoglienza, alla pulizia, al confort, alla colazione.....insomma  una meraviglia.Ottimo anche il rapporto qualità prezzo.",,,
68,,"Eravamo stati all'albergo altre due volte e come prima ci siamo trovati benissimo. L'albergo e' bello, curato e molto accogliente che rende il weekend romano ancora piu piacevole! La nostra camera al sesto piano dell'hotel aveva il suo terrazzo privato che dava sulla Piazza della Rotonda dandoci un panorama unico del Pantheon.  La colazione è buona e varia. La camera era assolutamente pulita e ben tenuta. Il personale era molto cortese e disponibile a ogni nostra esigenza. Ve lo consigliamo!",,,
69,,Posizione favolosa e camere classiche arredate con gusto visto il contesto offre pulizia e gentilezza ad un prezzo molto accessibile per quanto scritto sopra e con tutto  il centro Roma a disposizione in 5 minuti a piedi,,,
70,,"Hotel in posizione stupenda, personale gentilissimo, camere pulite e buona colazione.Sul terrazzo bellissimo bar all'aperto con visuale stupenda. Comodissimo lo spazio esterno davanti all'Hotel per fumarsi un sigaro o una sigaretta nella piazza per me più bella di Roma.",,,
71,,"albergo accogliente e di classe, sono stato con mia moglie per lavoro e ci siamo trovati benissimo,comodo a tutti i servizi ed ottimo per visitare Roma. servizio attento e camere molto pulite. ci ritorneremo al prossimo viaggio. grazie",,,
