utente;commento;hotel;dataIns;labelpers;tipo_lista
delfo78;Buona soluzione come punto di partenza per visitare Firenze, ideale per tutti coloro che prediligono la libertà dei campeggi rimanendo comunque vicino ai punti di maggior interesse. Il camping offre tutto l'occorrente per trascorrere delle piacevoli ferie come, ristorante, bar, piscina, market, lavanderia, parco giochi e servizio navetta.  Consigliato soprattutto alle famiglie con bambini.;Camping Village Firenze;05/07/2019;ce;TRAINING
stellaasche;In una posizione molto comoda per poi entrare a Firenze. Campeggio nuovo, attrezzatissimo, pulito lungo l'Arno.. bungalow comodi e dotati di tutto il necessario. Molto organizzati per ogni esigenza anche per chi va in Camper.. o per gli irriducibili delle tende (veramente pochissimi). Navette per andare in centro.;Camping Village Firenze;05/07/2019;ce;TEST
Andrea T;Dormito una notte in camper presso la struttura.Piazzole molto larghe dotate tutte di allaccio acqua e corrente, tutte in piano o al limite con pochissimo dislivello. Bagni puliti soprattutto tenendo conto che l'affluenza era davvero elevata. Tutta la struttura è gestita molto bene, e molto curata in tutti i dettagli. Comodissima la pista ciclabile lungo l'Arno. collegata con il camping e che ti permette di arrivare fino in centro! Possibilità di noleggiare le bici al campeggio, c'è anche una navetta che con soli 3 euro ti porta in centro. Piscina molto bella e ristorante bar molto carini.;Camping Village Firenze;05/07/2019;ce;TRAINING
Luca O;Struttura praticamente nuova, dotata di quasi ogni comfort. Molto comodo per raggiungere in bicicletta il centro lungo l' Arno(in ciclabile) in soli 5km. Unica nota negativa l'assenza della raccolta differenziata;Camping Village Firenze;05/07/2019;ce;TEST
PierluigiBalbi;Location ottima ( spiaggia e pineta al top ), pulito, ordinato, accogliente la direzione ma un po’ troppo chiassoso per i nostri gusti ( ammetto di essere un orso e gradire il massimo relax e silenzio. Quindi giudizio soggettivo ). Mare fantastico, vale un giro. ;Camping Torre Castiglione;05/07/2019;ce;TEST
Annie0811;Ho trascorso un paio di notti presso questa struttura. Il luogo in cui è ubicato questo campeggio è favoloso, il mare e il paesaggio mi hanno soddisfatto appieno. Ho gradito anche il fatto che ci fosse la spiaggia solo di pertinenza del campeggio. I bagni, e i vari luoghi sono puliti, il personale cortese. Il campeggio offre anche animazione. Abbiamo anche cenato al ristorante  e siamo stati soddisfatti. Unico neo... la mia pelosetta, una barboncina, è stata accettata, ma in alta stagione i cani non sono ammessi.;Camping Torre Castiglione;05/07/2019;ce;TEST
vale87_11;Venivo in questo campeggio 15 anni fa, l'ho ritrovato un po trascurato per quanto riguarda il verde e la manutenzione delle piazzole. La pulizia invece è sempre ottima. Ho soggiornato in una casa mobile di tipo L, funzionale e nuova. In generale il personale non molto brillante.... me lo ricordavo meglio!! Resta comunque un buon campeggio, comodo per la vicinanza al centro e alla spiaggia…;Camping Sabbiadoro;05/07/2019;ce;TRAINING
Pimpumpamy;Siamo stati in questo campeggio per il secondo anno consegutivo e l'esperienza è stata nuovamente molto positiva. Entrambi gli anni abbiamo soggiornato nelle casette che si presentano pulite,confortevoli e ben organizzate. Anche i bagni pubblici sempre puliti e in ordine. Sicuramente la voglia di tornarci nuovamente c'è!!…;Camping Sabbiadoro;05/07/2019;ce;TEST
Matteo C;Son stato qui con gli amici!Non sono un esperto di campeggi ma questo devo dire che merita!Personale gentilissimo sin dall arrivo.Pulizia delle strutture davvero molto buona.A due passi dalla spiaggia ed ha pure la piscina per gli ospiti del campeggio.Market superfornito e un buon ristorante.Devo dire che come esperienza e’ stata davvero buona e sicuramente se ne avrò l occasione,ritornerò!;Camping Sabbiadoro;05/07/2019;ce;TRAINING
Michela P;"Non posso che confermare la recensione dell'anno scorso, ottimo campeggio, tenuto benissimo....noi avevamo casa mobile tipo L, pulita, comoda e funzionale. Piscina pulita e tenuta bene.... abbiamo fatto un giro anche nei bagni ""pubblici"" e abbiamo notato pulizia ovunque, piazzole ben tenute e personale gentilissimo.";Camping Sabbiadoro;05/07/2019;ce;TRAINING
63meme;Quest'anno abbiamo fatto il bis, c i siamo stati sia subito dopo ferragosto che ora in settembre, chiaramente la situazione e' diversa, ma malgrado le presenze in campeggio siano sicuramente e ovviamente diverse, la cura e la disponibilità del personale e dei servizi non e' cambiata, oramai sono anni che passiamo almeno un breve periodo in questa struttura, e non ci siamo mai pentiti, non mi dilungo sulla descrizione del posto, cosa già fatta in altre occasioni.Un grazie a tutto lo staff.;Camping Sabbiadoro;05/07/2019;ce;TRAINING
MariDryAsai;Io e mio marito abbiamo soggiornato in questo campeggio per 3 giorni in una casetta mobile modello H... anche se nel sito viene descritta come 2+1, noi personalmente l’abbiamo trovata stretta anche per 2 persone sole... avevamo con noi i nostri 2 cani e ci muovevamo a malapena... purtroppo devo concordare anche con le recensioni precedenti a questa che parlano della poca attenzione per la pulizia... risolvibile comunque, perché mi è bastato passare un attimo la scopa per risolvere il problema.Per quanto riguarda il campeggio in generale cmq io l’ho trovato molto ordinato e non ci sono stati problemi con gli orari del silenzio... tutto è stato perfetto.Personale molto gentile e sempre disponibile, nonostante la giovane età, i bagni e le docce comuni non li abbiamo usati perché appunto avevamo il nostro bagno nella casetta, quindi non posso esprimere 1 opinione...Ottima vicinanza con la spiaggia, 5 minuti e ci si arriva a piedi senza impazzire a cercar parcheggio... altra cosa che veramente mi è piaciuta tanto è stata il fatto che il giorno della partenza, anche dopo aver liberato la casetta entro le 10 come da regolamento, ci è stato concesso di lasciare la macchina dentro al campeggio x poterci godere un’ultima mezza giornata di spiaggia... ce l’hanno fatta lasciare vicino ai bagni, sotto agli alberi, così l’abbiamo anche ritrovata bella fresca nonostante il sole.L’unica cosa che mi sento di dire è che mi aspettavo che il campeggio avesse fatto una disinfestazione contro gli insetti (in molti campeggi la fanno) perché era praticamente impossibile mangiare fuori sul tavolino o lasciare anche solo per qualche minuto la porta aperta senza essere letteralmente divorati dalle zanzare, già di prima mattina... spero che per i prossimi anni si attrezzino...Speriamo di poter tornare anche il prossimo anno comunque, magari in una casetta più grande e anche per più di 3 giorni!;Camping Sabbiadoro;05/07/2019;ce;TRAINING
StefaniaRoby;Abbiamo trascorso alcuni giorni in questo camping... Note positive la vicinanza al mare e al centro città,note negative l’organizzazione dello staff e la pulizia dei servizi igienici... Piazzole piccole anche se sono dotate di carico dell’acqua direttamente in piazzola... Difficilmente ci torneremo!;Camping Sabbiadoro;05/07/2019;ce;TEST
Erica C;"Premesso che il mio compagno è venuto in questa struttura da parecchi anni e che due anni fa abbiamo soggiornato piacevolmente in una casa mobile non possiamo dire lo stesso per quest'anno !La piazzola del camper (con molta pendenza) era sporca, non curata come tutte le altre nella nostra stradina, la più lontana verso la strada. La strada stessa aveva delle buche molto fonde e pericolose alla sera a differenza delle altre vie tutte sistemate con mattonelle.La cosa più spiacevole è stata il fortissimo Odore Di FOGNATURA che arrivava dalla vasca presente nella nostra piazzola ( preciso che avevo chiesto al momento della scelta della piazzola cosa fosse e mi era stato detto ""non è niente""...) iniziato soprattutto dopo un paio di giorni di soggiorno quando gli addetti del campeggio avevano aperto il sigillo della vasca.Pulizia servizi peggiorata molto negli anni.";Camping Sabbiadoro;05/07/2019;ce;TRAINING
TERESA;Ottima struttura,  nn da meno la pulizia ,ideale per vacanze di famiglia , ma anche in coppia ! Siamo stati ottimamente, ideale per stare tranquilli e godersi le vacanze ... penso che ritorneremo molto volentieri;Europa Camping Village;05/07/2019;ce;TEST
valeriaungaro;Il camping è davvero molto bello. Accogliente sia dal punto di vista del personale,sia nella cura della struttura. Spazio molto grande e ben segmentato, i bagni sempre molto puliti. All'interno c'è un ristorante,una gelateria,un bar e un negozio di alimentari(Crai). Sono presenti anche due bazzar!!…;Europa Camping Village;05/07/2019;ce;TEST
Antonio B;Vengo all'Europa Camping Village da più di 10 anni, e non mi ha mai deluso.La struttura è fantastica, ampia scelta di piazzole (ci sono piazzole grandi piccole, ombreggiate, poche sono soleggiate), i bagni sono fantastici: moderni, sempre puliti e con molte docce, toilette e lavandini.Il bar è moderno, ristrutturato da poco e molto bello.Il ristorante sul mare è a dir poco fantastico, anch'esso ristrutturato da poco, molto professionale e di qualità.E' presente un market, bazar, bigiotteria, sala giochi, gelateria, campo da calcetto, campo da tennis, parco giochi e sala wellnes.La spiaggia è molto ampia e pulita, sono presenti campi da beach volley, calcio sulla sabbia e giochi per bambini.Piscina magnifica, con uno scivolo, tre piscine e un idromassaggio.Il personale è gentile, qualificato e sempre disponibile.Ad inizio vacanza viene consegnato un braccialetto con cui è possibile pagare tutti i servizi del camping, il tutto verrà poi addebitato sul conto in modo da non dover andare in giro con tanti contanti.Animazione gentile e simpatica, mai invadente, ottima per i bambini.Dei prezzi preferisco non palarne perché ognuno può credere che costi troppo / troppo poco, dico solo che c'è un ottimo rapporto qualità-prezzo e si vede che i soldi vengono investiti continuamente.Unica pecca per qualcuno potrebbe essere il Wifi a pagamento, di cui sinceramente a me non mi interessa niente...Orari del silenzio sempre rispettati sia dalla direzione che dagli ospitiDa provare almeno una volta nella vita!!!Un posto fantastico per godersi la vita senza stress!;Europa Camping Village;05/07/2019;ce;TRAINING
Fabiana B;"Delizioso villaggio,moderno,attorniato da piante ed alberi,si trova nel mezzo della bellissima zona piscine,anche riscaldate,con a disposizione sdraio ed ombrelloni e la spiaggia privata con il mare degradante e pulito,ideale per i bambini.Frontespiaggia,si trova il nuovo ristorante,perfetto per tutti i palati,poi la gastronomia takeaway ed il supermercato.Due negozi ed un grande bar per colazione o aperitivo,completano il tutto.Noi abbiamo alloggiato in una ""ecolife unit"",casetta bella,ordinata  e pulitissima,attrezzata di tutto e con un grande terrazzo che abbiamo usufruito molto per pranzi e cene.Vacanza all insegna del relax e del divertimento,anche mio figlio preadolescenze,si e' goduto i nostri giorni di vacanza fra mare,piscina,campetto di calcio,giri in bici con gli amici e qualche sera trascorsa a Lido di Jesolo.Il personale e'molto gentile e disponibile,brave le ragazze e i ragazzi dell animazione.Siamo stati molto bene e torneremo presto!";Europa Camping Village;05/07/2019;ce;TRAINING
monicam m;Sono stata con la famiglia in un bungalow roy con cane. Bungalow pulito,  bagni comuni pulitissimi,  giardini molto curati,  strade pulitissime, in pratica molto curato! Vacanza stupenda! Il campeggio accontenta sia le famiglie che vogliono il cane vicino,   sia le famiglie che non vogliono cani vicino.Organizzazione e pulizia ottime!;Europa Camping Village;05/07/2019;ce;TRAINING
954dario;"Ho soggiornato al camping europa nel week end con i miei figli ( 2 )  . Facile da trovare a Cavallino inoltre la reception ha lavorato velocemente ed  in 10 minuti eravamo nella ""unit"" . La casetta è confortevole e non manca davvero niente. Pulita a dovere. Certamente torneremo .";Europa Camping Village;05/07/2019;ce;TRAINING
ketty r;Buon campeggio,nulla di particolare,piazzole ampie e ben tenute. Animazione discreta non invadente. Ottima presenza di servizi interni ,supermercato,edicola,bazar,medico,gastronomia,pizzeria e ristorante.Zona piscina ben tenuta e ben sorvegliata.Scarsa a mio avviso la pulizia dei bagni e docce ,forse dovuta alla grande affluenza essendo la settimana di ferragosto che a mio avviso andava un pò potenziata.;Europa Camping Village;05/07/2019;ce;TRAINING
Valentina U;Visitata ad Agosto per una settimana.Alloggiato in un maxi caravan sicuramente non di ultima generazione ma perfettamente funzionale e confortevole.Pulizia della struttura impeccabile. Pulizia delle aree comuni ottima.Bella piscina.Ottimo per i bambini.;Europa Camping Village;05/07/2019;ce;TEST
pedeluca;Vacanze a luglio con famiglia  in bella casetta con ogni comfort..ottima sistemazione...ottimi servizi..pulizia ok! Zona piscine bellissima e pulitissima ...spiaggia attrezzata, pulita e bel mare...unica nota negativa: materassi rigidissimi! Tante zanzare!!!;Europa Camping Village;05/07/2019;ce;TRAINING
kami;Buon rifugio  in quota ben organizzato con ristorante.  buona soluzione per partire presro il giorno seguente in escursione ai crateri sommitali. Forse un po troppo riscaldato di notte e ventola del bagno senza finestra molto rumorosa .Colazione ricca e personale gentile . ;Rifugio Sapienza;05/07/2019;ce;TRAINING
Mary;Io e il mio ragazzo siamo andati a pranzo il lunedì di Pasqua presso il ristorante del Rifugio Sapienza, avendo prenotato giorni prima.Partendo dal personale che è stato molto cordiale e disponibile, ci siamo accomodati al nostro tavolo riservato.Abbiamo ordinato un antipasto del Rifugio Sapienza, che era di una bontà senza confini, e due primi. Le porzioni erano alquanto abbondanti tanto da non riuscire a finire l’intera porzione ?? ma il gusto era unico.Per finire, ci sono stati offerti dei mini cannoli ??Da ritornarci assolutamente!;Rifugio Sapienza;05/07/2019;ce;TRAINING
alessibax;Camera quadrupla, quattro letti molto confortevoli, materasso perfetto, bagno moderno Arredamento molto curato e pulizia impeccabile. WiFi ottimo. Colazione tutto fresco, torte favolose, opzione salato inclusa. Provato anche il ristorante per la cena e anche per il cibo servito confermiamo il nostro giudizio positivo alla struttura. Consigliato,vista lo posizione, svegliarsi presto per vedere l'alba.;Rifugio Sapienza;05/07/2019;ce;TEST
Alessandra;Camere accoglienti e calde (forse anche troppo). Ottima la pulizia e la posizione, a due passi dalla funivia dell'Etna. Personale gentile e flessibiltà di check-in. Colazione a buffet abbondante e con vasta scelta. Parcheggio gratuito in loco. Da provare!;Rifugio Sapienza;05/07/2019;ce;TRAINING
alfatocoferolo;Siamo andati quattro giorni con la mia famiglia, buona esperienza nel complesso. I PRO sono che il personale è davvero gentile ed efficiente, ogni tanto mi omaggiavano un amaro, ci hanno lasciato la camera qualche oretta in più dopo l'orario di consegna ed erano infinitamente pazienti coi miei figli. Altro vantaggio, la neve è a portata di mano, posteggi nel parcheggio del Rifugio e non la macchina non la usi praticamente più, se non per pochi metri. CONTRO, durante la permanenza hanno ben deciso di dare una pulita a tutta la struttura, ragion per cui avevamo rumori molesti a tutti gli orari (non di notte, ovviamente) e odore di prodotti chimici per la pulizia, all'ingresso. Altro contro, il riscaldamento non è autonomo, i termosifoni partivano a certi orari e senza possibilità di regolarli, morale della favola: la notte si moriva letteralmente di caldo. Ultimo aspetto criticabile, il ristorante. Le pizze non erano male, porzioni molto abbondanti tra l'altro ma antipasti e primi erano bruttarelli. Ho preso un antipasto misto, c'erano dentro caponata, peperonata, omelette, formaggi, salumi e altro, tutto immerso nello stesso olio, era molto pesante e sicuramente non si gustavano i vari sapori. Vino, davvero brutto. Il danno è che a pranzo c'erano delle alternative nei ristorantini intorno ma la sera c'è solo il Rifugio aperto, per cui o cenavi lì o cenavi lì.Nel complesso, una buona vacanza.;Rifugio Sapienza;05/07/2019;ce;TRAINING
scoco793;Sono molto spesso in giro e non ho mai trovato una camera così, attaccata al mio letto c’era il bagno della camera accanto e si sentiva di tutto dalla pipì alla sciacquone  e’ stato un incubo per tutta la notte non ho chiuso un occhio. Per non parlare della pulizia mia figlia di due anni si è seduta per terra  appena arrivati quando si è alzata aveva il pantalone pieno di polvere! Che schifo e ci hanno fatto aspettare perché la camera non era pulita! Per la colazione non saprei devo ancora scendere ma ve lo sconsiglio;Rifugio Sapienza;05/07/2019;ce;TRAINING
79rudar;Il rifugio è situato in posizione strategica di fianco alla partenza della funivia, ed è presente anche il ristorante/pizzeria oltre che un bar/souvenir.La camera nel complesso buona con una bella vista a sud verso il mare e Catania...peccato per un po' di foschia mattutina! Inoltre abbiamo notato che le pareti della stanza non sono molto insonorizzate e a causa di ciò più la presenza di ospiti molto maleducati che fino a tarda notte (l'una e oltre) urlavano e i loro bambini che correvano e saltavano sulle scale e nei corridoi comuni non siamo a riusciti a dormire.Ottima la colazione varia (sia dolce che salato) e buono il servizio.;Rifugio Sapienza;05/07/2019;ce;TRAINING
Stefano B;Siamo stati una notte, ci torneremo a breve, personale gentile, stanze pulite e ristorante interessante. La posizione è strategica a pochi metri dalla funivia. Panorama da cartolina. Le stanze sono un po' piccole ma plausibile vista ?altitufine.;Rifugio Sapienza;05/07/2019;ce;TEST
salvo;Struttura e camere nuove, comode e dotate di tutti i comfort. Ottimo il ristorante con ampia possibilità di scelta, piatti per tutti i gusti. Di qualità e ricca anche la colazione, con in più dolci casarecci che fanno sentire aria di casa. Personale molto cordiale e disponibile, persino una lieve scossa dell'Etna...assolutamente da rifare!;Rifugio Sapienza;05/07/2019;ce;TRAINING
Andrea Taranto;Un'emozione unica: la vista che regala il rifugio Lagazuoi è unica, con un tramonto e un'alba a dir poco spettacolari. Dall'aperitivo nel pomeriggio, solo con i pochi ospiti, alla cena, alla notte nelle stanze in legno e veramente suggestive, al tramonto con il sole che scende dietro le montagne, fino al risveglio per vedere sorgere il sole, è un modo unico per staccare dalla quotidianità, regalarsi due giorni di sci e godersi uno spettacolo mozzafiato.…;Rifugio Lagazuoi;05/07/2019;ce;TRAINING
Manuel F;Località e struttura conosciuta, al top, in senso figurato e non solo ^_^   Metterei solo delle indicazioni sulla posizione, e  uso delle valvole termostatiche nelle camere, ahahah ! Per evitare che qualche turista lasci tutto full open :) e ci si trovi un caldo da spiaggia;Rifugio Lagazuoi;05/07/2019;ce;TRAINING
Emilio V;luogo sempre suggestivo con qualsiasi condizione meteo (abbiamo avuto alcune ore di bufera poi è arrivato il sole), buona organizzazione dell'accoglienza, sistemazione molto curata (abbiamo soggiornato in camera doppia), cucina e servizi adeguati;Rifugio Lagazuoi;05/07/2019;ce;TEST
Fearless44908682548;Ritengo il Lagazuoi il posto più bello del mondo. Qui il panorama è impagabile. Soggiornare al Rifugio permette di godere di questo splendido panorama all'alba e al tramonto, i momenti più belli della giornata. . La struttura è accogliente ed il trattamento adeguato al luogo dove ci si trova. Nel complesso Impagabile;Rifugio Lagazuoi;05/07/2019;ce;TEST
federicad27;Un rifugio spettacolare, a 2800 metri con sauna esterna con vista panoramica. Si mangia molto bene e si può anche pernottare. Consigliatissimo per sciatori ma anche per chi vuol rilassarsi all’aria aperta.;Rifugio Lagazuoi;05/07/2019;ce;TEST
BabR;Abbiamo festeggiato qui una cerimonia e nonostante l agriturismo fosse pieno il servizio è stato attento e veloce . Il cibo buonissimo e impiattato con cura .  Ci siamo trovati molto bene ci torneremo e lo consiglieremo sicuramente  Abbiamo notato anche la pulizia della sale ... complimenti!…;Agriturismo & Scuderia della Valle;05/07/2019;ce;TEST
Anna M;Nel Parco del Gran Paradiso posto piccolo ma estremamente accogliente. Tutto a Km0:tagliere e salumi di ottima qualità, personale gentilissimo,cucina ottima...lasciate uno spazietto per i dolci sono squisiti!  Come se non bastasse attenti alle esigenze degli amici a quattro zampe. Torneremo sicuramente. ??…;Agriturismo La Ferme du Grand Paradis;05/07/2019;ce;TRAINING
Eleonora C;Abbiamo mangiato in questo agriturismo per pranzo. Posto stupendo con vista mozzafiato sul Gran Paradiso. Ambiente all'interno caldo e famigliare, ideale per sentirsi coccolati. Piatti super prelibati e abbondanti.;Agriturismo La Ferme du Grand Paradis;05/07/2019;ce;TEST
Antonella V;Abbiamo cenato domenica sera 3 giugno, posto molto suggestivo ,la signora che a coglie é  molto gentile, cena molto buona, da ritornare di sicuro, ottimo tutto dall'antipasto al dolce, che dire, andateci, non fosse altro per la bellezza  del posto;Agriturismo La Ferme du Grand Paradis;05/07/2019;ce;TRAINING
marghepog;Eleganza, stile, purezza, armonia, gusto: questi gli ingredienti di un agriturismo sapientemente concepito, rigorosamente sostenibile, nel più squisito rispetto della natura e delle antiche tradizioni. paola e suo marito accolgono gli ospiti con calore e discrezione, attenti ma mai invadenti Le camere sono deliziosi nidi alpini. Il ristorante merita la sosta per i prodotti della fattoria, la ricerca di antiche ricette reinterpretate in chiave contemporanea e l'equilibrio che ogni piatto dimostra di avere. La location è straordinaria, sopra Cogne, all'inizio della valle incantata del Gran Paradiso, circondata solo da pisce da fondo e morbide passeggiate dove gli animali (camosci in primis!) regano incontrastati.;Agriturismo La Ferme du Grand Paradis;05/07/2019;ce;TRAINING
Maur0L;Durante una visita aziendale vengo ospitato in questo hotel poco fuori Milano. Hotel dall’ottimo aspetto e dalla buona sostanza. Stanze non troppo grandi ed essenziali ma piacevoli nell’aspetto e nelle dotazioni, gradita l’acqua in omaggio per la notte. Variegata la colazione, ottimo il confort termo-acustico, molto cortese il personale. Da apprezzare anche la disponibilità di phon tradizionale e non il classico montato In bagno dalle scarse prestazioni. …;Crowne Plaza Milan Linate;05/07/2019;ce;TEST
Heidi K;Brunch della domenica in questo grande e moderno hotel in zona linate. Sala grande, con tanti tavoli ma buona acustica, c'è anche una zona un po' appartata per far giocare i bambini con l'assistenza di una ragazza del personale. Tante portate, molti antipasti, e ampia scelta tra primi e secondi caldi.  Per il dolce è possibile farsi fare una crepe al momento, altrimenti c'è un banco con vari tipi di torte e dessert.…;Crowne Plaza Milan Linate;05/07/2019;ce;TRAINING
arisso;Facilmente raggiungibile dall’autostrada è dotato di ampio parcheggio, ècomodo sia all’aeroporto di Linate che alla stazione di Rogoredo (navetta gratuita). Moderno, ben arredato ottima colazione a buffet. ;Crowne Plaza Milan Linate;05/07/2019;ce;TEST
