"utente"|"commento"|"hotel"|"dataIns"|"labelpers"|"tipo_lista"
"Andrea T"|"Dormito una notte in camper presso la struttura.Piazzole molto larghe dotate tutte di allaccio acqua e corrente, tutte in piano o al limite con pochissimo dislivello. Bagni puliti soprattutto tenendo conto che l'affluenza era davvero elevata. Tutta la struttura è gestita molto bene, e molto curata in tutti i dettagli. Comodissima la pista ciclabile lungo l'Arno. collegata con il camping e che ti permette di arrivare fino in centro! Possibilità di noleggiare le bici al campeggio, c'è anche una navetta che con soli 3 euro ti porta in centro. Piscina molto bella e ristorante bar molto carini."|"Camping Village Firenze"|"05/07/2019"|"sp"|"TEST"
"Andrea Taranto"|"Un'emozione unica: la vista che regala il rifugio Lagazuoi è unica, con un tramonto e un'alba a dir poco spettacolari. Dall'aperitivo nel pomeriggio, solo con i pochi ospiti, alla cena, alla notte nelle stanze in legno e veramente suggestive, al tramonto con il sole che scende dietro le montagne, fino al risveglio per vedere sorgere il sole, è un modo unico per staccare dalla quotidianità, regalarsi due giorni di sci e godersi uno spettacolo mozzafiato.…"|"Rifugio Lagazuoi"|"05/07/2019"|"ce"|"TRAINING"
"AndreaGin2013"|"Se avete le possibilità di pernottare nella suite presidenziale avete fatto tombola. Una meraviglia. Comunque sia l'attenzione per il servizio clienti Credo sia il punto di forza di questa struttura ( suite presidenziale a parte ). Nadine, Rita, Simona, Carolina... fin da prima del mio arrivo (via mail) Si sono dimostrate di una gentilezza e di una disponibilità degne di nota, molto abili nel customer care a 360°. Purtroppo le condizioni metereologiche non ci hanno consentito di sfruttare appieno la struttura, ad esempio la graziosa terrazza con piscinetta.. ma ne è valsa comunque la pena e quasi dispiace di non essere stati molto in stanza.. ma Firenze Merida di essere visitata come si deve ed un weekend non è abbastanza. La colazione offre una varietà di cibi caldi e freddi davvero ottimi, frutta..ecc... Direi che non manca proprio niente.Sicuramente una esperienza da ripetere anche solo per rincontrare il delizioso personale."|"NH Firenze"|"05/07/2019"|"lx"|"TEST"
"andrewcana"|"Abbiamo pernottato una notte, scelto per la vicinanza al Parco della Musica. Ottimo b&b molto pulito camera tripla mto spaziosa con un bel bagno. Buona la colazione. A 5 minuti di distanza dai mezzi per il centro e dall'auditorium "|"Parioli Bed & Business"|"05/07/2019"|"ce"|"TRAINING"
"Anna M"|"Nel Parco del Gran Paradiso posto piccolo ma estremamente accogliente. Tutto a Km0:tagliere e salumi di ottima qualità, personale gentilissimo,cucina ottima...lasciate uno spazietto per i dolci sono squisiti!  Come se non bastasse attenti alle esigenze degli amici a quattro zampe. Torneremo sicuramente. ??…"|"Agriturismo La Ferme du Grand Paradis"|"05/07/2019"|"so"|"TRAINING"
"Anna Maria C"|"Al Sangallo Palace Hotel insieme al mio fidanzato ho vissuto una meravigliosa esperienza. La posizione è ottima, praticamente a pochi metri da scale mobili che conducono al centro storico di Perugia. Per quanto rigisrda la struttura, eccellente dal punto di vista dell'accoglienza, della pulizia e del servizio. Le stanze sono grandi, ben arredate, pulite, dotate di ogni comfort. L'albergo dispone anche di piscina e sala fitness. Per quanto concerne la colazione, siamo rimasti piacevolmente sorpresi, dalla varietà di cibi proposti dal dolce al salato, di ottima qualità ed anche senza glutine! Qualità, cortesia, professionalità ed eleganza sono le parole adatte per descrivere il Snagallo Palace. Ci ritorneremo alla prossima visita di Perugia, una città meravigliosa!"|"Sangallo Palace Hotel"|"05/07/2019"|"lx"|"TRAINING"
"Anna R"|"Ho trascorso un breve periodo presso il Lifestyle Suites per un viaggio d'affari e devo dire che la mia esperienza è stata di alto livello.Il personale è sempre stato molto gentile e preparato, le camere poi erano veramente belle ed accoglienti."|"Lifestyle Suites Rome"|"05/07/2019"|"lx"|"TRAINING"
"Anna_Dat"|"Nella meravigliosa cornice del lago di Como, la Villa Liberty si distingue per la sua eleganza e il suo stile romantico.  Perfetto per coppie e famiglie, io e il mio compagno siamo rimasti estasiati dalla vista sul lago, resa ancora più piacevole dall'aperitivo servito nell'ampia terrazza. Le camere sono arredate con gusto e tanta cura e la spa privata che abbiamo prenotato solo per noi è davvero una chicca e ha reso unico il nostro soggiorno in villa. Personale impeccabile ed estremamente cortese. Ritornerò sicuramente!…"|"Villa Liberty"|"05/07/2019"|"lx"|"TRAINING"
"Annie0811"|"Ho trascorso un paio di notti presso questa struttura. Il luogo in cui è ubicato questo campeggio è favoloso, il mare e il paesaggio mi hanno soddisfatto appieno. Ho gradito anche il fatto che ci fosse la spiaggia solo di pertinenza del campeggio. I bagni, e i vari luoghi sono puliti, il personale cortese. Il campeggio offre anche animazione. Abbiamo anche cenato al ristorante  e siamo stati soddisfatti. Unico neo... la mia pelosetta, una barboncina, è stata accettata, ma in alta stagione i cani non sono ammessi."|"Camping Torre Castiglione"|"05/07/2019"|"ce"|"TRAINING"
"Anto F"|"Hotel 5 stelle meraviglioso, ricercato e raffinato. Camere meravigliose, vista mozzafiato sin dall'ingresso....discesa a mare privata e solarium, ristorante ottimo, arredi di un'eleganza quasi unica. È una villa stile liberty costruita su una scogliera.... Posizionato all'ingresso di Amalfi, questo hotel è un tripudio di bellezza e confort. …"|"Santa Caterina Hotel"|"05/07/2019"|"lx"|"TRAINING"
"Antonella V"|"Abbiamo cenato domenica sera 3 giugno, posto molto suggestivo ,la signora che a coglie é  molto gentile, cena molto buona, da ritornare di sicuro, ottimo tutto dall'antipasto al dolce, che dire, andateci, non fosse altro per la bellezza  del posto"|"Agriturismo La Ferme du Grand Paradis"|"05/07/2019"|"ce"|"TEST"
"Antonio B"|"Vengo all'Europa Camping Village da più di 10 anni, e non mi ha mai deluso.La struttura è fantastica, ampia scelta di piazzole (ci sono piazzole grandi piccole, ombreggiate, poche sono soleggiate), i bagni sono fantastici: moderni, sempre puliti e con molte docce, toilette e lavandini.Il bar è moderno, ristrutturato da poco e molto bello.Il ristorante sul mare è a dir poco fantastico, anch'esso ristrutturato da poco, molto professionale e di qualità.E' presente un market, bazar, bigiotteria, sala giochi, gelateria, campo da calcetto, campo da tennis, parco giochi e sala wellnes.La spiaggia è molto ampia e pulita, sono presenti campi da beach volley, calcio sulla sabbia e giochi per bambini.Piscina magnifica, con uno scivolo, tre piscine e un idromassaggio.Il personale è gentile, qualificato e sempre disponibile.Ad inizio vacanza viene consegnato un braccialetto con cui è possibile pagare tutti i servizi del camping, il tutto verrà poi addebitato sul conto in modo da non dover andare in giro con tanti contanti.Animazione gentile e simpatica, mai invadente, ottima per i bambini.Dei prezzi preferisco non palarne perché ognuno può credere che costi troppo / troppo poco, dico solo che c'è un ottimo rapporto qualità-prezzo e si vede che i soldi vengono investiti continuamente.Unica pecca per qualcuno potrebbe essere il Wifi a pagamento, di cui sinceramente a me non mi interessa niente...Orari del silenzio sempre rispettati sia dalla direzione che dagli ospitiDa provare almeno una volta nella vita!!!Un posto fantastico per godersi la vita senza stress!"|"Europa Camping Village"|"05/07/2019"|"sp"|"TRAINING"
"Antonio I"|"La struttura è bella e molto nuova. Facilmente raggiungibile dall'aeroporto con 15 € di Taxi. Personale gentile, camere ampie e pulite. L'unica critica che mi sento di fare è che nelle camere si sentono molto i rumori che vengono dai piani superiori e dal corridoio."|"UNAHOTELS Bologna Fiera"|"05/07/2019"|"ce"|"TRAINING"
"ANTONIO N"|"Il posto è meraviglioso, con il gran paradiso a due passi, immerso nel verde, unica pecca che il menù non abbia la possibilità di scegliere tra almeno due portate, e il prezzo è un po' altino, considerato tutto. Sicuramente non ci ritornerò."|"Agriturismo La Ferme du Grand Paradis"|"05/07/2019"|"sp"|"TEST"
"arianna s"|"Seconda volta che torno in questo campeggio in tenda, e di nuovo sono davvero soddisfatta. Spesso nei campeggi si tende a rinunciare agli alberi per fare più posto possibile, qui non è così, mai visto un campeggio così verde, sembra di stare in un bosco! Oltre a questo, bagni puliti, e prezzo conveniente. Personale disponibilissimo dato che ci hanno lasciato stare in piazzola fino al pomeriggio. Spero di tornare presto.…"|"Camping Sabbiadoro"|"05/07/2019"|"sp"|"TRAINING"
"arisso"|"Facilmente raggiungibile dall’autostrada è dotato di ampio parcheggio, ècomodo sia all’aeroporto di Linate che alla stazione di Rogoredo (navetta gratuita). Moderno, ben arredato ottima colazione a buffet. "|"Crowne Plaza Milan Linate"|"05/07/2019"|"ce"|"TRAINING"
"armrus"|"Il Crowne Plaza ha ospitato la Fiera degli Elettrici 2019 e ho avuto modo di apprezzare la struttura molto ben organizzata e abbiamo anche pranzato presso il ristorante in formula self service. Ottima l’organizzazione e i servizi offerti."|"Crowne Plaza Milan Linate"|"05/07/2019"|"sp"|"TRAINING"
"AronaAnita"|"Un bel incontro di 12 amici da varie parti del mondo, a Cogne in una posizione geografica meravigliosa! Un agriturismo che già dall'aspetto ti fa' capire il rapporto cibo/natura,  antipasti con un lardo che non ha nulla da invidiare ad altri molto più enfatizzati, dei porcini con pesche incredibili, ottima la polenta con uno spezzatino sfumato con vino  sano e corposo, zuppa di Cogne perfetta, ciottole di formaggio fuso così buono che si fatica a non scottarsi la lingua! Un po' meno di mio gusto le carni alla griglia e il dolce che, usando solo latte Delle loro mucche, risulta un po' forte, quasi sa di formaggio. Ottima la carta dei vini. Prezzo qualità /prezzo nella norma. Vi è la possibilità di avere piatti per celiaci. Ci torneremo.…"|"Agriturismo La Ferme du Grand Paradis"|"05/07/2019"|"sp"|"TRAINING"
"atti S"|"Siamo andati con la famiglia per visitare firenze. Che è a 5 min di auto ma forse meglio andare in bici perché è davvero a pochi km e parcheggiare a firenze.... Preso il bungalow con due stanze due bagni. Non è enorme ma alla fine due bagni letti comodi, aria condizionata, cucina con quello che serve (che non abbiamo usato) e veranda esterna. I bungalow sono molto vicini tra loro e forse è un po’ un difetto ma se lo spazio è poco... Bella la piscina, i ragazzi si sono divertiti parecchio.  Il ristorante è valido ma molto caro. Si mangia bene, forse sono un po’ lenti, ma i prezzi sono un po’ eccessivi per il tipo di struttura. Alla fine servirebbe una cosa un po’ più alla mano per gente che va in campeggio e non all’hotel. Non capisco poi la mancanza di un bar vista Arno, sarebbe comodo perché dal lato dei bungalow e anche carino visto che ci si potrebbe rilassare lontano dal casino Ad ogni modo lo consiglio noi ci siamo trovato davvero bene…"|"Camping Village Firenze"|"05/07/2019"|"sp"|"TRAINING"
"azzurropescara"|"Gradevole hotel a San Donato milanese . Hall ampia . Personale gentile e veloce al check in . Stanza abbastanza confortevole e pulita . Letto grande e comodo . Bagno adeguato con asciugamani morbide . Bella la sala fitness condizionata al 13 piano con 2 su 3 tapis roulant funzionanti ed altri ottimi attrezzi . Completano l’albergo 2 ristoranti : uno alla carte e l’altro a buffet . Prezzi in linea con Milano nella sala servita e in quella a buffet costo 27 € escluso bevande . Colazione davvero fantastica e di qualità sia nel dolce che nel salato . La colazione rappresenta il vero punto forte dell’albergo compreso il servizio di bevande calde o altro cucinato al momento . …"|"Crowne Plaza Milan Linate"|"05/07/2019"|"sp"|"TEST"
"BabR"|"Abbiamo festeggiato qui una cerimonia e nonostante l agriturismo fosse pieno il servizio è stato attento e veloce . Il cibo buonissimo e impiattato con cura .  Ci siamo trovati molto bene ci torneremo e lo consiglieremo sicuramente  Abbiamo notato anche la pulizia della sale ... complimenti!…"|"Agriturismo & Scuderia della Valle"|"05/07/2019"|"ce"|"TEST"
