"utente"|"commento"|"hotel"|"datains"|"tipo_lista"|"labelpers"
"Alessandra"|"Camere accoglienti e calde (forse anche troppo). Ottima la pulizia e la posizione, a due passi dalla funivia dell'Etna. Personale gentile e flessibiltà di check-in. Colazione a buffet abbondante e con vasta scelta. Parcheggio gratuito in loco. Da provare!"|"Rifugio Sapienza"|"05/07/2019"|"TRAINING"|"ce"
"Alessandra P"|"Abbiamo soggiornato presso l hotel Halanus per il nostro anniversario ed abbiamo scelto la suite 'Terra'..l'atmosfera in camera è davvero romantica..idromassaggio e sauna spettacolari..personale gentile e molto cortese..torneremo sicuramente per provare anche le altre suite a tema!consigliatissimo!…"|"Halanus Hotel & Resort"|"05/07/2019"|"TRAINING"|"lx"
"Alessandro M"|"Ottima struttura, personale disponibilissimo. Pulizie dei servizi molto buona. Dopo parecchi anni che andiamo, per noi è sempre un po' come tornare a casa. Buonissimo ristorante. Posto ideale per rilassarsi."|"Camping Olympia"|"05/07/2019"|"TRAINING"|"ce"
"Alessandro R"|"Sono stato tre giorni  e sono rimasto molto soddisfatto della permanenza in questo camping piscina non molto bella ma con 40 gradi diventa bella, stanze molto belle anche se un po' piccoline ma ne vale la pena farsi una vacanza qui"|"Camping Village Firenze"|"05/07/2019"|"TRAINING"|"ce"
"Alessandro Z."|"La nostra permanenza è durata forse un ora.Volevo trascorre con la mia famiglia una giornata in pieno relax,ma purtroppo l'educazione di un addetta alla scuderia non è stata affatto amichevole e coinvolgente e abbiamo deciso di togliere subito il disturbo.. La signora e stata sgorbutica e burbera, non ci ha degnato di una parola ed e stata maleducata con mio figlio.Persona non all'altezza ad avere un approccio armonioso con i clienti. Mi dispiace per i titolari dell'agriturismo che si sono dimostrati gentili con noi, ma se alla signora davamo fastidio bastava dirlo subito.Fossi in loro la licenzierei in tronco. A mai più"|"Agriturismo & Scuderia della Valle"|"05/07/2019"|"TRAINING"|"so"
"ALESSIA"|"Ho soggiornato un weekend con la famiglia per un evento sportivo nelle vicinanze ed è stato tutto perfetto! Siamo stati accolti con gentilezza e professionalità. La stanza era grande e spaziosa, ben arredata, molto pulita, con in omaggio prodotti di cortesia per il bagno, caffè solubile, biscotti, the (con bollitore a disposizione). Molto bella la palestra e la sauna all'ultimo piano. Il parcheggio di fronte era libero. Il prezzo è stato super conveniente. E i bimbi si sono divertiti a scovare le lepri che vivono proprio nel giardino dell'hotel!"|"Crowne Plaza Milan Linate"|"05/07/2019"|"TRAINING"|"sp"
"alessibax"|"Camera quadrupla, quattro letti molto confortevoli, materasso perfetto, bagno moderno Arredamento molto curato e pulizia impeccabile. WiFi ottimo. Colazione tutto fresco, torte favolose, opzione salato inclusa. Provato anche il ristorante per la cena e anche per il cibo servito confermiamo il nostro giudizio positivo alla struttura. Consigliato,vista lo posizione, svegliarsi presto per vedere l'alba."|"Rifugio Sapienza"|"05/07/2019"|"TRAINING"|"ce"
"Alessio M"|"Abbiamo soggiornato nella casa mobile “L”, con tutto il necessario per trascorrere la vacanza. Tempestivi i tecnici per sistemazione perdita lavandino e sostituzione cappa, complimenti. Disponibile anche il personale alla reception. Delusione totale per quanto riguarda l’animazione che è incentrata esclusivamente per intrattenere bambini, diciamo inferiori ai 10 anni, e in ogni caso con attività ripetitive. Le piscine non sono male anche se si fatica a trovare una sdraio libera se si arriva dopo l’apertura. Infine la rete Wi-Fi è molto scadente, quando si riesce a prendere il segnale è intermittente e si perde in continuazione. Nel complesso valuto tre stelle come quelle che sono state assegnate al camping."|"Camping Sabbiadoro"|"05/07/2019"|"TRAINING"|"so"
"Alex Milano"|"Prima Ata ora UnaHotels mantiene, anzi migliora, lo standard già molto buono. Plus: per i viaggiatori business la posizione adiacente la tangenziale, il garage incluso nel prezzo, la dimensione generosa e superiore alla media delle camere con ampio bagno e super doccia Teuco e, soprattutto, la pulizia che domina tutti gli ambienti, privati e comuni. Bravissime le ragazze in sala colazione, raramente ho visto un ambiente così curato. Personale gentile in generale. Minus: non esiste il benché minimo spazio esterno e come già segnalato da un collega le tende oscuranti lasciano filtrare la luce dell'alba disturbando il sonno. Il bar non offre molte etichette tra cui scegliere. Rapporto qualità prezzo strepitoso.…"|"UNAHOTELS San Vitale Bologna"|"05/07/2019"|"TRAINING"|"sp"
"alfatocoferolo"|"Siamo andati quattro giorni con la mia famiglia, buona esperienza nel complesso. I PRO sono che il personale è davvero gentile ed efficiente, ogni tanto mi omaggiavano un amaro, ci hanno lasciato la camera qualche oretta in più dopo l'orario di consegna ed erano infinitamente pazienti coi miei figli. Altro vantaggio, la neve è a portata di mano, posteggi nel parcheggio del Rifugio e non la macchina non la usi praticamente più, se non per pochi metri. CONTRO, durante la permanenza hanno ben deciso di dare una pulita a tutta la struttura, ragion per cui avevamo rumori molesti a tutti gli orari (non di notte, ovviamente) e odore di prodotti chimici per la pulizia, all'ingresso. Altro contro, il riscaldamento non è autonomo, i termosifoni partivano a certi orari e senza possibilità di regolarli, morale della favola: la notte si moriva letteralmente di caldo. Ultimo aspetto criticabile, il ristorante. Le pizze non erano male, porzioni molto abbondanti tra l'altro ma antipasti e primi erano bruttarelli. Ho preso un antipasto misto, c'erano dentro caponata, peperonata, omelette, formaggi, salumi e altro, tutto immerso nello stesso olio, era molto pesante e sicuramente non si gustavano i vari sapori. Vino, davvero brutto. Il danno è che a pranzo c'erano delle alternative nei ristorantini intorno ma la sera c'è solo il Rifugio aperto, per cui o cenavi lì o cenavi lì.Nel complesso, una buona vacanza."|"Rifugio Sapienza"|"05/07/2019"|"TRAINING"|"ce"
"Altoatesino"|"Ho soggiornato con la mia famiglia per due settimane al camping Torre Castiglione nel mese di Giugno. Nel complesso siamo stati bene e il soggiorno è stato davvero piacevole. Sicuramente ci sono alcuni aspetti da migliorare.  Abbiamo alloggiato nella mobilhome deluxe. Si tratta di strutture nuove, dotate di climatizzatore, una bella veranda con ampio spazio dove poter mangiare, un bagno piccolo ma dotato del necessario (doccia calda, bidet, lavandino, wc). Vi sono poi  due camere da letto, una matrimoniale ed una con due letti singoli. Se è vero che i materassi non sono grandi, è altrettanto vero che sono piuttosto comodi (aspetto fondamentale per il sottoscritto). Completa la struttura una piccola cucina con un tavolino. Sicuramente migliorabile la dotazione della cucina che risulta essere minimale (qualche posata e qualche piatto in più non guasterebbe). Ottima la pulizia dell’alloggio al nostro arrivo. L’accesso alla spiaggia è immediato, con 3 minuti a piedi si raggiunge la meravigliosa spiaggia privata del camping (ai lati c’è spiaggia libera). Abbiamo potuto godere dei colori meravigliosi che questo angolo di Salento offre. Nel mese di Giugno, personalmente ritengo sia ai livelli della Sardegna (anche superiore in alcuni casi). Completa la magica atmosfera la possibilità di prenotare l’ombrellone con la comodità di poter lasciare i vari giochi dei bambini per tutta la vacanza. I bravissimi bagnini (Matteo e Joele) sono sempre presenti e vigili su tutto e tutti.  La prima settimana di vacanza è stata allietata dalla meravigliosa animazione proposta dal capo animatore Enrico, affiancato da dj Pasquale e da Martina e Maridora (che hanno instaurato un bellissimo rapporto con i più piccoli). I ragazzi hanno saputo coinvolgere gli ospiti (sia i più piccoli che i più grandi) con un’animazione simpatica, varia e mai invadente. Durante la seconda settimana, nonostante qualche problema organizzativo, l’animazione è comunque stata presente anche grazie al supporto di Alessio. All’interno della struttura è presente un bar, un mini market (ben fornito) è un ristorante dove si può mangiare del buon pesce (o anche la pizza). I gestori ed il personale sono persone davvero gentili e disponibili sempre pronte a soddisfare i bisogni degli ospiti. Passando agli aspetti da migliorare: - una struttura 4 stelle a mio avviso dovrebbe prevedere Wi-Fi gratuito per gli ospiti, almeno nelle  zone comuni  - dotazioni della cucina troppo minimali  - lavatrici a disposizione degli ospiti sono un po’ datate e una delle 3 è stata fuori servizio per 14 giorni  - docce calde a pagamento per chi alloggia in camper  - campo da calcetto a pagamento  - chiosco in spiaggia ancora chiuso a Giugno (ritengo che all’apertura dovrebbe essere già tutto funzionante ed operativo).…"|"Camping Torre Castiglione"|"05/07/2019"|"TRAINING"|"so"
"Andrea D"|"Probabilmente uno dei migliori hotel dove abbia mai soggiornato.Per la qualità della camera (suite eccelsa!), la cortesia e la professionalità dello staff (impagabili!), per la location (centro pedonale - ma raggiungibile con i propri mezzi - nel cuore di Silandro), per la colazione (quantità e qualità al buffet con pochi paragoni). Biker friendly, si aggiunga, visto che dispone, oltre che di un proprio parcheggio privato, di un ampio garage per bici e, appunto, moto. Non abbiamo avuto modo di testare il centro benessere (impegnati come eravamo a scorrazzare per i dintorni, magnifici), ma siamo stati coccolati ampiamente durante il nostro soggiorno. Prenotate per tempo visto che la reputazione ottima lascia spesso ben poche camere a disposizione. Onestissimo il rapporto qualità prezzo. Solo due parole, per chiudere: Complimenti, Grazie!!!"|"Genusshotel Goldene Rose"|"05/07/2019"|"TRAINING"|"lx"
"Andrea E"|"Tutto comincia due settimane prima del ns soggiorno in questa struttura. Telefono prima per prenotazione della piazzola 510 e successivamente mi viene confermata on line prenotazione e la piazzola prescelta. Prima del ns arrivo mi accerto nuovamente della prenotazione che mi viene confermata... Però la piazzola non è più disponibile è già stata occupata sebbene da loro conferma... Alla reception al mio arrivo si scusano ma niente si può fare... Prima delusione e nessun tentativo con chi occupa ormai la 510. Ci sistemiamo comunque.La sera dopo aver prenotato al ristorante del camping ordiniamo due pizze, la cameriera ci dice che ci sarà da aspettare 15 min. Mia figlia 12 anni ha fame e dopo 45 min di attesa ci alziamo Avvisiamo e lasciamo questa specie di ristorante dove nessuno si scusa del disservizio anzi... Così si libera il tavolo!! Il camping non offre un gran ché ed è pure triste... Credo che non ci metteremo più piede e non lo consiglierò mai a nessuno... Un vero schifo."|"Camping Olympia"|"05/07/2019"|"TRAINING"|"ce"
"Andrea Taranto"|"Un'emozione unica: la vista che regala il rifugio Lagazuoi è unica, con un tramonto e un'alba a dir poco spettacolari. Dall'aperitivo nel pomeriggio, solo con i pochi ospiti, alla cena, alla notte nelle stanze in legno e veramente suggestive, al tramonto con il sole che scende dietro le montagne, fino al risveglio per vedere sorgere il sole, è un modo unico per staccare dalla quotidianità, regalarsi due giorni di sci e godersi uno spettacolo mozzafiato.…"|"Rifugio Lagazuoi"|"05/07/2019"|"TRAINING"|"ce"
"andrewcana"|"Abbiamo pernottato una notte, scelto per la vicinanza al Parco della Musica. Ottimo b&b molto pulito camera tripla mto spaziosa con un bel bagno. Buona la colazione. A 5 minuti di distanza dai mezzi per il centro e dall'auditorium"|"Parioli Bed & Business"|"05/07/2019"|"TRAINING"|"ce"
"Anna M"|"Nel Parco del Gran Paradiso posto piccolo ma estremamente accogliente. Tutto a Km0:tagliere e salumi di ottima qualità, personale gentilissimo,cucina ottima...lasciate uno spazietto per i dolci sono squisiti!  Come se non bastasse attenti alle esigenze degli amici a quattro zampe. Torneremo sicuramente. ??…"|"Agriturismo La Ferme du Grand Paradis"|"05/07/2019"|"TRAINING"|"ce"
"Anna Maria C"|"Al Sangallo Palace Hotel insieme al mio fidanzato ho vissuto una meravigliosa esperienza. La posizione è ottima, praticamente a pochi metri da scale mobili che conducono al centro storico di Perugia. Per quanto rigisrda la struttura, eccellente dal punto di vista dell'accoglienza, della pulizia e del servizio. Le stanze sono grandi, ben arredate, pulite, dotate di ogni comfort. L'albergo dispone anche di piscina e sala fitness. Per quanto concerne la colazione, siamo rimasti piacevolmente sorpresi, dalla varietà di cibi proposti dal dolce al salato, di ottima qualità ed anche senza glutine! Qualità, cortesia, professionalità ed eleganza sono le parole adatte per descrivere il Snagallo Palace. Ci ritorneremo alla prossima visita di Perugia, una città meravigliosa!"|"Sangallo Palace Hotel"|"05/07/2019"|"TRAINING"|"lx"
"Anna R"|"Ho trascorso un breve periodo presso il Lifestyle Suites per un viaggio d'affari e devo dire che la mia esperienza è stata di alto livello.Il personale è sempre stato molto gentile e preparato, le camere poi erano veramente belle ed accoglienti."|"Lifestyle Suites Rome"|"05/07/2019"|"TRAINING"|"lx"
"Anna_Dat"|"Nella meravigliosa cornice del lago di Como, la Villa Liberty si distingue per la sua eleganza e il suo stile romantico.  Perfetto per coppie e famiglie, io e il mio compagno siamo rimasti estasiati dalla vista sul lago, resa ancora più piacevole dall'aperitivo servito nell'ampia terrazza. Le camere sono arredate con gusto e tanta cura e la spa privata che abbiamo prenotato solo per noi è davvero una chicca e ha reso unico il nostro soggiorno in villa. Personale impeccabile ed estremamente cortese. Ritornerò sicuramente!…"|"Villa Liberty"|"05/07/2019"|"TRAINING"|"lx"
"Annie0811"|"Ho trascorso un paio di notti presso questa struttura. Il luogo in cui è ubicato questo campeggio è favoloso, il mare e il paesaggio mi hanno soddisfatto appieno. Ho gradito anche il fatto che ci fosse la spiaggia solo di pertinenza del campeggio. I bagni, e i vari luoghi sono puliti, il personale cortese. Il campeggio offre anche animazione. Abbiamo anche cenato al ristorante  e siamo stati soddisfatti. Unico neo... la mia pelosetta, una barboncina, è stata accettata, ma in alta stagione i cani non sono ammessi."|"Camping Torre Castiglione"|"05/07/2019"|"TRAINING"|"ce"
"Anto F"|"Hotel 5 stelle meraviglioso, ricercato e raffinato. Camere meravigliose, vista mozzafiato sin dall'ingresso....discesa a mare privata e solarium, ristorante ottimo, arredi di un'eleganza quasi unica. È una villa stile liberty costruita su una scogliera.... Posizionato all'ingresso di Amalfi, questo hotel è un tripudio di bellezza e confort. …"|"Santa Caterina Hotel"|"05/07/2019"|"TRAINING"|"lx"
"Antonio B"|"Vengo all'Europa Camping Village da più di 10 anni, e non mi ha mai deluso.La struttura è fantastica, ampia scelta di piazzole (ci sono piazzole grandi piccole, ombreggiate, poche sono soleggiate), i bagni sono fantastici: moderni, sempre puliti e con molte docce, toilette e lavandini.Il bar è moderno, ristrutturato da poco e molto bello.Il ristorante sul mare è a dir poco fantastico, anch'esso ristrutturato da poco, molto professionale e di qualità.E' presente un market, bazar, bigiotteria, sala giochi, gelateria, campo da calcetto, campo da tennis, parco giochi e sala wellnes.La spiaggia è molto ampia e pulita, sono presenti campi da beach volley, calcio sulla sabbia e giochi per bambini.Piscina magnifica, con uno scivolo, tre piscine e un idromassaggio.Il personale è gentile, qualificato e sempre disponibile.Ad inizio vacanza viene consegnato un braccialetto con cui è possibile pagare tutti i servizi del camping, il tutto verrà poi addebitato sul conto in modo da non dover andare in giro con tanti contanti.Animazione gentile e simpatica, mai invadente, ottima per i bambini.Dei prezzi preferisco non palarne perché ognuno può credere che costi troppo / troppo poco, dico solo che c'è un ottimo rapporto qualità-prezzo e si vede che i soldi vengono investiti continuamente.Unica pecca per qualcuno potrebbe essere il Wifi a pagamento, di cui sinceramente a me non mi interessa niente...Orari del silenzio sempre rispettati sia dalla direzione che dagli ospitiDa provare almeno una volta nella vita!!!Un posto fantastico per godersi la vita senza stress!"|"Europa Camping Village"|"05/07/2019"|"TRAINING"|"sp"
"Antonio I"|"La struttura è bella e molto nuova. Facilmente raggiungibile dall'aeroporto con 15 € di Taxi. Personale gentile, camere ampie e pulite. L'unica critica che mi sento di fare è che nelle camere si sentono molto i rumori che vengono dai piani superiori e dal corridoio."|"UNAHOTELS Bologna Fiera"|"05/07/2019"|"TRAINING"|"ce"
"arianna s"|"Seconda volta che torno in questo campeggio in tenda, e di nuovo sono davvero soddisfatta. Spesso nei campeggi si tende a rinunciare agli alberi per fare più posto possibile, qui non è così, mai visto un campeggio così verde, sembra di stare in un bosco! Oltre a questo, bagni puliti, e prezzo conveniente. Personale disponibilissimo dato che ci hanno lasciato stare in piazzola fino al pomeriggio. Spero di tornare presto.…"|"Camping Sabbiadoro"|"05/07/2019"|"TRAINING"|"sp"
"arisso"|"Facilmente raggiungibile dall’autostrada è dotato di ampio parcheggio, ècomodo sia all’aeroporto di Linate che alla stazione di Rogoredo (navetta gratuita). Moderno, ben arredato ottima colazione a buffet."|"Crowne Plaza Milan Linate"|"05/07/2019"|"TRAINING"|"ce"
"armrus"|"Il Crowne Plaza ha ospitato la Fiera degli Elettrici 2019 e ho avuto modo di apprezzare la struttura molto ben organizzata e abbiamo anche pranzato presso il ristorante in formula self service. Ottima l’organizzazione e i servizi offerti."|"Crowne Plaza Milan Linate"|"05/07/2019"|"TRAINING"|"sp"
"AronaAnita"|"Un bel incontro di 12 amici da varie parti del mondo, a Cogne in una posizione geografica meravigliosa! Un agriturismo che già dall'aspetto ti fa' capire il rapporto cibo/natura,  antipasti con un lardo che non ha nulla da invidiare ad altri molto più enfatizzati, dei porcini con pesche incredibili, ottima la polenta con uno spezzatino sfumato con vino  sano e corposo, zuppa di Cogne perfetta, ciottole di formaggio fuso così buono che si fatica a non scottarsi la lingua! Un po' meno di mio gusto le carni alla griglia e il dolce che, usando solo latte Delle loro mucche, risulta un po' forte, quasi sa di formaggio. Ottima la carta dei vini. Prezzo qualità /prezzo nella norma. Vi è la possibilità di avere piatti per celiaci. Ci torneremo.…"|"Agriturismo La Ferme du Grand Paradis"|"05/07/2019"|"TRAINING"|"sp"
"atti S"|"Siamo andati con la famiglia per visitare firenze. Che è a 5 min di auto ma forse meglio andare in bici perché è davvero a pochi km e parcheggiare a firenze.... Preso il bungalow con due stanze due bagni. Non è enorme ma alla fine due bagni letti comodi, aria condizionata, cucina con quello che serve (che non abbiamo usato) e veranda esterna. I bungalow sono molto vicini tra loro e forse è un po’ un difetto ma se lo spazio è poco... Bella la piscina, i ragazzi si sono divertiti parecchio.  Il ristorante è valido ma molto caro. Si mangia bene, forse sono un po’ lenti, ma i prezzi sono un po’ eccessivi per il tipo di struttura. Alla fine servirebbe una cosa un po’ più alla mano per gente che va in campeggio e non all’hotel. Non capisco poi la mancanza di un bar vista Arno, sarebbe comodo perché dal lato dei bungalow e anche carino visto che ci si potrebbe rilassare lontano dal casino Ad ogni modo lo consiglio noi ci siamo trovato davvero bene…"|"Camping Village Firenze"|"05/07/2019"|"TRAINING"|"sp"
"Bassethound85"|"Splendido agriturismo a mezz’ora da Lecco e all’inizio della Valle Imagna, abbiamo optato per il menu turistico a 25€ che comprendeva due portate. Tutto buono e molto abbondante. Quello però che lascia a bocca aperta e la quantità di animali che hanno, 40 cavalli, 10 maiali, lama, Alpaca , uccelli, rapaci meravigliosi conigli incredibili davvero complimenti un posto unico!Io ho fatto il corso di avvicinamento alla falconeria (25€) ma con solo 10€ si può avere un tutor che ti spiega tutti i principali animali di questo magnifico agriturismo!"|"Agriturismo & Scuderia della Valle"|"05/07/2019"|"TRAINING"|"sp"
"be_rto__"|"Hotel situato a 2000mt sul vulcano attivo più alto d'Europa. LOCATION (8/10):Ambiente rustico, con ampio utilizzo di elementi in legno a vista. Camere pulite, calde e confortevoli. Ampio bagno con doccia. Wi-fi funzionante.SERVIZIO (8/10):Personale cortese e disponibile. Nonostante la mancanza di neve, ci hanno prospettato una gradevole gita in quad, organizzata da EuroEtna Tourism.PASTI (8/10):Colazione davvero abbondante e variegata. Dolce, cornetti, plumcake, marmellate, muffin,... e salata, uova, salumi, formaggi...Possibilità di pranzare o cenare nel loro ristorante.CONTO (7/10):Pernotto e colazione 60€ a notte, febbraio.OPINIONE FINALE (8/10):Cliente ormai assiduo, sempre piacevole la visita. Consigliato."|"Rifugio Sapienza"|"05/07/2019"|"TRAINING"|"sp"
"Bibigor"|"Tutte le camere dell'hotel sono fantastiche ma non dovete perdervi la suite, vale ogni singolo euro speso. Ha l'accesso diretto in piscina, veranda con 3 lettini, soppalco con seconda zona notte e bagno separato. Ha la doppia vista: su Olbia e il tramonto e su tavolara el'alba. Regalatevi questo sogno. Colazione da 10 e lode, personale al top. Flavia"|"Hotel Luna Lughente"|"05/07/2019"|"TRAINING"|"lx"
"Bikernumberone"|"Ho soggiornato in questo hotel in occasione di un viaggio di lavoro a Bologna. Per andare in fiera la posizione è piuttosto buona, in meno di dieci minuti si arriva. Camera molto spaziosa e ben arredata, stessa cosa per il bagno: frigobar, cassaforte e tutto ciò che serve. Servizi buoni: parcheggio privato (un tantino caro e non ben segnalato secondo me) ristorante interno e ottima sala meeting. Una nota, a mio avviso, la colazione: mi è parsa un tantino scarsa per un 4 stelle. Ultima cosa: se ora si chiama UNAHOTELSANVITALE perché continuate a lasciare una indicazione differente all’estero?"|"UNAHOTELS San Vitale Bologna"|"05/07/2019"|"TRAINING"|"ce"
"Camillabuccia"|"Io insieme alla mia famiglia abbiamo dormito in questo Villaggio in un piccolo boungalow. Aria condizionata funzionante, acqua calda immediata nella doccia. Piscine pulite e carine. Personale cordiale, prezzi per la colazione modici. Ci riandrei!"|"Camping Village Firenze"|"05/07/2019"|"TRAINING"|"sp"
"Carlo F"|"Servizio ottimo e consigli su misura , Camera e bagno puliti e confortevoli .Colazione ricca e sempre disponibile . Vicino il sevizio di trasporto ATAC  per il centro Vicinissimo all'auditorium della musica ."|"Parioli Bed & Business"|"05/07/2019"|"TRAINING"|"ce"
"carlofranz"|"Volevamo trascorrere alcuni giorni nella tranquillità e nella cortesia pusterese e al Camping Olympia non puoi sbagliare. Accoglienza impeccabile, servizi perfetti come sempre qui abbiamo trovato! Bravi!!!  Carlo & Silvana"|"Camping Olympia"|"05/07/2019"|"TRAINING"|"so"
"carlomagi"|"Viaggio spesso per lavoro per cui non amo molto gli Hotel e soprattutto i Grandi Hotel.Preferisco scegliere i Boutique Hotel per le atmosfere intime e di casa, eleganti ma non ingessate!Mi è capitato di alloggiare qui 3 notti in vista di un evento a Taormina.Dire alloggiare è dire poco: una esperienza fantastica!All’arrivo: il giovane team mi accoglie con un sorriso e mentre mi offrono da bere dell’ottimo vino dell’Etna sulla terrazza (l’Etna che sta di fronte) le valigie sono già in camera.Decido di pranzare, affamati dal viaggio: cucina con prodotti freschi, ricette del territorio ma con un pizzico di eleganza!Le camere sono delle opere d’arte, sembrano uscite fuori da una rivista di Design, con fraquanze per ambienti rilassanti, che ancora mi ricordo!Ottimi i consigli su cosa visitare a Taormina e dintorni, promuovendo il territorio.Sono stati giorni memorabili, indimenticabili e sono sicuro che tornerò di nuovo qui a Villa Ducale per il mio prossimo lavoro a Taormina… e anche per vacanza!"|"Hotel Villa Ducale"|"05/07/2019"|"TRAINING"|"lx"
"cattafabio"|"Allora: hotel perfetto pulito, giovane appena ristrutturato/costruito silenzioso, colazione abbondante e ben fornita... unica pecca il clima troppo caldo perché a sentire loro per legge non potrebbero accende aria condizionata... (titubante)... ma ci sta dai... perfetto per qualità prezzo..."|"UNAHOTELS Bologna Fiera"|"05/07/2019"|"TRAINING"|"sp"
