"utente"|"commento"|"hotel"|"datains"|"tipo_lista"|"labelpers"
"RomaDado"|"Soggiorno di soli due giorni presso questa struttura che abbiamo prenotato non conoscendola. E' stata una buona rivelazione perché risulta essere vicina al luogo di interesse che nella fattispecie è Firenze.  E' ben organizzata in tutto, a partire dalla reception,  alle casette che sono complete di tutto e soprattutto ben pulite. Anche le stoviglie sono assolutamente utilizzabili. Noi siamo in tre ed avevamo due camere e due bagni con docce comodissime nello stesso chalet. L'unica pecca è l'assenza del bidet che a noi italiani piace tanto. Buono il market, il ristorante birreria e il servizio navetta che porta a Firenze (forse da estendere l'ultimo orario di ritorno serale che è alle ore 19.15)"|"Camping Village Firenze"|"05/07/2019"|"TRAINING"|"ce"
"delfo78"|"Buona soluzione come punto di partenza per visitare Firenze, ideale per tutti coloro che prediligono la libertà dei campeggi rimanendo comunque vicino ai punti di maggior interesse. Il camping offre tutto l'occorrente per trascorrere delle piacevoli ferie come, ristorante, bar, piscina, market, lavanderia, parco giochi e servizio navetta.  Consigliato soprattutto alle famiglie con bambini."|"Camping Village Firenze"|"05/07/2019"|"TRAINING"|"ce"
"Andrea T"|"Dormito una notte in camper presso la struttura.Piazzole molto larghe dotate tutte di allaccio acqua e corrente, tutte in piano o al limite con pochissimo dislivello. Bagni puliti soprattutto tenendo conto che l'affluenza era davvero elevata. Tutta la struttura è gestita molto bene, e molto curata in tutti i dettagli. Comodissima la pista ciclabile lungo l'Arno. collegata con il camping e che ti permette di arrivare fino in centro! Possibilità di noleggiare le bici al campeggio, c'è anche una navetta che con soli 3 euro ti porta in centro. Piscina molto bella e ristorante bar molto carini."|"Camping Village Firenze"|"05/07/2019"|"TRAINING"|"ce"
"vale87_11"|"Venivo in questo campeggio 15 anni fa, l'ho ritrovato un po trascurato per quanto riguarda il verde e la manutenzione delle piazzole. La pulizia invece è sempre ottima. Ho soggiornato in una casa mobile di tipo L, funzionale e nuova. In generale il personale non molto brillante.... me lo ricordavo meglio!! Resta comunque un buon campeggio, comodo per la vicinanza al centro e alla spiaggia…"|"Camping Sabbiadoro"|"05/07/2019"|"TRAINING"|"ce"
"Matteo C"|"Son stato qui con gli amici!Non sono un esperto di campeggi ma questo devo dire che merita!Personale gentilissimo sin dall arrivo.Pulizia delle strutture davvero molto buona.A due passi dalla spiaggia ed ha pure la piscina per gli ospiti del campeggio.Market superfornito e un buon ristorante.Devo dire che come esperienza e’ stata davvero buona e sicuramente se ne avrò l occasione,ritornerò!"|"Camping Sabbiadoro"|"05/07/2019"|"TRAINING"|"ce"
"Michela P"|"Non posso che confermare la recensione dell'anno scorso, ottimo campeggio, tenuto benissimo....noi avevamo casa mobile tipo L, pulita, comoda e funzionale. Piscina pulita e tenuta bene.... abbiamo fatto un giro anche nei bagni pubblici e abbiamo notato pulizia ovunque, piazzole ben tenute e personale gentilissimo."|"Camping Sabbiadoro"|"05/07/2019"|"TRAINING"|"ce"
"63meme"|"Quest'anno abbiamo fatto il bis, c i siamo stati sia subito dopo ferragosto che ora in settembre, chiaramente la situazione e' diversa, ma malgrado le presenze in campeggio siano sicuramente e ovviamente diverse, la cura e la disponibilità del personale e dei servizi non e' cambiata, oramai sono anni che passiamo almeno un breve periodo in questa struttura, e non ci siamo mai pentiti, non mi dilungo sulla descrizione del posto, cosa già fatta in altre occasioni.Un grazie a tutto lo staff."|"Camping Sabbiadoro"|"05/07/2019"|"TRAINING"|"ce"
"MariDryAsai"|"Io e mio marito abbiamo soggiornato in questo campeggio per 3 giorni in una casetta mobile modello H... anche se nel sito viene descritta come 2+1, noi personalmente l’abbiamo trovata stretta anche per 2 persone sole... avevamo con noi i nostri 2 cani e ci muovevamo a malapena... purtroppo devo concordare anche con le recensioni precedenti a questa che parlano della poca attenzione per la pulizia... risolvibile comunque, perché mi è bastato passare un attimo la scopa per risolvere il problema.Per quanto riguarda il campeggio in generale cmq io l’ho trovato molto ordinato e non ci sono stati problemi con gli orari del silenzio... tutto è stato perfetto.Personale molto gentile e sempre disponibile, nonostante la giovane età, i bagni e le docce comuni non li abbiamo usati perché appunto avevamo il nostro bagno nella casetta, quindi non posso esprimere 1 opinione...Ottima vicinanza con la spiaggia, 5 minuti e ci si arriva a piedi senza impazzire a cercar parcheggio... altra cosa che veramente mi è piaciuta tanto è stata il fatto che il giorno della partenza, anche dopo aver liberato la casetta entro le 10 come da regolamento, ci è stato concesso di lasciare la macchina dentro al campeggio x poterci godere un’ultima mezza giornata di spiaggia... ce l’hanno fatta lasciare vicino ai bagni, sotto agli alberi, così l’abbiamo anche ritrovata bella fresca nonostante il sole.L’unica cosa che mi sento di dire è che mi aspettavo che il campeggio avesse fatto una disinfestazione contro gli insetti (in molti campeggi la fanno) perché era praticamente impossibile mangiare fuori sul tavolino o lasciare anche solo per qualche minuto la porta aperta senza essere letteralmente divorati dalle zanzare, già di prima mattina... spero che per i prossimi anni si attrezzino...Speriamo di poter tornare anche il prossimo anno comunque, magari in una casetta più grande e anche per più di 3 giorni!"|"Camping Sabbiadoro"|"05/07/2019"|"TRAINING"|"ce"
"Erica C"|"Premesso che il mio compagno è venuto in questa struttura da parecchi anni e che due anni fa abbiamo soggiornato piacevolmente in una casa mobile non possiamo dire lo stesso per quest'anno !La piazzola del camper (con molta pendenza) era sporca, non curata come tutte le altre nella nostra stradina, la più lontana verso la strada. La strada stessa aveva delle buche molto fonde e pericolose alla sera a differenza delle altre vie tutte sistemate con mattonelle.La cosa più spiacevole è stata il fortissimo Odore Di FOGNATURA che arrivava dalla vasca presente nella nostra piazzola ( preciso che avevo chiesto al momento della scelta della piazzola cosa fosse e mi era stato detto non è niente...) iniziato soprattutto dopo un paio di giorni di soggiorno quando gli addetti del campeggio avevano aperto il sigillo della vasca.Pulizia servizi peggiorata molto negli anni."|"Camping Sabbiadoro"|"05/07/2019"|"TRAINING"|"ce"
"Antonio B"|"Vengo all'Europa Camping Village da più di 10 anni, e non mi ha mai deluso.La struttura è fantastica, ampia scelta di piazzole (ci sono piazzole grandi piccole, ombreggiate, poche sono soleggiate), i bagni sono fantastici: moderni, sempre puliti e con molte docce, toilette e lavandini.Il bar è moderno, ristrutturato da poco e molto bello.Il ristorante sul mare è a dir poco fantastico, anch'esso ristrutturato da poco, molto professionale e di qualità.E' presente un market, bazar, bigiotteria, sala giochi, gelateria, campo da calcetto, campo da tennis, parco giochi e sala wellnes.La spiaggia è molto ampia e pulita, sono presenti campi da beach volley, calcio sulla sabbia e giochi per bambini.Piscina magnifica, con uno scivolo, tre piscine e un idromassaggio.Il personale è gentile, qualificato e sempre disponibile.Ad inizio vacanza viene consegnato un braccialetto con cui è possibile pagare tutti i servizi del camping, il tutto verrà poi addebitato sul conto in modo da non dover andare in giro con tanti contanti.Animazione gentile e simpatica, mai invadente, ottima per i bambini.Dei prezzi preferisco non palarne perché ognuno può credere che costi troppo / troppo poco, dico solo che c'è un ottimo rapporto qualità-prezzo e si vede che i soldi vengono investiti continuamente.Unica pecca per qualcuno potrebbe essere il Wifi a pagamento, di cui sinceramente a me non mi interessa niente...Orari del silenzio sempre rispettati sia dalla direzione che dagli ospitiDa provare almeno una volta nella vita!!!Un posto fantastico per godersi la vita senza stress!"|"Europa Camping Village"|"05/07/2019"|"TRAINING"|"ce"
"Fabiana B"|"Delizioso villaggio,moderno,attorniato da piante ed alberi,si trova nel mezzo della bellissima zona piscine,anche riscaldate,con a disposizione sdraio ed ombrelloni e la spiaggia privata con il mare degradante e pulito,ideale per i bambini.Frontespiaggia,si trova il nuovo ristorante,perfetto per tutti i palati,poi la gastronomia takeaway ed il supermercato.Due negozi ed un grande bar per colazione o aperitivo,completano il tutto.Noi abbiamo alloggiato in una ecolife unit,casetta bella,ordinata  e pulitissima,attrezzata di tutto e con un grande terrazzo che abbiamo usufruito molto per pranzi e cene.Vacanza all insegna del relax e del divertimento,anche mio figlio preadolescenze,si e' goduto i nostri giorni di vacanza fra mare,piscina,campetto di calcio,giri in bici con gli amici e qualche sera trascorsa a Lido di Jesolo.Il personale e'molto gentile e disponibile,brave le ragazze e i ragazzi dell animazione.Siamo stati molto bene e torneremo presto!"|"Europa Camping Village"|"05/07/2019"|"TRAINING"|"ce"
"monicam m"|"Sono stata con la famiglia in un bungalow roy con cane. Bungalow pulito,  bagni comuni pulitissimi,  giardini molto curati,  strade pulitissime, in pratica molto curato! Vacanza stupenda! Il campeggio accontenta sia le famiglie che vogliono il cane vicino,   sia le famiglie che non vogliono cani vicino.Organizzazione e pulizia ottime!"|"Europa Camping Village"|"05/07/2019"|"TRAINING"|"ce"
"954dario"|"Ho soggiornato al camping europa nel week end con i miei figli ( 2 )  . Facile da trovare a Cavallino inoltre la reception ha lavorato velocemente ed  in 10 minuti eravamo nella unit . La casetta è confortevole e non manca davvero niente. Pulita a dovere. Certamente torneremo ."|"Europa Camping Village"|"05/07/2019"|"TRAINING"|"ce"
"ketty r"|"Buon campeggio,nulla di particolare,piazzole ampie e ben tenute. Animazione discreta non invadente. Ottima presenza di servizi interni ,supermercato,edicola,bazar,medico,gastronomia,pizzeria e ristorante.Zona piscina ben tenuta e ben sorvegliata.Scarsa a mio avviso la pulizia dei bagni e docce ,forse dovuta alla grande affluenza essendo la settimana di ferragosto che a mio avviso andava un pò potenziata."|"Europa Camping Village"|"05/07/2019"|"TRAINING"|"ce"
"pedeluca"|"Vacanze a luglio con famiglia  in bella casetta con ogni comfort..ottima sistemazione...ottimi servizi..pulizia ok! Zona piscine bellissima e pulitissima ...spiaggia attrezzata, pulita e bel mare...unica nota negativa: materassi rigidissimi! Tante zanzare!!!"|"Europa Camping Village"|"05/07/2019"|"TRAINING"|"ce"
"kami"|"Buon rifugio  in quota ben organizzato con ristorante.  buona soluzione per partire presro il giorno seguente in escursione ai crateri sommitali. Forse un po troppo riscaldato di notte e ventola del bagno senza finestra molto rumorosa .Colazione ricca e personale gentile ."|"Rifugio Sapienza"|"05/07/2019"|"TRAINING"|"ce"
"Mary"|"Io e il mio ragazzo siamo andati a pranzo il lunedì di Pasqua presso il ristorante del Rifugio Sapienza, avendo prenotato giorni prima.Partendo dal personale che è stato molto cordiale e disponibile, ci siamo accomodati al nostro tavolo riservato.Abbiamo ordinato un antipasto del Rifugio Sapienza, che era di una bontà senza confini, e due primi. Le porzioni erano alquanto abbondanti tanto da non riuscire a finire l’intera porzione ?? ma il gusto era unico.Per finire, ci sono stati offerti dei mini cannoli ??Da ritornarci assolutamente!"|"Rifugio Sapienza"|"05/07/2019"|"TRAINING"|"ce"
"Alessandra"|"Camere accoglienti e calde (forse anche troppo). Ottima la pulizia e la posizione, a due passi dalla funivia dell'Etna. Personale gentile e flessibiltà di check-in. Colazione a buffet abbondante e con vasta scelta. Parcheggio gratuito in loco. Da provare!"|"Rifugio Sapienza"|"05/07/2019"|"TRAINING"|"ce"
"alfatocoferolo"|"Siamo andati quattro giorni con la mia famiglia, buona esperienza nel complesso. I PRO sono che il personale è davvero gentile ed efficiente, ogni tanto mi omaggiavano un amaro, ci hanno lasciato la camera qualche oretta in più dopo l'orario di consegna ed erano infinitamente pazienti coi miei figli. Altro vantaggio, la neve è a portata di mano, posteggi nel parcheggio del Rifugio e non la macchina non la usi praticamente più, se non per pochi metri. CONTRO, durante la permanenza hanno ben deciso di dare una pulita a tutta la struttura, ragion per cui avevamo rumori molesti a tutti gli orari (non di notte, ovviamente) e odore di prodotti chimici per la pulizia, all'ingresso. Altro contro, il riscaldamento non è autonomo, i termosifoni partivano a certi orari e senza possibilità di regolarli, morale della favola: la notte si moriva letteralmente di caldo. Ultimo aspetto criticabile, il ristorante. Le pizze non erano male, porzioni molto abbondanti tra l'altro ma antipasti e primi erano bruttarelli. Ho preso un antipasto misto, c'erano dentro caponata, peperonata, omelette, formaggi, salumi e altro, tutto immerso nello stesso olio, era molto pesante e sicuramente non si gustavano i vari sapori. Vino, davvero brutto. Il danno è che a pranzo c'erano delle alternative nei ristorantini intorno ma la sera c'è solo il Rifugio aperto, per cui o cenavi lì o cenavi lì.Nel complesso, una buona vacanza."|"Rifugio Sapienza"|"05/07/2019"|"TRAINING"|"ce"
"scoco793"|"Sono molto spesso in giro e non ho mai trovato una camera così, attaccata al mio letto c’era il bagno della camera accanto e si sentiva di tutto dalla pipì alla sciacquone  e’ stato un incubo per tutta la notte non ho chiuso un occhio. Per non parlare della pulizia mia figlia di due anni si è seduta per terra  appena arrivati quando si è alzata aveva il pantalone pieno di polvere! Che schifo e ci hanno fatto aspettare perché la camera non era pulita! Per la colazione non saprei devo ancora scendere ma ve lo sconsiglio"|"Rifugio Sapienza"|"05/07/2019"|"TRAINING"|"ce"
"79rudar"|"Il rifugio è situato in posizione strategica di fianco alla partenza della funivia, ed è presente anche il ristorante/pizzeria oltre che un bar/souvenir.La camera nel complesso buona con una bella vista a sud verso il mare e Catania...peccato per un po' di foschia mattutina! Inoltre abbiamo notato che le pareti della stanza non sono molto insonorizzate e a causa di ciò più la presenza di ospiti molto maleducati che fino a tarda notte (l'una e oltre) urlavano e i loro bambini che correvano e saltavano sulle scale e nei corridoi comuni non siamo a riusciti a dormire.Ottima la colazione varia (sia dolce che salato) e buono il servizio."|"Rifugio Sapienza"|"05/07/2019"|"TRAINING"|"ce"
"salvo"|"Struttura e camere nuove, comode e dotate di tutti i comfort. Ottimo il ristorante con ampia possibilità di scelta, piatti per tutti i gusti. Di qualità e ricca anche la colazione, con in più dolci casarecci che fanno sentire aria di casa. Personale molto cordiale e disponibile, persino una lieve scossa dell'Etna...assolutamente da rifare!"|"Rifugio Sapienza"|"05/07/2019"|"TRAINING"|"ce"
"Andrea Taranto"|"Un'emozione unica: la vista che regala il rifugio Lagazuoi è unica, con un tramonto e un'alba a dir poco spettacolari. Dall'aperitivo nel pomeriggio, solo con i pochi ospiti, alla cena, alla notte nelle stanze in legno e veramente suggestive, al tramonto con il sole che scende dietro le montagne, fino al risveglio per vedere sorgere il sole, è un modo unico per staccare dalla quotidianità, regalarsi due giorni di sci e godersi uno spettacolo mozzafiato.…"|"Rifugio Lagazuoi"|"05/07/2019"|"TRAINING"|"ce"
"Manuel F"|"Località e struttura conosciuta, al top, in senso figurato e non solo ^_^   Metterei solo delle indicazioni sulla posizione, e  uso delle valvole termostatiche nelle camere, ahahah ! Per evitare che qualche turista lasci tutto full open :) e ci si trovi un caldo da spiaggia"|"Rifugio Lagazuoi"|"05/07/2019"|"TRAINING"|"ce"
"Anna M"|"Nel Parco del Gran Paradiso posto piccolo ma estremamente accogliente. Tutto a Km0:tagliere e salumi di ottima qualità, personale gentilissimo,cucina ottima...lasciate uno spazietto per i dolci sono squisiti!  Come se non bastasse attenti alle esigenze degli amici a quattro zampe. Torneremo sicuramente. ??…"|"Agriturismo La Ferme du Grand Paradis"|"05/07/2019"|"TRAINING"|"ce"
"Antonella V"|"Abbiamo cenato domenica sera 3 giugno, posto molto suggestivo ,la signora che a coglie é  molto gentile, cena molto buona, da ritornare di sicuro, ottimo tutto dall'antipasto al dolce, che dire, andateci, non fosse altro per la bellezza  del posto"|"Agriturismo La Ferme du Grand Paradis"|"05/07/2019"|"TRAINING"|"ce"
"marghepog"|"Eleganza, stile, purezza, armonia, gusto: questi gli ingredienti di un agriturismo sapientemente concepito, rigorosamente sostenibile, nel più squisito rispetto della natura e delle antiche tradizioni. paola e suo marito accolgono gli ospiti con calore e discrezione, attenti ma mai invadenti Le camere sono deliziosi nidi alpini. Il ristorante merita la sosta per i prodotti della fattoria, la ricerca di antiche ricette reinterpretate in chiave contemporanea e l'equilibrio che ogni piatto dimostra di avere. La location è straordinaria, sopra Cogne, all'inizio della valle incantata del Gran Paradiso, circondata solo da pisce da fondo e morbide passeggiate dove gli animali (camosci in primis!) regano incontrastati."|"Agriturismo La Ferme du Grand Paradis"|"05/07/2019"|"TRAINING"|"ce"
"Heidi K"|"Brunch della domenica in questo grande e moderno hotel in zona linate. Sala grande, con tanti tavoli ma buona acustica, c'è anche una zona un po' appartata per far giocare i bambini con l'assistenza di una ragazza del personale. Tante portate, molti antipasti, e ampia scelta tra primi e secondi caldi.  Per il dolce è possibile farsi fare una crepe al momento, altrimenti c'è un banco con vari tipi di torte e dessert.…"|"Crowne Plaza Milan Linate"|"05/07/2019"|"TRAINING"|"ce"
"Giovanni S"|"Stanza minuscola con bagno delle stesse dimensioni.Mobilio vetusto molto rovinato.Frigo completamente vuoto..lampadina della stanza fulminata.L'accessorio per stirare i pantaloni fuori uso.Discretamente pulito..le finestre sono chiuse sigillate.Colazione a buffet..personale di sala non particolarmente disponibile.Spero di non tornare più da queste parti"|"Crowne Plaza Milan Linate"|"05/07/2019"|"TRAINING"|"ce"
"Paury"|"Ho soggiornato una notte in questa struttura e devo dire che mi sono trovato bene.la stanza era in ordine e pulita, il set bagno completo e alla mattina la sala colazioni risultava essere ricca di cibo dolce e salato. Un solo piccolo neo riguarda la reception che ha fatto storie per accettare un tipo di pagamento tramite carta (che utilizzo da almeno 5 anni in tutta Italia basta vedere le mie altre recensioni), abbiamo impiegato più di mezz’ora per far passare un pagamento per “autorizzazioni mancanti” ma che ripeto negli ultimi 5 anni ovunque in Italia non mi sino mai state chieste. Del resto tutto ok"|"Crowne Plaza Milan Linate"|"05/07/2019"|"TRAINING"|"ce"
"DanieleM"|"Siamo stati due notti in questa splendida struttura a San Donato Milanese. Il Plaza è sempre una garanzia. Camere confortevoli, personale gentilissimo,  complimenti alle ragazze della reception Marina, Ersilia e Sara, simpatiche, gentili e sorridenti. Colazione top. Parcheggio con custode h24 a 7 euro al giorno. Ci torneremo. Un caro saluto.."|"Crowne Plaza Milan Linate"|"05/07/2019"|"TRAINING"|"ce"
"olivia17f"|"La vicinanza a Linate è sicuramente positiva ma forse andrebbe rivisto lo shuttle che dovrebbe accompagnare a metro piu decorosein 10 minuti già in centro anche a pagamento.Ineccepibile pulizia,meraviglioso confort del sonno(gradirei conoscere marca cuscini e materassi)ottima colazione ma...frigo bar vuoto senza avviso,assenza di presa in bagno,e...phon nell’armadio del corridoio quindi inutilizzabile.peccato!"|"Crowne Plaza Milan Linate"|"05/07/2019"|"TRAINING"|"ce"
"Ricky"|"L'hotel è in zona abbastanza servita e raggiungibile. Vanta un bel parcheggio e uno anche custodito a pagamento. Linee moderne e hall centrale. Ristorante e centro congressi. Non ho visto le stanze perchè ho partecipato ad un congresso. Bagni puliti nonostante tantissime persone. Co spigliato per congressi."|"Crowne Plaza Milan Linate"|"05/07/2019"|"TRAINING"|"ce"
"FERLA74"|"Hotel bello ed accogliente. Ambienti puliti e personale molto gentile. Sale meeting molto curate. Parcheggio molto piccolo e pertanto molti di noi hanno dovuto parcheggiare fuori con rischio di multe e carro attrezzi. Cibo a buffet nella norma"|"UNAHOTELS San Vitale Bologna"|"05/07/2019"|"TRAINING"|"ce"
"giaser"|"Sempre un ottimo hotel per alloggiare  ma alcuni dettagli in camera andrebbero migliorati.I servizi igienici come il bidet sono troppo piccoli e troppo vicino alla parete.il tappo del lavabo ed il soffione della doccia andrebbero manutenuti un po meglio. La colazione buona e varia.…"|"UNAHOTELS San Vitale Bologna"|"05/07/2019"|"TRAINING"|"ce"
"maurobt"|"Posizione davvero strategica ad un passo dalla tangenziale, un buon hotel con camere ampie e pulite. Ampio anche il bagno ed è per questo che non si capisce la scelta di mettere un bidet mini....per me una pallina in meno solo per questo in hotel il comfort è la prima cosa e quando oltretutto hai spazio non si capisce la scelta. Colazione buona da hotel business quindi non troverete la torta di nonna papera ma tutto quello che erve per iniziare bene la giornata. Personale molto gentile, facilità di parcheggio. Lo consiglio ....anche se avete le gambe un po' lunghe -)))"|"UNAHOTELS San Vitale Bologna"|"05/07/2019"|"TRAINING"|"ce"
"Alberto Caleca"|"Diverse volte ho soggiornato in questo hotel, buona accoglienza e ottima ristorazione ( a prezzi corretti per Bologna)... La camera assegnata con muro sporco... Ultimo giorno acqua calda assente in doccia e per 3 giorni wifi lentissimo (lamentela condivisa da altri ospiti)...non scaricava nemmeno i messaggi di WhatsApp... Figurati potere lavorare..."|"UNAHOTELS San Vitale Bologna"|"05/07/2019"|"TRAINING"|"ce"
"Katia C"|"Ottimo hotel prenotato dal mio compagno, comodo , si trova all’uscita della tangenziale, parcheggio gratuito, camera spaziosa, pulita, bagno con bellissima e comoda doccia , materasso ottimo e colazione fantastica sia dolce che salata!!Personale gentilissimo"|"UNAHOTELS San Vitale Bologna"|"05/07/2019"|"TRAINING"|"ce"
"giuliano m"|"Hotel non modernissimo ma pulito elegante e facile da raggiungere sia in auto che in metro.  Stanza spaziosa e silenziosa  letto comodo.  Colazione con ampia scelta e servizio puntuale in location elegante"|"Starhotels Business Palace"|"05/07/2019"|"TRAINING"|"ce"
"Danjela V"|"Sono anni che prenoto qui e mai una delusione...magari leggermente fuori centro ma la fermata della metro é a due passi quindi nessun problema per muoversi. Buona la colazione è la pulizia,stanze spaziose"|"Starhotels Business Palace"|"05/07/2019"|"TRAINING"|"ce"
"CHIBE"|"Hotel che necessita sicuramente della manutenzione nelle camere che risultano datate anche se pulite.Mi sarei aspettata prese funzionanti ai comodini per poter caricare gli ormai mille apparecchi tecnologici che si anno. Servizio alla reception normale in check in e piacevole in check out.Parcheggio coperto sotto l'hotel comodo per dimenticare la macchina ed usare i mezzi pubblici (la metro dista 2 minuti a piedi dall'hotel fermata Porto di Mare linea gialla), forse un pò caro ma in linea con i prezzi di hotel 4/5 stelle.La cosa che più ci ha delusi è sicuramente la colazione. poca qualità, succhi creati da buste e fatti  solo da zucchero e coloranti, frutta fresca pessima e poco appetibile, pane che sembrava del giorno prima, miele per pancakes ma pancakes assenti.. ho avuto colazioni migliori in 2-3 stelle. Dovessi tornare la colazione la farei al bar e spenderei decisamente molto meno.Abbiamo prenotato due camere ed abbiamo chiesto camere comunicanti, alla fine abbiamo avuto due camere vicine e nelle stesso piano ma non siamo riusciti a capire se l'hotel dispone di camere comunicanti."|"Starhotels Business Palace"|"05/07/2019"|"TRAINING"|"ce"
"klivio"|"Vengo spesso in questo albergo nei miei fine settimana a Milano ed è sempre un piacere ritornarci. Vicinissimo alla fermata della metro che collega sia la stazione che il Duomo. Camera e bagno sempre molto puliti, apprezzo molto i canali sky sulla tv.Molto buona la colazione. Check in/out veloce, personale sempre gentile e professionale"|"Starhotels Business Palace"|"05/07/2019"|"TRAINING"|"ce"
"Tiberio S. d"|"Perfetto nel complesso.Colazione abbondante , personale gentile , tv con sky,  letti comodi e spaziosi.Igiene perfetta.Collegata perfettamente con tutti i punti della città usando la metro che si trova dietro l' angolo della strada dell' hotel.Da ritornarci"|"Starhotels Business Palace"|"05/07/2019"|"TRAINING"|"ce"
"Iuliana O"|"Molto accogliente, personale molto cordiale e professionale. Stanze grandi, eleganti e pulite. Molto attenti alle esigenze del cliente.Bellissimo posto, perfettamente collegato con il centro di Milano."|"Starhotels Business Palace"|"05/07/2019"|"TRAINING"|"ce"
